year,state,st,county,fips,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc,maleprop,femaleprop,whiteprop,nonwhprop,blackprop,hispprop,aapiprop,aianprop,multiprop,otherprop,oldprop,uninsprop,pvtinsprop,metroprop,death,health_index,hsprop,baccprop,gradprop,attain_score,attain_index,enrollprop,enroll_index,ed_index,inc_index,hdi,ur.6mo,ur.oct,ur.trend,totalvotes,vap,vep,to.vap,to.vep,gini
2008,Alabama,AL,Baldwin County,01003,174359,140078,40221,122937,45154,40202,3903,3042,172375,1984,0,174359,85828,88531,146673,15079,6330,2176,1674,2427,3864,36500,56203,79482,28368,10306,81862,3709,138094,25427,51511,97421,27458.52,38696.2991778336,31253.600000000002,42272.424037173456,0.49224875113988953,0.5077512488601105,0.8412126704099014,0.15878732959009856,0.08648248728198717,0.03630440642582258,0.012479998164706152,0.00960088094104692,0.013919556776535768,0.022161173211592174,0.23057026021025584,0.14583130208363204,0.5587380060679403,1,12.304663467454164,4.296860863208332,0.9611101621155551,0.3145838925628574,0.08383155600022776,1.3595256106786404,5.730170737857603,0.8083447756566418,5.952707875904051,5.804349783873086,4.6380590683140746,4.8724461441901,4.666666666666667,5.2,0.00530850737795097,81413,134138,129112,0.6069346493909258,0.6305610632629035,0.5066407619903394
2012,Alabama,AL,Baldwin County,01003,191102,153578,43139,133490,52027,47213,4649,4401,187841,2491,770,191102,92852,98250,158883,16761,8737,1594,718,4409,799,39961,60857,91696,25841,12708,82935,8688,150419,24168,60377,106557,27692.499999999996,37241.77631632239,31349.999999999996,40639.17701701093,0.48587665225900306,0.514123347740997,0.8314041715942272,0.1685958284057728,0.08770708836118932,0.04571904009377191,0.00834109533128905,0.003757155864407489,0.02307144875511507,0.004181013280865716,0.2470565457190401,0.12646649433286936,0.5575922805622129,1,13.159626266614028,4.7997801568317815,0.9756910630009739,0.2887781856318825,0.09519814218293506,1.3596673908157915,5.731115938771944,0.7680819574451727,4.80234164129065,5.421524506278178,4.659410594842571,4.949461130968225,7.533333333333333,7.3,-0.001968960856917474,85338,147963,141071,0.5767522961821536,0.6049294326970107,0.4886485285512908
2016,Alabama,AL,Baldwin County,01003,208854,168480,45560,147246,54802,54942,1824,1196,205646,2595,613,208854,101035,107819,173009,19003,9211,1166,1687,4288,2799,42450,61848,99401,27255,20350,94396,2844,165303,17209,73787,117858,32000,45680.51568403652,35000,49104.75070843829,0.4837589895333582,0.5162410104666417,0.8283729303724132,0.17162706962758678,0.0909870052764132,0.04410257883497563,0.005582847347908108,0.008077412929606329,0.020531088703113178,0.013401706455227097,0.2630641500761297,0.08239727273597824,0.5643080812433566,1,13.948946854512485,5.264086385007344,0.9983700745690884,0.3233025005772653,0.138204093829374,1.4598766689757277,6.399177793171518,0.7746067661764169,4.988764747897626,5.929040111413554,5.422967602946497,5.531566468306618,5.2,5.5,-0.0015067398851480525,95215,163294,159503,0.5830893970384705,0.5969480197864617,0.5059795077401649
2008,Alabama,AL,Calhoun County,01015,113337,90855,25681,75991,31526,22455,1053,1053,110563,1602,1172,113337,54196,59141,86568,22102,2203,880,250,1020,314,23124,41004,60183,7282,4868,51015,5099,88430,16917,35263,61157,25672.600000000002,33286.325887261235,27905.000000000004,36041.55568204066,0.47818452932405126,0.5218154706759487,0.7638105825987983,0.2361894174012017,0.19501133786848074,0.019437606430380193,0.007764454679407431,0.00220581098846802,0.008999708832949522,0.0027704986015158334,0.19812594298419758,0.14926281796765398,0.5396031304869549,1,9.622786759045418,2.719286328850246,0.9518627205853325,0.15988735508152283,0.06406021765735416,1.1758102933242094,4.5054019554947295,0.7334898179280593,3.813994797944553,4.274932902978004,3.852351898697753,3.5511585634070952,5.966666666666667,6.9,0.007900210511507693,49242,87656,85001,0.561764169024368,0.5793108316372748,0.4765452833942143
2012,Alabama,AL,Calhoun County,01015,117442,93612,26461,78248,35309,24387,1916,1916,114546,1115,1781,117442,56599,60843,85918,24124,4068,1065,348,1919,0,27140,43487,60192,8684,5079,46609,8063,90726,11850,45729,59863,20900,31231.50568724177,24035,33574.28063897991,0.48193150661603174,0.5180684933839682,0.7315781406992388,0.26842185930076123,0.20541203317382198,0.03463837468707958,0.00906830605745815,0.002963164796239846,0.01633998058616168,0,0.20765143645373887,0.10090087021678786,0.509723948842833,1,9.736150326161036,2.785970780094727,0.9451359779163685,0.17588947960331255,0.06490900725897147,1.1859344647786525,4.572896431857683,0.7686425557223371,4.818358734923917,4.654717199546427,2.817291966706717,3.3181848142741455,9.266666666666666,8.5,0.0013982184396022764,46257,90981,87950,0.5084248359547597,0.5259465605457646,0.4859750320179713
2016,Alabama,AL,Calhoun County,01015,114956,93148,24911,78457,32179,27293,2370,2226,111502,1200,2254,114956,55475,59481,83329,24698,3952,1152,98,1727,194,25026,39673,59533,9939,5811,47394,5041,89739,13278,45128,56550,26000,34538.86580715453,30000,38549.19482476848,0.48257594209958593,0.5174240579004141,0.7248773443752392,0.2751226556247608,0.21484741988238978,0.0343783708549358,0.01002122551236995,8.525000869898048e-4,0.015023139288075438,0.001687602213020634,0.23742127422666062,0.11550506280663907,0.4919273461150353,1,9.767532721234616,2.8044310124909506,0.9595447187631442,0.20074690594848132,0.07406604891851587,1.2343576736301414,4.8957178242009425,0.777712172534883,5.0774906438538014,4.956308764085229,4.354241763469901,3.9261951717450345,6.55,6.4,-0.0012922090645551513,47864,90045,86619,0.5315564440002221,0.5525808425403202,0.4963575726114474
2008,Alabama,AL,Etowah County,01055,103307,81271,24358,69893,29654,22834,637,637,101658,1255,394,103307,49719,53588,82959,16172,1487,541,491,1657,0,22630,38619,50866,7943,5879,42619,2870,79622,17216,34346,51745,32258.180000000004,39478.71636051456,33486,43355.07823520017,0.4812742602146999,0.5187257397853001,0.8030336763239664,0.19696632367603362,0.15654311905291993,0.014393990726669054,0.005236818415015439,0.004752824106788504,0.016039571374640633,0,0.2210305206810768,0.16664892020869834,0.5008857095840553,1,8.934155275618691,2.3142089856580537,0.9255290229350579,0.197759432275049,0.08411428898459074,1.2074027441946977,4.7160182946313185,0.7631348216092264,4.660994903120756,4.697677164127797,5.116386277642122,3.8172419645697926,6.15,6.6,0.006592929023960006,44737,78949,77057,0.5666569557562477,0.5805702272343849,0.48961753673357566
2012,Alabama,AL,Etowah County,01055,104357,83176,23474,71547,29361,24465,1636,1636,102826,1052,479,104357,50373,53984,82082,15810,3769,229,680,1787,926,22437,40597,53545,6898,3317,37863,5011,81779,14890,39056,50411,25080,33248.124951151905,26125,35501.13588153769,0.48269881272938087,0.5173011872706191,0.78655001581111,0.21344998418889005,0.1514991806970304,0.03611640809912128,0.0021943904098431347,0.006516093793420661,0.01712391118947459,0.008873386548099313,0.23443563920005367,0.14268328909416714,0.48306294738254263,1,9.411764705882353,2.595155709342561,0.8911624526535005,0.1427732818986121,0.04636113324108628,1.0802968677931988,3.868645785287992,0.7641769694492695,4.6907705556934145,4.142687375423133,3.3953762158982013,3.317247136582884,8.616666666666667,8.5,0.0011038037771492024,42530,80883,78195,0.5258212479754707,0.5438966685849479,0.4883055331140921
2016,Alabama,AL,Etowah County,01055,102361,82271,23308,70825,28327,24159,2034,2034,101187,851,323,102361,49795,52566,79747,16296,3894,807,498,923,196,23024,35601,55155,7579,4026,42020,2579,81233,7577,44095,50689,25000,35320.33624340911,27000,37706.656884778284,0.4864645714676488,0.5135354285323512,0.7790760152792567,0.22092398472074326,0.1592012582917322,0.03804183233848829,0.00788386201776067,0.004865134181963834,0.00901710612440285,0.0019147917663954045,0.23601762389972744,0.07402233272437744,0.4951983665653911,1,9.337068160597573,2.5512165650573957,0.9426050123543946,0.16385457112601481,0.05684433462760325,1.1633039181080127,4.422026120720084,0.8127934479471882,6.079812798491093,4.974621679977087,3.62377787145022,3.582803454927833,5.983333333333333,6.1,1.668014811167829e-4,44164,79053,76168,0.5586631753380643,0.5798235479466443,0.46904286364879133
2008,Alabama,AL,Jefferson County,01073,659587,519008,159960,438384,193735,123567,13622,11621,645669,7439,6479,659587,312623,346964,351439,270059,22108,7414,1013,7253,7044,151032,221850,305931,86486,45320,310886,20445,505170,81182,199838,378567,33486,44646.16414242148,33932.48,48076.670778111955,0.4739678010633927,0.5260321989366074,0.5328167474495404,0.46718325255045956,0.4094365110288711,0.03351794380422901,0.011240367078186805,0.0015358095292963628,0.010996274941743848,0.010679409994435913,0.18733995666985553,0.12308004857585125,0.5739455143900652,1,9.987016878058524,2.933539340034426,0.9985241249680645,0.3006633453775685,0.10337968538997773,1.4025671557356107,6.017114371570739,0.7795803546080987,5.130867274517107,5.721698672552861,5.208215363918853,4.4381496740397886,5.616666666666667,6,0.006809720708001809,318524,499627,480567,0.6375235926000796,0.6628087238616052,0.514267045454913
