"","GEOID","fips","state","state_name","state_code","county","county_code","county_state","poptotal","noncit","popu18","popu25","pop3o","pop324","medage","incmed","incpc","gini","hs","ged","some1","some2","assoc","bacc","mast","prof","phd","enroll","le","total_votes","vap","turnout","health_index","hsplus","baccplus","mastplus","hsprop","baccprop","gradprop","attain_score","attain_index","enroll_prop","enroll_index","ed_index","inc_index","hdi"
"1","01001",1001,"AL","Alabama","01","Autauga County","001","Autauga County, Alabama",55049,504,13853,18583,53163,16697,37.8,31259,26168,0.4295,10288,2231,2677,5171,2603,5204,3041,480,243,13933,76.05,24661,40692,0.606040499361054,4.1875,31938,8968,3764,0.875829539845335,0.245927713486535,0.103219437284045,1.22497669061592,4.83317793743944,0.834461280469545,7.89929600853719,5.85521729447202,5.33574147965418,5.07649783735693
"2","01003",1003,"AL","Alabama","01","Baldwin County","003","Baldwin County, Alabama",199510,3471,44270,59564,193460,53514,42.3,28534,28069,0.4608,32640,7514,8637,22641,13208,27056,10063,2967,1264,44157,77.65,94090,151769,0.619955326845403,4.85416666666667,125990,41350,14294,0.900275820673688,0.295471110285396,0.102139396624412,1.2978863275835,5.31924218388998,0.825148559255522,7.72997380464585,6.1228193908086,5.68632983543834,5.52882350920107
"3","01005",1005,"AL","Alabama","01","Barbour County","005","Barbour County, Alabama",26614,506,5735,8227,25713,7326,38.7,23174,17249,0.462,5015,1407,1151,2114,1510,1431,736,124,75,5536,74.7,10390,20373,0.509988710548275,3.625,13563,2366,935,0.737640724424865,0.128677870234405,0.0508511448305868,0.917169739489857,2.78113159659905,0.755664755664756,6.46663192117738,4.00963170479182,3.25214690459656,3.61571521253153
"4","01007",1007,"AL","Alabama","01","Bibb County","007","Bibb County, Alabama",22572,227,4756,6822,21948,6198,40.2,26704,18988,0.4494,5204,1382,724,2599,911,971,763,56,100,4942,74.15,8748,17589,0.497356302234351,3.39583333333334,12710,1890,919,0.806984126984127,0.12,0.0583492063492064,0.985333333333333,3.23555555555556,0.797353985156502,7.2246179119364,4.56524300768251,3.73233807043259,3.86779766809757
"5","01009",1009,"AL","Alabama","01","Blount County","009","Blount County, Alabama",57704,1671,13601,18232,55847,16375,40.8,31793,21033,0.4165,10869,2134,3448,5421,4567,3522,1261,239,129,12535,75.85,25384,42432,0.598227752639517,4.10416666666666,31590,5151,1629,0.800314146736927,0.13049756789623,0.0412697608431293,0.972081475476287,3.14720983650858,0.765496183206107,6.64538514920194,4.31326827407303,4.24368644732178,4.21947335900662
"6","01011",1011,"AL","Alabama","01","Bullock County","011","Bullock County, Alabama",10552,83,2274,3219,10131,2798,39.2,22364,17909,0.4701,2302,202,173,1168,284,356,270,90,36,2196,71.8,4701,8195,0.573642464917633,2.41666666666667,4881,752,396,0.665621164598391,0.10255011591436,0.0540024546570299,0.82217373516978,2.14782490113187,0.784846318799142,6.99720579634804,3.76428519953726,3.43986402777821,3.15123058270928
"7","01013",1013,"AL","Alabama","01","Butler County","013","Butler County, Alabama",20280,120,4733,6331,19733,5784,40.6,25929,19011,0.4588,4864,695,567,1828,1110,1328,674,136,105,4387,73.75,8685,15427,0.562974006611785,3.22916666666667,11307,2243,915,0.810595741630224,0.160800057351781,0.0655961000788587,1.03699189906086,3.5799459937391,0.758471645919779,6.51766628945052,4.55918609230957,3.73838992961662,3.80382731456961
"8","01015",1015,"AL","Alabama","01","Calhoun County","015","Calhoun County, Alabama",115883,1719,25641,37222,112097,33436,39.1,24415,22231,0.4543,20167,5061,5835,14047,5771,8247,4138,860,641,28439,73.3,47376,88523,0.535182946804785,3.04166666666667,64767,13886,5639,0.823368632486238,0.176529665272498,0.0716873673103571,1.07158566506909,3.81057110046063,0.850550305060414,8.19182372837116,5.27098864309747,4.52061917156015,4.16933899057858
"9","01017",1017,"AL","Alabama","01","Chambers County","017","Chambers County, Alabama",34018,256,7283,10164,32915,9061,43.1,26846,21532,0.4734,7615,1786,1337,3516,1914,2086,624,203,65,7262,73.25,13778,26479,0.520336870727746,3.02083333333333,19146,2978,892,0.802632682149744,0.12484279366144,0.0373941477320366,0.964869623543221,3.09913082362147,0.801456792848471,7.29921441542675,4.49915868755657,4.36090622614211,3.89892554057696
"10","01019",1019,"AL","Alabama","01","Cherokee County","019","Cherokee County, Alabama",25897,64,5326,7203,25003,6309,45.7,29048,22544,0.4464,5631,1091,1234,3060,1569,1463,766,279,102,5026,74.65,10503,20507,0.512166577266299,3.60416666666667,15195,2610,1147,0.812827645233765,0.139616989408366,0.0613565850005349,1.01380121964267,3.42534146428444,0.796639721033444,7.21163129151717,4.68743807336202,4.59051462235667,4.26449158103261
"11","01021",1021,"AL","Alabama","01","Chilton County","021","Chilton County, Alabama",43817,1670,10590,14082,42060,12325,38.7,27846,22045,0.4575,10483,1784,1569,3482,2082,2830,1243,236,108,9670,73.85,18255,31557,0.578477041543873,3.27083333333333,23817,4417,1587,0.800975281654616,0.148545485118547,0.0533714477888011,1.00289221456196,3.35261476374643,0.784584178498986,6.99243960907247,4.56588971218844,4.47861618096747,4.05921971295739
"12","01023",1023,"AL","Alabama","01","Choctaw County","023","Choctaw County, Alabama",13287,11,2760,3839,12868,3420,45.1,26169,20773,0.4799,2994,526,654,1337,809,740,296,81,13,2785,75.05,7268,10516,0.691137314568277,3.77083333333333,7450,1130,390,0.7885266723116,0.119602032176122,0.0412785774767147,0.949407281964437,2.99604854642958,0.814327485380117,7.53322700691122,4.50844136659013,4.18150319627669,4.14252748753715
