fips,state,state_name,county,division,region,ur12mo,ur6mo
01001,AL,Alabama,Autauga County,East South Central,South,5.125,5.2
01003,AL,Alabama,Baldwin County,East South Central,South,5.383333333333333,5.2
01005,AL,Alabama,Barbour County,East South Central,South,8.491666666666667,8.533333333333333
01007,AL,Alabama,Bibb County,East South Central,South,6.541666666666666,6.516666666666667
01009,AL,Alabama,Blount County,East South Central,South,5.391666666666667,5.4
01011,AL,Alabama,Bullock County,East South Central,South,7.025,6.766666666666667
01013,AL,Alabama,Butler County,East South Central,South,7.025,6.916666666666667
01015,AL,Alabama,Calhoun County,East South Central,South,6.641666666666667,6.55
01017,AL,Alabama,Chambers County,East South Central,South,5.558333333333334,5.5
01019,AL,Alabama,Cherokee County,East South Central,South,5.1,5.033333333333333
01021,AL,Alabama,Chilton County,East South Central,South,5.525,5.533333333333333
01023,AL,Alabama,Choctaw County,East South Central,South,8.566666666666666,8.483333333333334
01025,AL,Alabama,Clarke County,East South Central,South,10.983333333333333,10.933333333333334
01027,AL,Alabama,Clay County,East South Central,South,5.975,6.033333333333333
01029,AL,Alabama,Cleburne County,East South Central,South,5.991666666666666,5.983333333333333
01031,AL,Alabama,Coffee County,East South Central,South,5.95,5.85
01033,AL,Alabama,Colbert County,East South Central,South,7.041666666666667,6.916666666666667
01035,AL,Alabama,Conecuh County,East South Central,South,8.583333333333334,8.333333333333334
01037,AL,Alabama,Coosa County,East South Central,South,5.966666666666667,5.883333333333334
01039,AL,Alabama,Covington County,East South Central,South,6.8,6.816666666666666
01041,AL,Alabama,Crenshaw County,East South Central,South,5.916666666666667,5.816666666666666
01043,AL,Alabama,Cullman County,East South Central,South,5.033333333333333,5.016666666666667
01045,AL,Alabama,Dale County,East South Central,South,5.883333333333334,5.833333333333333
01047,AL,Alabama,Dallas County,East South Central,South,9.258333333333333,9.733333333333334
01049,AL,Alabama,DeKalb County,East South Central,South,6.091666666666667,6.083333333333333
01051,AL,Alabama,Elmore County,East South Central,South,4.8,4.816666666666666
01053,AL,Alabama,Escambia County,East South Central,South,6.691666666666666,6.666666666666667
01055,AL,Alabama,Etowah County,East South Central,South,5.966666666666667,5.983333333333333
01057,AL,Alabama,Fayette County,East South Central,South,6.875,6.716666666666667
01059,AL,Alabama,Franklin County,East South Central,South,5.966666666666667,5.883333333333334
01061,AL,Alabama,Geneva County,East South Central,South,5.758333333333333,5.75
01063,AL,Alabama,Greene County,East South Central,South,10.016666666666666,9.883333333333333
01065,AL,Alabama,Hale County,East South Central,South,7.641666666666667,7.85
01067,AL,Alabama,Henry County,East South Central,South,6.516666666666667,6.55
01069,AL,Alabama,Houston County,East South Central,South,5.85,5.816666666666666
01071,AL,Alabama,Jackson County,East South Central,South,6.366666666666667,6.283333333333333
01073,AL,Alabama,Jefferson County,East South Central,South,5.758333333333334,5.816666666666666
01075,AL,Alabama,Lamar County,East South Central,South,5.741666666666667,5.65
01077,AL,Alabama,Lauderdale County,East South Central,South,6.433333333333334,6.366666666666667
01079,AL,Alabama,Lawrence County,East South Central,South,7.075,6.816666666666666
01081,AL,Alabama,Lee County,East South Central,South,5.283333333333333,5.35
01083,AL,Alabama,Limestone County,East South Central,South,5.266666666666667,5.283333333333333
01085,AL,Alabama,Lowndes County,East South Central,South,10.7,10.6
01087,AL,Alabama,Macon County,East South Central,South,7.641666666666667,7.783333333333333
01089,AL,Alabama,Madison County,East South Central,South,5.158333333333333,5.183333333333334
01091,AL,Alabama,Marengo County,East South Central,South,7.233333333333333,7.3
01093,AL,Alabama,Marion County,East South Central,South,6.658333333333333,6.65
01095,AL,Alabama,Marshall County,East South Central,South,5.391666666666667,5.3
01097,AL,Alabama,Mobile County,East South Central,South,6.65,6.666666666666667
01099,AL,Alabama,Monroe County,East South Central,South,9.25,8.966666666666667
01101,AL,Alabama,Montgomery County,East South Central,South,5.716666666666667,5.733333333333333
01103,AL,Alabama,Morgan County,East South Central,South,5.608333333333333,5.583333333333333
01105,AL,Alabama,Perry County,East South Central,South,10.383333333333333,11.05
01107,AL,Alabama,Pickens County,East South Central,South,6.841666666666667,7.116666666666666
01109,AL,Alabama,Pike County,East South Central,South,6.5,6.7
01111,AL,Alabama,Randolph County,East South Central,South,5.6,5.666666666666667
01113,AL,Alabama,Russell County,East South Central,South,5.658333333333333,5.583333333333333
01115,AL,Alabama,St. Clair County,East South Central,South,5.191666666666666,5.233333333333333
01117,AL,Alabama,Shelby County,East South Central,South,4.308333333333334,4.366666666666667
01119,AL,Alabama,Sumter County,East South Central,South,7.725,7.966666666666667
01121,AL,Alabama,Talladega County,East South Central,South,6.55,6.616666666666667
01123,AL,Alabama,Tallapoosa County,East South Central,South,5.633333333333333,5.55
01125,AL,Alabama,Tuscaloosa County,East South Central,South,5.641666666666667,5.8
01127,AL,Alabama,Walker County,East South Central,South,7.55,7.45
01129,AL,Alabama,Washington County,East South Central,South,8.708333333333334,8.716666666666667
01131,AL,Alabama,Wilcox County,East South Central,South,14.391666666666667,14.333333333333334
01133,AL,Alabama,Winston County,East South Central,South,7.183333333333334,7.133333333333333
02013,AK,Alaska,Aleutians East Borough,Pacific,West,3.2916666666666665,2.8666666666666667
02016,AK,Alaska,Aleutians West Census Area,Pacific,West,3.55,3.4833333333333334
02020,AK,Alaska,Anchorage Municipality,Pacific,West,5.433333333333334,5.4
02050,AK,Alaska,Bethel Census Area,Pacific,West,14.366666666666667,14.3
02060,AK,Alaska,Bristol Bay Borough,Pacific,West,9.516666666666666,5.833333333333333
02068,AK,Alaska,Denali Borough,Pacific,West,11.975,5.083333333333334
02070,AK,Alaska,Dillingham Census Area,Pacific,West,9.924999999999999,9.033333333333333
02090,AK,Alaska,Fairbanks North Star Borough,Pacific,West,5.833333333333333,5.483333333333333
02100,AK,Alaska,Haines Borough,Pacific,West,10.875,7.65
02105,AK,Alaska,Hoonah-Angoon Census Area,Pacific,West,13.15,7.916666666666667
02110,AK,Alaska,Juneau City and Borough,Pacific,West,4.533333333333333,4.116666666666667
02122,AK,Alaska,Kenai Peninsula Borough,Pacific,West,8.491666666666667,7.666666666666666
02130,AK,Alaska,Ketchikan Gateway Borough,Pacific,West,6.766666666666667,5.383333333333333
02150,AK,Alaska,Kodiak Island Borough,Pacific,West,5.133333333333334,4.933333333333334
02164,AK,Alaska,Lake and Peninsula Borough,Pacific,West,12.933333333333334,10.65
02170,AK,Alaska,Matanuska-Susitna Borough,Pacific,West,8.15,7.783333333333333
02180,AK,Alaska,Nome Census Area,Pacific,West,12.608333333333333,13.283333333333333
02185,AK,Alaska,North Slope Borough,Pacific,West,6.591666666666667,7.466666666666667
02188,AK,Alaska,Northwest Arctic Borough,Pacific,West,15.933333333333334,16.016666666666666
02195,AK,Alaska,Petersburg Census Area,Pacific,West,9.2,7.416666666666667
02198,AK,Alaska,Prince of Wales-Hyder Census Area,Pacific,West,12.283333333333333,10.4
02220,AK,Alaska,Sitka City and Borough,Pacific,West,4.766666666666667,4.066666666666666
02230,AK,Alaska,Skagway Municipality,Pacific,West,13.483333333333333,5.333333333333333
02240,AK,Alaska,Southeast Fairbanks Census Area,Pacific,West,10.725,9.6
02261,AK,Alaska,Valdez-Cordova Census Area,Pacific,West,8.866666666666667,6.866666666666667
02275,AK,Alaska,Wrangell City and Borough,Pacific,West,7.758333333333333,6.35
02282,AK,Alaska,Yakutat City and Borough,Pacific,West,8.866666666666667,6.766666666666667
02290,AK,Alaska,Yukon-Koyukuk Census Area,Pacific,West,18.008333333333333,16.683333333333334
04001,AZ,Arizona,Apache County,Mountain,West,11.725,11.533333333333333
04003,AZ,Arizona,Cochise County,Mountain,West,6.416666666666667,6.266666666666667
04005,AZ,Arizona,Coconino County,Mountain,West,6.108333333333333,5.983333333333333
04007,AZ,Arizona,Gila County,Mountain,West,7.408333333333333,7.216666666666667
04009,AZ,Arizona,Graham County,Mountain,West,6.95,7.016666666666667
04011,AZ,Arizona,Greenlee County,Mountain,West,7.941666666666666,7.5
04012,AZ,Arizona,La Paz County,Mountain,West,6.25,5.933333333333334
04013,AZ,Arizona,Maricopa County,Mountain,West,4.683333333333334,4.7
04015,AZ,Arizona,Mohave County,Mountain,West,6.858333333333333,6.516666666666667
04017,AZ,Arizona,Navajo County,Mountain,West,8.458333333333334,8.066666666666666
04019,AZ,Arizona,Pima County,Mountain,West,5.058333333333334,5.083333333333333
04021,AZ,Arizona,Pinal County,Mountain,West,5.666666666666667,5.65
04023,AZ,Arizona,Santa Cruz County,Mountain,West,10.308333333333334,11.166666666666666
04025,AZ,Arizona,Yavapai County,Mountain,West,5.041666666666667,4.933333333333334
04027,AZ,Arizona,Yuma County,Mountain,West,19.125,21.316666666666666
05001,AR,Arkansas,Arkansas County,West South Central,South,3.466666666666667,3.25
05003,AR,Arkansas,Ashley County,West South Central,South,6.316666666666666,6.216666666666667
05005,AR,Arkansas,Baxter County,West South Central,South,4.4,4.1499999999999995
05007,AR,Arkansas,Benton County,West South Central,South,2.966666666666667,2.8833333333333333
05009,AR,Arkansas,Boone County,West South Central,South,3.7583333333333333,3.5166666666666666
05011,AR,Arkansas,Bradley County,West South Central,South,5.216666666666667,5.633333333333333
05013,AR,Arkansas,Calhoun County,West South Central,South,4.8,4.716666666666667
05015,AR,Arkansas,Carroll County,West South Central,South,3.658333333333333,3.05
05017,AR,Arkansas,Chicot County,West South Central,South,6.733333333333333,6.183333333333334
05019,AR,Arkansas,Clark County,West South Central,South,4.5,4.633333333333334
05021,AR,Arkansas,Clay County,West South Central,South,5.85,5.183333333333334
05023,AR,Arkansas,Cleburne County,West South Central,South,6.108333333333333,5.666666666666667
05025,AR,Arkansas,Cleveland County,West South Central,South,4.575,4.416666666666667
05027,AR,Arkansas,Columbia County,West South Central,South,5.758333333333333,5.85
05029,AR,Arkansas,Conway County,West South Central,South,5.8,5.85
05031,AR,Arkansas,Craighead County,West South Central,South,3.375,3.2
05033,AR,Arkansas,Crawford County,West South Central,South,4.075,3.8333333333333335
05035,AR,Arkansas,Crittenden County,West South Central,South,4.6,4.466666666666667
05037,AR,Arkansas,Cross County,West South Central,South,4.508333333333334,4.066666666666666
05039,AR,Arkansas,Dallas County,West South Central,South,5.208333333333333,5
05041,AR,Arkansas,Desha County,West South Central,South,5.641666666666667,5.066666666666666
05043,AR,Arkansas,Drew County,West South Central,South,5.866666666666666,5.733333333333333
05045,AR,Arkansas,Faulkner County,West South Central,South,3.9,3.7666666666666666
05047,AR,Arkansas,Franklin County,West South Central,South,4.166666666666667,3.966666666666667
05049,AR,Arkansas,Fulton County,West South Central,South,4.416666666666667,4.116666666666667
05051,AR,Arkansas,Garland County,West South Central,South,4.416666666666667,4.25
05053,AR,Arkansas,Grant County,West South Central,South,3.6916666666666664,3.4499999999999997
05055,AR,Arkansas,Greene County,West South Central,South,4.358333333333333,4.216666666666667
05057,AR,Arkansas,Hempstead County,West South Central,South,3.8666666666666667,3.7333333333333334
05059,AR,Arkansas,Hot Spring County,West South Central,South,4.075,3.85
05061,AR,Arkansas,Howard County,West South Central,South,3.4,3.283333333333333
05063,AR,Arkansas,Independence County,West South Central,South,5.175,4.85
05065,AR,Arkansas,Izard County,West South Central,South,5.75,5.45
05067,AR,Arkansas,Jackson County,West South Central,South,6.291666666666667,6
05069,AR,Arkansas,Jefferson County,West South Central,South,5.775,5.633333333333333
05071,AR,Arkansas,Johnson County,West South Central,South,4.858333333333333,4.766666666666667
05073,AR,Arkansas,Lafayette County,West South Central,South,6.083333333333333,5.833333333333333
05075,AR,Arkansas,Lawrence County,West South Central,South,4.483333333333333,4.316666666666666
05077,AR,Arkansas,Lee County,West South Central,South,4.883333333333334,4.45
05079,AR,Arkansas,Lincoln County,West South Central,South,5.016666666666667,4.699999999999999
05081,AR,Arkansas,Little River County,West South Central,South,4.716666666666667,4.766666666666667
05083,AR,Arkansas,Logan County,West South Central,South,4.766666666666667,4.666666666666667
05085,AR,Arkansas,Lonoke County,West South Central,South,3.4,3.3333333333333335
05087,AR,Arkansas,Madison County,West South Central,South,3.2666666666666666,3.15
05089,AR,Arkansas,Marion County,West South Central,South,4.075,3.833333333333333
05091,AR,Arkansas,Miller County,West South Central,South,4.241666666666666,4.2
05093,AR,Arkansas,Mississippi County,West South Central,South,6.941666666666666,6.866666666666667
05095,AR,Arkansas,Monroe County,West South Central,South,4.966666666666667,4.683333333333334
05097,AR,Arkansas,Montgomery County,West South Central,South,5.408333333333333,4.9
05099,AR,Arkansas,Nevada County,West South Central,South,3.85,3.75
05101,AR,Arkansas,Newton County,West South Central,South,3.8833333333333333,3.666666666666667
05103,AR,Arkansas,Ouachita County,West South Central,South,5.2,5.166666666666667
05105,AR,Arkansas,Perry County,West South Central,South,4.966666666666667,4.566666666666666
05107,AR,Arkansas,Phillips County,West South Central,South,6.125,5.6
05109,AR,Arkansas,Pike County,West South Central,South,4.433333333333334,4.15
05111,AR,Arkansas,Poinsett County,West South Central,South,4.408333333333333,4.116666666666667
05113,AR,Arkansas,Polk County,West South Central,South,4.95,4.833333333333333
05115,AR,Arkansas,Pope County,West South Central,South,4.683333333333334,4.7
05117,AR,Arkansas,Prairie County,West South Central,South,3.966666666666667,3.6666666666666665
05119,AR,Arkansas,Pulaski County,West South Central,South,3.6416666666666666,3.55
05121,AR,Arkansas,Randolph County,West South Central,South,4.883333333333334,4.316666666666666
05123,AR,Arkansas,St. Francis County,West South Central,South,5.425,4.9
05125,AR,Arkansas,Saline County,West South Central,South,3.2083333333333335,3.1166666666666667
05127,AR,Arkansas,Scott County,West South Central,South,3.8333333333333335,3.7333333333333334
05129,AR,Arkansas,Searcy County,West South Central,South,4.6,4.366666666666667
05131,AR,Arkansas,Sebastian County,West South Central,South,3.85,3.65
05133,AR,Arkansas,Sevier County,West South Central,South,4.966666666666667,4.866666666666666
05135,AR,Arkansas,Sharp County,West South Central,South,5.575,5.166666666666667
05137,AR,Arkansas,Stone County,West South Central,South,5.216666666666667,4.833333333333333
05139,AR,Arkansas,Union County,West South Central,South,5.491666666666667,5.633333333333333
05141,AR,Arkansas,Van Buren County,West South Central,South,6.883333333333333,6.933333333333334
05143,AR,Arkansas,Washington County,West South Central,South,2.825,2.8
05145,AR,Arkansas,White County,West South Central,South,5.35,5.05
05147,AR,Arkansas,Woodruff County,West South Central,South,5.641666666666667,5.183333333333334
05149,AR,Arkansas,Yell County,West South Central,South,4.533333333333333,4.566666666666666
06001,CA,California,Alameda County,Pacific,West,4.358333333333333,4.383333333333333
06003,CA,California,Alpine County,Pacific,West,6.616666666666666,7.55
06005,CA,California,Amador County,Pacific,West,6.033333333333333,5.65
06007,CA,California,Butte County,Pacific,West,6.691666666666666,6.383333333333334
06009,CA,California,Calaveras County,Pacific,West,5.75,5.483333333333333
06011,CA,California,Colusa County,Pacific,West,15.516666666666667,11.466666666666667
06013,CA,California,Contra Costa County,Pacific,West,4.541666666666667,4.516666666666667
06015,CA,California,Del Norte County,Pacific,West,7.75,6.916666666666667
06017,CA,California,El Dorado County,Pacific,West,5.208333333333333,5.05
06019,CA,California,Fresno County,Pacific,West,9.583333333333334,8.816666666666666
06021,CA,California,Glenn County,Pacific,West,8.391666666666667,7.716666666666667
06023,CA,California,Humboldt County,Pacific,West,5.066666666666666,4.816666666666666
06025,CA,California,Imperial County,Pacific,West,24.191666666666666,26.016666666666666
06027,CA,California,Inyo County,Pacific,West,5.408333333333333,4.966666666666667
06029,CA,California,Kern County,Pacific,West,10.383333333333333,9.883333333333333
06031,CA,California,Kings County,Pacific,West,10.05,9.05
06033,CA,California,Lake County,Pacific,West,6.825,6.216666666666667
06035,CA,California,Lassen County,Pacific,West,6.958333333333333,6.05
06037,CA,California,Los Angeles County,Pacific,West,5.4,5.383333333333334
06039,CA,California,Madera County,Pacific,West,9.408333333333333,8.533333333333333
