fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
1,Alabama,2010,4785298,2323385,2461913,1135416,3164299,1439166,3206965,1262535,181638,50956,23732,57247,2225,122160,1098864,564477,1900860,442936,256026,27644.999999999996,39311.406832148816,18739.493513173013,37,37.731154047250556
2,Alaska,2010,713985,372080,341905,188833,450658,230559,458208,22219,40644,41490,102515,48071,838,23186,168523,38657,283187,83956,44858,37154.88,48281.872791970316,28127.895147889656,33,34.37239998039174
4,Arizona,2010,6413737,3188165,3225572,1632847,4146035,1998841,3703920,248009,1908923,182603,262472,101345,6465,553050,1478365,599919,2468641,691587,385888,30962.399999999998,42030.88319871127,19991.182807322937,35,36.82970177916556
5,Arkansas,2010,2921606,1431253,1490353,709524,1919859,887375,2176371,462490,181598,37361,18300,40494,4992,94875,675702,326289,1217154,251879,124537,26539.199999999997,35583.4033729871,17267.936031886093,37,37.73076041054132
6,California,2010,37349363,18566924,18782439,9303929,24102957,11775389,14949422,2156811,14091992,4975618,151309,952561,71650,5500013,9244033,4622369,12224749,4611476,2644363,33174,49087.34370483375,24249.916508568807,35,36.02164192197869
8,Colorado,2010,5049071,2534478,2514593,1229021,3329273,1520040,3529193,187330,1048707,137723,26201,115546,4371,310770,1179908,336918,1773939,788381,430035,33174,45999.415797962116,25641.79232977575,36,36.331071795187675
9,Connecticut,2010,3577073,1732193,1844880,815045,2434145,1024453,2540845,335261,481548,133788,4404,66697,14530,247109,838520,277448,1293000,483576,380121,38702.99999999999,56555.34222767764,31106.266363618688,39,38.86678354062106
10,Delaware,2010,899769,435727,464042,205695,603115,265131,588251,189587,73868,27202,2419,17222,1220,36441,208472,76367,361002,97941,67805,33174,45197.76006032106,23541.18204909393,38,38.292056072169636
11,District of Columbia,2010,604453,285147,319306,100780,417565,165860,210235,305404,55203,21050,1311,10176,1074,49177,121884,53826,154498,96865,112376,45337.799999999996,66742.38504659223,38572.79358076939,33,36.802982200435764
12,Florida,2010,18843326,9210758,9632568,3999244,13078091,5138021,10883649,2871435,4253268,453565,39297,290185,51927,1891430,3982528,1897972,7797684,2186541,1195894,27644.999999999996,40375.48473422668,19459.88279756855,40,40.124309636207535
13,Georgia,2010,9712587,4742690,4969897,2492676,6237708,3073138,5419185,2949644,856417,314638,17333,136867,18503,613377,2372822,985104,3551629,1084889,616086,29856.6,42671.829985636,20952.561243204615,35,35.60284093208123
15,Hawaii,2010,1363621,683618,680003,302473,928703,381473,309719,20065,121094,646545,2193,263408,597,105985,286579,92883,565069,182871,87880,33174,43502.581627695516,23446.63528249022,38,38.70756830526957
