fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
1,Alabama,2012,4822023,2332059,2489964,1125653,3211297,1436260,983939,3213709,1269287,185188,59291,24302,67118,3128,105879,95734,1091291,520725,1940546,469506,280520,27307.8,38278.75359042781,18103.43374267439,38,38.13675525811469
2,Alaska,2012,731449,383447,348002,184564,466051,234814,101834,461897,26544,43659,48409,102199,48699,42,23166,19298,166830,38033,293514,81222,53282,34239.78,46986.799479452384,27881.771339196854,34,34.92824106670458
4,Arizona,2012,6553255,3260107,3293148,1619974,4288994,2008306,1338520,3731418,262555,1977233,196608,259655,119206,6580,539317,496356,1501842,610939,2499980,739642,438433,29933.55,41252.563256884016,19523.01285439346,36,37.486503577229946
5,Arkansas,2012,2949131,1447681,1501450,710185,1948872,885594,611247,2182104,459526,197146,41820,14439,52984,1112,85596,76734,663812,290256,1244826,270979,142811,26257.5,35700.532890575196,16982.421351637076,37,37.9495132633986
6,California,2012,38041430,18910864,19130566,9229544,24782263,11802809,6580287,14904694,2150597,14539578,5157728,145524,1060400,82909,5388411,4991008,9253093,4607242,12497982,4887704,2789335,31509,48172.720452053654,23836.28242563214,35,36.4771529882026
8,Colorado,2012,5187582,2604887,2582695,1231159,3445907,1541813,900909,3601669,202818,1088145,152699,29587,105827,6837,309864,276668,1190324,331755,1819034,816830,478288,31509,45760.37767274794,25633.37235227707,36,36.76734440053188
9,Connecticut,2012,3590347,1746365,1843982,793378,2456135,1021531,746811,2514031,343281,510514,147506,5825,59024,10166,257427,235372,836666,248242,1294269,506752,406872,37810.8,56779.90365876936,31207.42230574524,40,39.273746242354854
10,Delaware,2012,917092,445911,471181,204974,617457,265112,196106,590054,190675,78597,30122,2218,22138,3288,40822,37145,205574,72487,358433,117335,69202,32559.3,43186.75628066373,22855.60058542796,39,38.82949475079926
11,District of Columbia,2012,632323,298252,334071,109354,440853,168732,103698,222581,309235,63098,22169,1633,11793,1814,54949,50440,126253,47580,156717,104476,132080,47263.5,67528.60172701556,39943.478767439905,33,36.5635126351564
12,Florida,2012,19317568,9445180,9872388,3997922,13504989,5188797,4689697,10969901,2974960,4484248,488492,40922,314577,44468,1841271,1679373,4023447,1833567,8054224,2334224,1282974,27307.8,39759.69155629746,19160.421862168932,41,40.53463132626217
13,Georgia,2012,9919945,4851227,5068718,2490232,6411095,3130608,1660250,5461483,3019232,903300,337086,18058,160383,20403,588853,534231,2429305,951113,3644469,1150071,665442,29408.4,42015.69281904027,20348.827858721543,35,36.08659271800398
15,Hawaii,2012,1392313,704518,687795,301575,953569,384582,299669,317230,22948,131269,641202,2438,273309,3917,109902,101857,279558,95598,570854,189238,97879,31509,41894.99840891075,22415.332008371108,38,38.84699345621279
16,Idaho,2012,1595728,796545,799183,424523,1011961,519281,310067,1331443,7135,183924,21184,15396,34210,2436,55205,51636,393489,103585,647444,173169,87763,25207.2,34846.54875360177,17885.72022892197,35,36.41598192173102
17,Illinois,2012,12875255,6308727,6566528,3059501,8560979,3846189,2412157,8092388,1829371,2099195,607263,13085,216340,17613,958668,886075,3046736,1056833,4809409,1681943,1012794,31509,46265.84463044714,24170.04861202366,37,37.480696498826624
18,Indiana,2012,6537334,3220996,3316338,1589634,4283612,2001766,1270799,5289582,589733,408748,109585,11740,116121,11825,196765,177761,1544557,543587,2739972,643095,356958,28358.1,38074.98509762336,19758.922715117187,37,37.52695303620712
19,Iowa,2012,3074186,1524204,1549982,721858,2038022,919024,658104,2704349,90395,160566,57693,4683,52943,3557,82539,72874,715559,161960,1329421,374462,172179,31403.97,39100.22239636583,22040.48756480278,38,38.48494886125954
20,Kansas,2012,2885905,1437821,1448084,719066,1867004,906052,549163,2236188,164111,315309,71659,25658,72632,348,117387,106972,708332,184985,1118733,359566,203720,29408.4,40207.732742655346,22019.367234211557,36,37.12866016033099
21,Kentucky,2012,4380415,2154829,2225586,1015554,2939633,1284005,876659,3759752,348596,133726,57613,6988,68599,5141,87777,73979,969326,484263,1821928,380082,253360,27307.8,37401.75633196972,18270.8845450542,38,38.1171818195308
22,Louisiana,2012,4601893,2247571,2354322,1117864,3008114,1413627,857782,2750937,1474608,207131,74427,20901,63857,10032,97765,91612,1076455,505902,1834555,439444,228213,28988.28,40335.93011084284,19811.40654974551,36,36.992239280661245
23,Maine,2012,1329192,652461,676731,267063,944440,348570,315403,1251077,11174,20034,13026,8583,24837,461,21325,17916,273087,74306,605410,175277,89447,27727.920000000002,36512.56315961978,19927.783185900684,43,41.188495717699176
24,Maryland,2012,5884563,2847314,3037249,1342323,3975401,1698881,1104710,3165351,1695516,510448,338548,13448,150770,10482,445602,404899,1315171,429797,2076632,801560,667412,40961.7,54489.154449513095,30413.79063429752,38,37.87118142842552
25,Massachusetts,2012,6646144,3213719,3432425,1401515,4556265,1885523,1350818,4998767,424836,673731,385522,8134,112177,42977,488931,442749,1541815,468954,2288761,1018851,779699,36760.5,53172.24043776374,29868.342636717967,39,38.987846787550794
26,Michigan,2012,9883360,4851911,5031449,2264117,6620450,2928822,2057519,7527135,1383113,452141,240185,46368,221553,12865,297225,263065,2297738,690396,4189209,1070973,669872,27307.8,39424.47029017222,19444.106892818,39,38.75568076038918
27,Minnesota,2012,5379139,2672520,2706619,1274719,3613615,1559912,1034574,4426818,279754,262730,228856,55851,120959,4171,210432,182817,1234670,275222,2155459,798242,384692,33609.6,45224.5459004767,26157.044060142467,37,37.89838336581375
28,Mississippi,2012,2984926,1441519,1543407,747427,1909590,959543,571241,1717810,1124689,76139,23808,11835,28734,1911,36277,33628,743362,334058,1182209,244603,148720,26257.5,35444.08734942596,16132.437869349491,36,36.87113549883649
29,Missouri,2012,6021988,2950923,3071065,1400984,4022517,1784762,1239564,4851605,692714,217948,104751,23913,121982,9075,131920,117826,1355609,491501,2483516,660655,386845,28358.1,38401.113369314844,19952.792125288674,38,38.32034836336439
30,Montana,2012,1005141,501429,503712,219888,687668,282838,231014,877347,2531,30279,6273,67110,21297,304,7097,6175,208986,49539,441969,132102,64058,25627.32,34630.419311496655,18952.277166075804,40,39.64102648285166
31,Nebraska,2012,1855525,917925,937600,465331,1209545,567164,361126,1508923,86383,178793,38313,13873,27505,1735,79539,66871,448565,111856,738186,245082,114421,30458.7,39153.449331039636,22534.17581261271,36,37.26591072607483
