year,state,statefip,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2008,Alabama,1,4661900,3671534,1123670,3072572,1408153,887771,90863,78105,4541656,67953,52291,3147101,2258931,2402969,3183788,1222202,128586,46143,22780,55022,36960,1066244,1766407,2182115,473910,239468,2095684,164305,3552341,635321,1428177,2598402,27905.000000000004,38685.51998403029,24333.160000000003,36057.70818999719
2012,Alabama,1,4822023,3823733,1125653,3211297,1436260,983939,105879,95734,4707169,67094,47760,3128782,2332059,2489964,3213709,1269287,185188,59291,24302,67118,54484,1091291,1716992,2319703,502239,283089,2020208,223581,3710068,659052,1651986,2510985,27169.999999999996,38085.59221365044,22363,34490.77392416158
2016,Alabama,1,4863300,3901451,1098459,3299890,1392499,1084425,95945,89229,4743641,67402,52257,3187970,2360498,2502802,3196086,1302011,198993,60678,21751,77872,72048,1067978,1658832,2352613,539439,312416,2098516,143513,3782740,472355,1790409,2600536,28000,40253.285781780905,24000,37022.85648894404
2008,Alaska,2,686293,528553,179234,425305,228451,79013,17840,16644,664877,5635,15781,279421,357554,328739,453479,21652,37420,36743,89421,45985,9089,163032,228224,338008,78686,41375,360020,28371,507528,132966,148167,405160,33486,47375.93538987034,33486,47151.591771230356
2012,Alaska,2,731449,567862,184564,466051,234814,101834,23166,19298,704798,6634,20017,298751,383447,348002,461897,26544,43659,48409,102199,48699,6424,166830,232039,362143,83985,53282,362983,31690,541323,148410,179453,403586,34067,46749.69575933328,31349.999999999996,44493.32347254218
2016,Alaska,2,741894,571641,187970,477768,233254,116219,21334,19650,714068,7492,20334,298193,390199,351695,454442,21344,51244,52674,111671,47804,12852,161979,232819,362516,93891,52668,367079,30934,544231,106662,227776,407456,36000,48425.93812124021,33600,46788.968795592504
2008,Arizona,4,6500180,4957583,1723615,4186386,1998264,1176631,656920,578949,6381018,73339,45823,5289440,3258698,3241482,3772865,225118,1964625,157931,269670,100176,443641,1468247,2529605,2878974,704833,386768,2967018,195149,4840159,1190697,1994196,3315287,31923.320000000003,43228.51692505807,28351.480000000003,41803.60591650344
2012,Arizona,4,6553255,5110816,1619974,4288994,2008306,1338520,539317,496356,6403988,90547,58720,5858589,3260107,3293148,3731418,262555,1977233,196608,259655,119206,422934,1501842,2338342,2990097,782583,442233,2769908,301885,4962832,1181974,2238591,3132690,29782.499999999996,41044.395509324764,26125,38654.843009521515
2016,Arizona,4,6931071,5486610,1628320,4632074,2050869,1589519,541575,502315,6774192,88841,68038,6238503,3445094,3485977,3835930,285723,2145655,227172,272756,154430,589479,1538638,2338135,3210083,880988,501865,3038304,214733,5330592,732294,2751426,3447351,30000,42963.94180400897,27000,40891.794017782486
2008,Arkansas,5,2855390,2238690,699176,1873421,869678,569885,69557,61579,2774832,47139,33419,1234562,1398559,1456831,2156502,443661,155309,31690,15874,50119,61721,645505,1083984,1399607,250463,121336,1275388,90231,2158910,497449,1001434,1356507,26119.08,35452.84424644487,22324,33088.56047595751
2012,Arkansas,5,2949131,2313755,710185,1948872,885594,611247,85596,76734,2867836,47625,33670,1322504,1447681,1501450,2182104,459526,197146,41820,14439,52984,53894,663812,1041290,1476256,286509,145076,1254900,122177,2234337,488637,1088442,1372052,26125,35520.38167252316,22258.5,32662.26970256732
2016,Arkansas,5,2988248,2360209,705780,1990062,886201,670061,89173,82868,2903173,49461,35614,1382970,1470739,1517509,2174281,467540,214942,47983,17554,63568,87470,673170,1027013,1498570,298164,164501,1297197,70034,2276359,255262,1294278,1438708,28000,38788.36560528427,24000,35252.71200929182
2008,California,6,36756666,28525337,9348981,23540945,11595940,5742817,5477903,4988564,35890478,430236,435952,35420070,18383499,18373167,15452381,2191268,13434896,4601761,158668,805226,5219776,9003943,14628735,14838172,4730310,2559449,17289071,1393549,27673014,6440862,9926927,20388877,33486,50486.84114149104,29914.160000000003,48375.66157538492
2012,California,6,38041430,29888076,9229544,24782263,11802809,6580287,5388411,4991008,37225859,377756,437815,37071327,18910864,19130566,14904694,2150597,14539578,5157728,145524,1060400,4916844,9253093,14373632,15634047,5219569,2814182,16944551,2139341,29086351,6828822,11640251,19572357,31349.999999999996,47929.632364463556,26229.5,44961.97034635346
2016,California,6,39250017,31189483,9088650,26310755,11494533,7564855,5309449,4949232,38436448,360810,452759,38274711,19497412,19752605,14728382,2162764,15280629,5629487,126998,1217211,5667193,9055469,14110071,16077128,5802253,3260565,18472665,1271540,30383009,2962968,15307857,20979192,33000,52482.810141762486,30000,49340.024260499005
2008,Colorado,8,4939456,3868059,1206433,3264004,1467102,754394,339051,297322,4830150,59041,50265,4061157,2487828,2451628,3500684,171260,993198,133977,32809,98273,226645,1118415,1646797,2083509,796819,412331,2615787,131009,3760166,823365,1031412,3084679,33486,46715.49549372602,32258.180000000004,46715.507539427555
2012,Colorado,8,5187582,4087506,1231159,3445907,1541813,900909,309864,276668,5071158,60297,56127,3931024,2604887,2582695,3601669,202818,1088145,152699,29587,105827,226506,1190324,1629725,2207086,869916,480855,2606199,214883,3972715,751421,1384390,3051771,31349.999999999996,45529.462694488815,30304.999999999996,44430.72362080928
2016,Colorado,8,5540545,4417791,1259927,3743681,1597503,1072282,324935,298139,5422420,57918,60207,4222961,2790068,2750477,3798024,221204,1180593,178173,26386,130082,225341,1201855,1645417,2336909,987059,571160,2855778,140303,4300380,441724,1821954,3276867,35000,49004.75283957272,32000,47979.83451078809
2008,Connecticut,9,3501252,2786165,812037,2359593,1017319,666519,253885,231466,3388234,54538,58480,2452956,1709294,1791958,2578281,314182,424191,119313,6293,47930,160526,826485,1117219,1497855,525048,361130,1802743,122606,2674172,311446,908271,2281535,40183.200000000004,58956.98178683884,35718.4,56513.76996825799
2012,Connecticut,9,3590347,2892949,793378,2456135,1021531,746811,257427,235372,3473730,47336,69281,3403209,1746365,1843982,2514031,343281,510514,147506,5825,59024,167123,836666,1080524,1553261,545336,411226,1768753,195297,2777666,333400,1118158,2138789,37620,56493.38219881364,33053.35,52977.592321203534
2016,Connecticut,9,3576452,2921706,748701,2470018,1002234,816300,246124,221949,3461496,43285,71671,3394296,1745910,1830542,2411546,358403,560669,161037,4795,67292,172626,809238,1008054,1552682,597887,417829,1830584,123071,2806880,172643,1261036,2142773,40000,58709.903718670044,35000,55463.13365004302
2008,Delaware,10,873092,689601,207359,576866,260404,171384,44159,37023,848985,11187,12920,684917,422658,450434,591642,175526,62506,24285,2755,15406,17242,201134,298517,413041,98080,63454,429780,31968,665502,93718,252627,526747,33486,45851.75268047476,31700.08,44813.88716885709
2012,Delaware,10,917092,734471,204974,617457,265112,196106,40822,37145,891972,11556,13564,917092,445911,471181,590054,190675,78597,30122,2218,22138,22575,205574,293099,430306,123971,69716,431975,38753,709686,82346,327119,507627,32394.999999999996,42968.82825220755,29259.999999999996,41157.94242604031
2016,Delaware,10,952065,770851,204214,663785,255425,227680,45616,42908,927006,11599,13460,952065,458594,493471,596681,200630,86907,38495,2863,24622,17267,203052,285104,447871,136643,82447,445316,26857,746728,59417,345363,547285,35000,47522.476421142615,31000,44736.646391353315
2008,District of Columbia,11,591833,493506,111985,403076,166410,99756,52386,50572,556627,7975,27231,591833,279836,311997,194484,312228,51260,19389,1717,10640,18561,127303,179361,200062,101809,110601,309109,24105,458578,42703,198350,350780,44648,64935.57715621926,39067,62322.30587256934
2012,District of Columbia,11,632323,533506,109354,440853,168732,103698,54949,50440,592131,7548,32644,632323,298252,334071,222581,309235,63098,22169,1633,11793,29910,126253,167285,208333,123099,133606,331030,37417,493497,34960,224977,372386,47025,67187.84043104945,40755,62243.87095115304
2016,District of Columbia,11,681170,570679,120453,479160,176426,112423,49939,45940,641401,6857,32912,681170,323160,358010,247757,316344,74277,26159,848,14271,36727,138722,175023,213439,132418,160290,366706,26438,531025,27682,249893,403595,50000,70058.34346880193,41900,66973.17129112754
2008,Florida,12,18328340,14784117,4008967,12706706,4942568,4210088,1798991,1625514,17902549,271308,154483,16879004,8996694,9331646,11011540,2721974,3846267,421372,37220,237443,478967,3773557,6152115,8776675,2244640,1154910,8458025,682312,14362831,3796594,5336746,9195000,30137.4,42605.923747584835,27905.000000000004,41178.425853427696
2012,Florida,12,19317568,15782560,3997922,13504989,5188797,4689697,1841271,1679373,18892438,254596,170534,17796944,9445180,9872388,10969901,2974960,4484248,488492,40922,314577,456337,4023447,6097379,9461035,2464277,1294877,8346469,1085240,15364717,3923561,6702289,8691718,27169.999999999996,39559.057103999665,24453,37592.980374807965
2016,Florida,12,20612439,16956334,4142576,14696192,5251461,5394597,1900973,1733625,20178722,254691,179026,19016790,10072621,10539818,11267674,3166600,5127849,555966,37638,393258,574730,4069694,6247436,9999498,2823112,1542393,9278473,593432,16525649,2677428,7740615,10194396,29000,42137.6365613528,25000,39935.272307847124
2008,Georgia,13,9685744,7423998,2548740,6193117,3060884,1426797,605494,531322,9415488,148570,121686,6591212,4767674,4918070,5620121,2848804,780408,277831,16377,111918,353422,2331582,3738596,4182371,1158895,605882,4621622,346215,7155569,1831545,2411484,5442715,32369.800000000003,44623.97731563931,28128.24,42406.0759670446
2012,Georgia,13,9919945,7690699,2490232,6411095,3130608,1660250,588853,534231,9655318,147961,116666,6933619,4851227,5068718,5461483,3019232,903300,337086,18058,160383,292502,2429305,3615906,4414804,1218556,670679,4313417,517409,7427326,1897637,2846468,5175840,29259.999999999996,41803.67418442072,25498,38862.78132466852
2016,Georgia,13,10310371,8084137,2511414,6784187,3140567,1937464,607470,557471,10053466,137873,119032,7296748,5014850,5295521,5483285,3205474,962360,398939,17272,208035,295656,2438209,3580893,4563343,1366927,799208,4777802,302457,7828484,1385074,3222519,5702778,30000,44401.014150982075,27000,41618.39287813189
2008,Hawaii,15,1288198,1035638,285838,865547,373696,258932,106604,92727,1253999,7729,26470,904691,649535,638663,316563,32119,108663,588436,1772,239757,15154,265415,380067,644806,177054,86271,672355,27201,1001466,81314,325297,881587,35160.3,45349.124396422376,33486,44181.709265140686
2012,Hawaii,15,1392313,1123612,301575,953569,384582,299669,109902,101857,1348497,11718,32098,976500,704518,687795,317230,22948,131269,641202,2438,273309,15240,279558,405788,688579,199014,98932,686513,50454,1080383,92415,435754,864144,31349.999999999996,41683.58881968174,30722.999999999996,41088.547669021864
2016,Hawaii,15,1428557,1152934,306799,993652,379974,337837,114816,103676,1384270,11470,32817,992811,719511,709046,316084,22773,148706,646326,2241,289855,13983,274472,390553,695572,231807,110625,726915,30253,1109356,51270,476576,900711,35000,46629.85673810014,32200,45743.515275124235
2008,Idaho,16,1523816,1156046,413541,958338,487174,252920,59693,51570,1489274,20212,14330,564878,766322,757494,1291988,8513,159257,18460,14022,31131,25732,357152,547461,735205,169837,71313,732029,43677,1121937,263511,374546,885759,27905.000000000004,36992.84745146979,25672.600000000002,36317.28667478213
