year,GEOID,NAME,poptotal,noncit,popu18,popu25,pop3o,pop324,vap,medage,incmed,incpc,gini,hs,ged,some1,some2,assoc,bacc,mast,prof,phd,enroll,pop_check,nothilat,white,black,amind,asian,hawpi,other,multi,hilat,hpiom,white_prop,black_prop,amind_prop,asian_prop,hilat_prop,other_prop,nonwh_prop,race_check
2012,0101,"Congressional District 1 (113th Congress), Alabama",693136,13715,164535,245545,668006,220415,514886,38.7,26130,22137,0.4665,129625,25243,26207,77995,35076,67218,24287,7625,3663,171081,747332,709729,521159,164644,2392,11608,46,231,9649,37603,9926,0.6973594065288252,0.2203090460464693,0.0032007193589997486,0.015532587926115836,0.05031632527444295,0.01328191486514695,0.3026405934711748,1
2012,0102,"Congressional District 2 (113th Congress), Alabama",683565,12381,162025,254045,656552,227032,509159,37.8,26402,21883,0.4616,124415,26996,26194,70011,35712,64206,26950,5405,2421,171288,754704,655012,582605,19855,7093,19830,5071,1457,19101,99692,25629,0.7719649027963281,0.026308327503233055,0.0093983866522504185,0.026275201933473255,0.13209417201975873,0.03395900909495643,0.22803509720367188,1
2012,0103,"Congressional District 3 (113th Congress), Alabama",696249,8962,158936,231586,670800,206137,528351,37.3,25375,21469,0.4695,118857,28150,31107,68967,32890,55839,24975,5450,5725,187967,717926,678703,515615,143366,4195,4607,0,126,10794,39223,10920,0.7182007616383861,0.19969467605296368,0.005843220610480746,0.006417095912392085,0.05463376448269042,0.015210481303086948,0.28179923836161386,1
2012,0104,"Congressional District 4 (113th Congress), Alabama",680966,13535,158936,224282,656838,200154,508495,40.6,25947,20293,0.4572,127027,32111,29567,69231,38295,44156,17701,5519,2811,154646,711354,619648,556244,9875,11835,18185,523,635,22351,91706,23509,0.7819510398479519,0.013881977187167008,0.016637286076974334,0.025563924572013372,0.12891752910646456,0.03304824320942878,0.21804896015204805,1
2012,0105,"Congressional District 5 (113th Congress), Alabama",696690,15928,160230,211689,673126,188125,520532,38.9,28908,26594,0.4573,101748,28073,28263,74266,31673,90959,38412,6886,5595,178049,704148,586459,506979,12359,12288,28816,1058,3644,21315,117689,26017,0.7199892636207161,0.017551707879593495,0.017450876804308187,0.04092321500593625,0.16713673829933479,0.03694819839011117,0.28001073637928386,1
2012,0106,"Congressional District 6 (113th Congress), Alabama",688675,20757,164527,249682,663653,224660,503391,38.6,33527,29524,0.4592,99195,15972,26275,78976,34312,97049,40945,14633,6985,173375,712075,509753,353185,34694,4066,80779,4137,1657,31235,202322,37029,0.49599410174490044,0.04872239581504757,0.005710072674928905,0.11344170206790015,0.2841301829161254,0.052001544781097496,0.5040058982550996,1
2012,0107,"Congressional District 7 (113th Congress), Alabama",682742,11090,155786,217478,656735,191471,515866,35.5,21266,17700,0.4951,125873,20258,21875,76998,30597,52610,20631,5195,3308,184233,704230,617543,545522,7719,7451,33692,244,675,22240,86687,23159,0.7746361274015592,0.010960907658009457,0.01058035016968888,0.04784232424066001,0.123094727574798,0.0328855629552845,0.22536387259844085,1
2012,0200,"Congressional District (at Large) (113th Congress), Alaska",731449,20671,187265,246685,698740,213976,523513,33.8,34405,31890,0.4232,106047,24230,34575,94145,38287,79559,36321,8545,5699,195535,715809,519155,372855,43178,3170,71535,2713,1397,24307,196654,28417,0.5208861581790674,0.060320560372948646,0.004428555662194803,0.09993587674924456,0.2747297114174312,0.03969913761911348,0.4791138418209327,1
2012,0401,"Congressional District 1 (113th Congress), Arizona",722706,24695,181128,263467,694795,235556,516883,36.3,26371,21169,0.4507,101614,20095,32808,86290,40049,66498,28619,6269,5248,193786,714536,520295,278204,88415,2314,107704,9034,2486,32138,194241,43658,0.38934917205011366,0.12373764233012752,0.0032384652417792805,0.15073278323275524,0.2718421465118622,0.06109979063336207,0.6106508279498863,1
2012,0402,"Congressional District 2 (113th Congress), Arizona",727099,36818,153122,229853,702714,205468,537159,40.6,26155,26622,0.4666,84893,18832,35510,109193,45653,93730,50113,11661,7836,182331,719962,603042,397684,51110,4694,106137,5305,1992,36120,116920,43417,0.5523680416466424,0.07098985779805045,0.006519788544395399,0.14742028051480494,0.16239745986593737,0.06030457163016937,0.4476319583533575,1
2012,0403,"Congressional District 3 (113th Congress), Arizona",719765,82215,211902,288903,682323,251461,425648,30.1,22657,16874,0.4458,87530,24072,26658,72934,30106,43200,14922,3422,3093,216727,708578,455635,345063,69069,6779,18157,4441,412,11714,252943,16567,0.4869795562379865,0.09747550728360181,0.009567048370115922,0.02562456073996088,0.35697269743062865,0.02338062993770622,0.5130204437620135,1
2012,0404,"Congressional District 4 (113th Congress), Arizona",720881,38793,151096,245453,699371,223943,530992,45.7,25321,22016,0.4255,123283,30187,48277,98535,46645,62220,25514,4586,4466,152874,724666,445457,251855,58679,3337,100203,4038,906,26439,279209,31383,0.34754631788989687,0.08097385554172543,0.0046048800412879865,0.13827473622330838,0.3852933627353843,0.043306847568397026,0.6524536821101031,1
2012,0405,"Congressional District 5 (113th Congress), Arizona",737326,30758,195363,262509,708474,233657,511205,37.8,35611,29394,0.4247,99371,14997,36742,97624,44168,106482,41968,7026,4887,206820,713348,419127,324564,21838,2730,43274,4015,653,22053,294221,26721,0.4549869068112618,0.030613389257417137,0.0038270241172611405,0.06066323869976505,0.41245086549622345,0.03745857561807141,0.5450130931887383,1
2012,0406,"Congressional District 6 (113th Congress), Arizona",722561,46319,150277,221515,698663,197617,525965,40.8,35691,36704,0.4926,82376,13543,34943,85704,41530,129456,55582,18406,7557,176411,726253,541040,349342,65121,1982,93067,3868,829,26831,185213,31528,0.48101969974650705,0.08966709948186101,0.002729076506396531,0.12814680283592633,0.25502545256267445,0.04341186886663463,0.518980300253493,1
2012,0407,"Congressional District 7 (113th Congress), Arizona",735599,146052,231382,234130,696905,195436,358165,29,22196,14419,0.4733,93567,18147,26011,52663,25710,38614,15184,4212,1695,213067,717042,612210,316012,39966,1269,222280,2802,4186,25695,104832,32683,0.44071616446456413,0.055737320826395105,0.0017697708084045286,0.30999578825229207,0.14620064096663793,0.04558031468170623,0.5592838355354358,1
2012,0408,"Congressional District 8 (113th Congress), Arizona",730846,23883,181758,246112,708158,223424,525205,40.5,33823,26795,0.4022,110828,16946,38966,104568,48149,89578,34337,9179,4454,194067,719569,560778,245066,126852,2625,145398,4930,2747,33160,158791,40837,0.3405733154151999,0.1762888618047748,0.0036480170768890823,0.20206262359829286,0.22067515415477876,0.05675202795006455,0.6594266845848,1
2012,0409,"Congressional District 9 (113th Congress), Arizona",736472,58258,163557,222134,708030,193692,514657,32.7,30288,27364,0.4663,81312,16577,29375,82898,38509,105980,44422,12313,7857,216998,725771,546259,256247,22345,735,231053,9366,3411,23102,179512,35879,0.35306866766514505,0.030787948264673015,0.001012716132223525,0.3183552387736628,0.2473397256159312,0.04943570354836443,0.646931332334855,1
2012,0501,"Congressional District 1 (113th Congress), Arkansas",729169,7821,173317,239366,700800,210997,548031,39.4,23972,19275,0.4572,153283,38388,33979,72057,31523,49657,18433,3713,2462,180314,732515,564310,265103,47801,2218,207604,8246,1627,31711,168205,41584,0.3619079472775302,0.06525600158358531,0.0030279243428462214,0.28341262636260006,0.22962669706422395,0.056768803369214284,0.6380920527224699,1
2012,0502,"Congressional District 2 (113th Congress), Arkansas",747332,15360,177323,281802,718573,253043,554649,36.4,29862,24760,0.4583,133212,23998,29324,84581,28058,91033,33281,8566,6379,192588,716746,292821,163046,42182,3852,68281,1885,743,12832,423925,15460,0.22748086490890776,0.058852089861680425,0.005374288799658456,0.0952652683098336,0.5914577828128793,0.02156970530704043,0.7725191350910922,0.9999999999999999
2012,0503,"Congressional District 3 (113th Congress), Arkansas",754704,41005,192559,242065,724459,211820,521140,35,25667,22551,0.4671,128856,27288,31495,77790,28129,74941,29565,6133,5058,206500,719276,595784,180199,20995,2120,367710,1990,2162,20608,123492,24760,0.25052830902184975,0.02918907345719863,0.002947408227161757,0.5112223958536084,0.17168930980597155,0.034423503634209957,0.7494716909781503,1
2012,0504,"Congressional District 4 (113th Congress), Arkansas",717926,14715,168430,226573,692866,201513,534781,40.5,23691,19850,0.4576,151179,29745,34607,74307,31222,53510,20249,3922,2207,172955,736397,607314,415100,12172,1206,146761,2877,1736,27462,129083,32075,0.5636905093312439,0.016529127630883884,0.0016377035756528068,0.1992960318958388,0.17528995908456987,0.043556668481810765,0.4363094906687562,1
2012,0601,"Congressional District 1 (113th Congress), California",711354,18188,147995,240198,688294,217138,545171,42.3,24358,23917,0.4421,104626,15945,47342,102325,49181,72588,22462,7776,4369,178616,712983,422326,190683,18457,1659,187126,3785,644,19972,290657,24401,0.26744396430209416,0.025887012733823947,0.002326843697535565,0.2624550655485474,0.4076632963198281,0.034223817398170785,0.7325560356979058,1
2012,0602,"Congressional District 2 (113th Congress), California",704148,50721,145852,245004,683880,224736,507575,43,31408,37364,0.5179,84809,11766,32833,89925,38217,114728,48964,18852,12114,171926,721890,348836,276436,13693,1229,38043,2410,174,16851,373054,19435,0.38293368795799915,0.0189682638629154,0.0017024754463976506,0.05269916469268171,0.5167740237432296,0.026922384296776517,0.6170663120420008,1
2012,0603,"Congressional District 3 (113th Congress), California",712075,63230,175662,288160,684764,260849,473183,34.6,28304,25049,0.4594,89300,15626,35771,84566,41480,66942,24720,7667,7015,216440,712866,194913,130542,28813,3649,20847,773,1052,9237,517953,11062,0.18312277482724665,0.040418535881918904,0.00511877407535217,0.029243925225778757,0.7265783471227412,0.015517642866962375,0.8168772251727533,1
2012,0604,"Congressional District 4 (113th Congress), California",704230,24828,150641,253507,684361,233638,528761,43.7,32831,31421,0.4451,96649,12997,43136,101799,54021,102786,33105,10782,5082,172338,717545,394127,304457,20212,3101,50291,430,1459,14177,323418,16066,0.4243037022068302,0.028168268192238815,0.004321680173368918,0.07008759032534545,0.4507285257370618,0.022390233365154798,0.5756962977931698,1
2012,0605,"Congressional District 5 (113th Congress), California",715809,82015,154282,248013,691483,223687,479512,39.7,30730,29818,0.449,91076,12248,34745,90766,47931,96637,30234,10855,5409,179340,713959,448057,352134,36474,5364,37041,1345,257,15442,265902,17044,0.49321319571572036,0.05108696717878758,0.00751303646287812,0.05188113042905825,0.37243315092323226,0.023872519290323396,0.5067868042842796,1
2012,0606,"Congressional District 6 (113th Congress), California",714536,70013,172572,265309,682021,232794,471951,33.4,27955,23401,0.4694,90536,14416,32023,89233,39359,76984,26081,9018,3931,203897,716974,465468,401088,12122,2338,31909,956,386,16669,251506,18011,0.55941777526102765,0.016907168181830863,0.0032609271744861042,0.04450510060336916,0.35078817362972714,0.02512085514955912,0.4405822247389724,1
2012,0607,"Congressional District 7 (113th Congress), California",719962,49252,181734,258399,694266,232703,488976,36.9,35129,28434,0.4399,90135,12089,38493,91645,45622,100380,31808,11637,5026,209503,717685,445460,312092,46149,1159,58367,1399,2308,23986,272225,27693,0.4348593045695535,0.064302584002731,0.0016149146213171517,0.08132676592098205,0.37930986435553204,0.03858656652988428,0.5651406954304464,1
2012,0608,"Congressional District 8 (113th Congress), California",708578,47206,198645,264263,675775,231460,462727,33.6,26911,18536,0.4403,113222,15180,32937,84968,40980,38526,16460,4274,3076,201487,711999,395676,318593,12269,1309,45632,1138,1100,15635,316323,17873,0.4474627071105437,0.017231765774951932,0.0018384857282102924,0.064089977654463,0.44427450038553423,0.025102563346296836,0.5525372928894562,0.9999999999999999
2012,0609,"Congressional District 9 (113th Congress), California",724666,79690,207903,246746,695711,217791,437073,33.5,27790,22511,0.4517,92786,15659,32766,77883,43272,63050,16696,6365,2416,220886,710190,519248,207634,30712,731,260381,1740,2146,15904,190942,19790,0.292364015263521,0.04324476548529267,0.0010293020177698925,0.3666356890409609,0.2688604457961954,0.027865782396260155,0.7076359847364789,1
2012,0610,"Congressional District 10 (113th Congress), California",713348,74207,197513,234020,683401,204073,441628,34,27217,21959,0.4443,110337,18196,35392,76588,37814,50852,16615,5134,1930,197867,727828,523441,389987,19268,1631,89501,288,2728,20038,204387,23054,0.5358230241210835,0.02647328764488313,0.002240914062113576,0.12296998741460895,0.2808177206702682,0.03167506608704254,0.4641769758789164,0.9999999999999999
