year,GEOID,NAME,B01001_001E,B01001_001M,B09001_001E,B09001_001M,B16008_046E,B16008_046M,B01002_001E,B01002_001M,B19083_001E,B19083_001M,B20017_001E,B20017_001M,B19301_001E,B19301_001M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,B14001_001E,B14001_001M,B14001_002E,B14001_002M,B01001_003E,B01001_003M,B01001_004E,B01001_004M,B01001_005E,B01001_005M,B01001_006E,B01001_006M,B01001_007E,B01001_007M,B01001_008E,B01001_008M,B01001_009E,B01001_009M,B01001_010E,B01001_010M,B01001_027E,B01001_027M,B01001_028E,B01001_028M,B01001_029E,B01001_029M,B01001_030E,B01001_030M,B01001_031E,B01001_031M,B01001_032E,B01001_032M,B01001_033E,B01001_033M,B01001_034E,B01001_034M,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M
2012,0101,"Congressional District 1 (113th Congress), Alabama",693136,3183,164535,1435,13715,2111,38.7,0.5,0.4665,0.0117,26130,686,22137,655,129625,5164,25243,2783,26207,2060,77995,5027,35076,3116,67218,4571,24287,2404,7625,1741,3663,1215,668006,3395,171081,4877,21276,915,22398,1826,24967,2117,15563,986,9222,767,4496,1197,5289,1112,17969,1810,23988,1164,24582,2152,23228,2110,14153,713,9502,599,5876,1321,6466,1428,16570,1436,747332,2025,709729,2013,521159,2022,164644,1519,2392,841,11608,735,46,88,231,236,9649,1860,103,140,9546,1859,37603,131
2012,0102,"Congressional District 2 (113th Congress), Alabama",683565,7224,162025,3300,12381,1993,37.8,0.5,0.4616,0.0109,26402,630,21883,520,124415,4876,26996,2139,26194,2037,70011,4112,35712,2625,64206,3665,26950,2412,5405,982,2421,668,656552,7189,171288,4634,23443,1379,22559,1772,24422,1883,12375,827,10830,1348,5168,1035,6601,1599,15428,1734,25917,1203,29596,2419,24307,2221,14603,903,11589,1174,6608,1563,6890,1621,13709,1950,754704,3108,655012,3134,582605,3543,19855,1390,7093,1154,19830,1126,5071,379,1457,1735,19101,2125,217,309,18884,2177,99692,936
2012,0103,"Congressional District 3 (113th Congress), Alabama",696249,4457,158936,2252,8962,1946,37.3,0.5,0.4695,0.0102,25375,981,21469,582,118857,5064,28150,2921,31107,2485,68967,4907,32890,3097,55839,3992,24975,2420,5450,1181,5725,1087,670800,4729,187967,4743,22498,1628,21906,1509,24121,1658,13746,964,10627,1226,5912,1567,5818,1375,12732,1381,21153,1656,22993,2075,22952,2055,13972,1209,10374,1431,5957,1057,4443,859,12382,1856,717926,4560,678703,4434,515615,4070,143366,2236,4195,1010,4607,1152,0,184,126,138,10794,1956,65,71,10729,1950,39223,1074
2012,0104,"Congressional District 4 (113th Congress), Alabama",680966,3767,158936,1883,13535,2405,40.6,0.3,0.4572,0.012,25947,645,20293,509,127027,5345,32111,2656,29567,2601,69231,3954,38295,3065,44156,3551,17701,1685,5519,1108,2811,785,656838,3825,154646,3925,20969,1380,23306,2165,22547,2349,14107,898,10406,1719,4885,1269,4918,1200,18295,1677,17541,1216,18308,1548,20492,1899,13801,1167,9512,962,3632,1025,5316,1177,16247,1611,711354,5390,619648,4960,556244,5071,9875,1045,11835,1438,18185,1340,523,189,635,663,22351,2471,49,64,22302,2464,91706,3107
2012,0105,"Congressional District 5 (113th Congress), Alabama",696690,184,160230,661,15928,1849,38.9,0.3,0.4573,0.0098,28908,1602,26594,541,101748,4277,28073,2661,28263,2333,74266,4195,31673,2784,90959,3487,38412,2897,6886,1171,5595,1539,673126,1669,178049,3868,21421,1025,25504,1659,20809,1573,14256,683,9195,807,4819,959,4913,1268,11401,1782,17154,1014,20980,1675,21067,1782,12929,1157,9576,1391,4067,1136,3658,1177,9940,1437,704148,5552,586459,5673,506979,6022,12359,1555,12288,1780,28816,2513,1058,456,3644,1886,21315,2829,813,512,20502,2771,117689,4715
2012,0106,"Congressional District 6 (113th Congress), Alabama",688675,7851,164527,3794,20757,2374,38.6,0.5,0.4592,0.0136,33527,1832,29524,828,99195,5396,15972,1797,26275,2241,78976,5103,34312,3044,97049,4070,40945,2629,14633,1899,6985,1292,663653,7828,173375,4979,21485,1471,23007,1932,24398,1852,13558,956,8379,1149,3224,964,6487,1245,19859,2135,23069,1517,24820,1746,22532,1938,15470,1150,11416,1027,8343,1616,6669,1319,16966,1625,712075,5387,509753,6858,353185,6665,34694,3391,4066,774,80779,4986,4137,1306,1657,788,31235,4393,1419,769,29816,4162,202322,5994
2012,0107,"Congressional District 7 (113th Congress), Alabama",682742,10074,155786,5106,11090,2066,35.5,0.6,0.4951,0.0115,21266,682,17700,521,125873,5268,20258,2117,21875,2033,76998,3679,30597,2720,52610,3720,20631,1861,5195,1203,3308,917,656735,9728,184233,5709,23810,1752,20085,1759,22467,1992,14068,1239,14999,1976,8379,1749,4164,919,13256,1774,17007,1257,19334,1794,22836,1867,13629,1012,7681,1054,3328,831,4335,1006,8100,1233,704230,6666,617543,5816,545522,5787,7719,1070,7451,1734,33692,2356,244,266,675,542,22240,2494,375,261,21865,2491,86687,3559
2012,0200,"Congressional District (at Large) (113th Congress), Alaska",731449,NA,187265,306,20671,2478,33.8,0.3,0.4232,0.0107,34405,1764,31890,675,106047,4298,24230,2407,34575,2626,94145,3956,38287,2609,79559,4131,36321,2785,8545,1468,5699,1096,698740,1427,195535,4290,27593,929,27033,2012,26425,1757,15899,926,12008,1526,5837,1302,6378,1464,14306,1981,20771,1636,20321,1943,22015,1951,12953,1279,9360,1273,6255,1523,5502,1235,14029,1733,715809,6801,519155,7254,372855,6858,43178,3909,3170,1084,71535,5280,2713,1210,1397,953,24307,3160,1447,910,22860,2950,196654,7362
2012,0401,"Congressional District 1 (113th Congress), Arizona",722706,8146,181128,4759,24695,3256,36.3,0.6,0.4507,0.0105,26371,999,21169,652,101614,4670,20095,2036,32808,3068,86290,4178,40049,2808,66498,4432,28619,2296,6269,1293,5248,1241,694795,8209,193786,5932,26803,1547,25149,1887,24243,2118,16346,1576,12594,1780,6585,1134,6599,1586,17750,2014,26256,1901,22090,2204,22813,2205,12784,1350,9779,1303,5953,1109,7080,1376,20643,2294,714536,9544,520295,10588,278204,8810,88415,6055,2314,958,107704,7003,9034,2221,2486,2039,32138,3896,1397,757,30741,3983,194241,9591
2012,0402,"Congressional District 2 (113th Congress), Arizona",727099,9332,153122,4989,36818,3726,40.6,0.7,0.4666,0.0097,26155,697,26622,624,84893,4514,18832,2162,35510,2970,109193,4841,45653,3417,93730,4641,50113,3252,11661,1783,7836,1241,702714,8848,182331,5686,20787,1458,22080,2223,23157,2027,14148,1288,8541,1159,5793,1246,4613,1108,13326,1689,22654,1756,23311,2225,25975,1895,16466,1387,8134,1293,5279,1083,4730,1101,10859,1584,719962,9755,603042,10222,397684,8623,51110,6155,4694,1616,106137,6660,5305,1580,1992,1149,36120,5007,1476,733,34644,4993,116920,8071
2012,0403,"Congressional District 3 (113th Congress), Arizona",719765,15020,211902,7512,82215,5581,30.1,0.6,0.4458,0.0167,22657,845,16874,723,87530,4626,24072,1835,26658,2431,72934,5144,30106,2929,43200,3761,14922,1761,3422,936,3093,858,682323,13695,216727,7394,30719,2252,30733,2293,28757,2901,16236,1683,15727,1986,6672,1347,6985,1587,15920,2297,28653,2866,27524,2889,26687,3339,18054,2202,10248,1791,6770,1464,4746,1262,14472,2019,708578,9457,455635,14405,345063,11577,69069,8304,6779,1308,18157,3723,4441,1914,412,387,11714,2707,440,287,11274,2692,252943,14003
2012,0404,"Congressional District 4 (113th Congress), Arizona",720881,9193,151096,5085,38793,4847,45.7,0.7,0.4255,0.0119,25321,1174,22016,752,123283,6359,30187,3219,48277,3733,98535,5350,46645,4610,62220,5690,25514,3190,4586,1292,4466,1017,699371,9199,152874,6612,18760,1421,23092,2780,23103,2427,13024,1390,7264,1094,2387,851,6346,1262,15470,2134,23996,1952,30716,2407,27609,2574,18495,1388,11641,1211,5644,1238,3949,906,13957,1682,724666,6744,445457,9091,251855,8173,58679,4451,3337,1050,100203,5782,4038,1069,906,654,26439,4435,817,652,25622,4471,279209,9249
