"","GEOID","NAME","B01001_001E","B01001_001M","B09001_001E","B09001_001M","B16008_046E","B16008_046M"
"1","01001","Autauga County, Alabama",54590,NA,14637,NA,372,157
"2","01003","Baldwin County, Alabama",183226,NA,42110,NA,4170,620
"3","01005","Barbour County, Alabama",27469,NA,6002,NA,571,135
"4","01007","Bibb County, Alabama",22769,NA,5288,112,152,129
"5","01009","Blount County, Alabama",57466,NA,13999,57,2081,195
"6","01011","Bullock County, Alabama",10779,NA,2383,NA,369,407
"7","01013","Butler County, Alabama",20730,NA,4976,79,127,77
"8","01015","Calhoun County, Alabama",117834,NA,26868,68,1847,304
"9","01017","Chambers County, Alabama",34228,NA,7807,89,259,125
"10","01019","Cherokee County, Alabama",25917,NA,5340,82,73,56
"11","01021","Chilton County, Alabama",43611,NA,10886,49,1370,303
"12","01023","Choctaw County, Alabama",13838,NA,3117,NA,16,28
"13","01025","Clarke County, Alabama",25768,NA,6398,25,41,28
"14","01027","Clay County, Alabama",13828,NA,3127,44,233,45
"15","01029","Cleburne County, Alabama",14905,NA,3589,72,92,62
"16","01031","Coffee County, Alabama",49966,NA,12057,NA,1434,273
"17","01033","Colbert County, Alabama",54451,NA,12014,40,466,183
"18","01035","Conecuh County, Alabama",13188,NA,3019,NA,17,28
"19","01037","Coosa County, Alabama",11305,NA,2284,59,162,63
"20","01039","Covington County, Alabama",37803,NA,8537,58,134,58
"21","01041","Crenshaw County, Alabama",13971,NA,3326,31,232,63
"22","01043","Cullman County, Alabama",80403,NA,18619,NA,1735,238
"23","01045","Dale County, Alabama",50129,NA,12371,NA,853,272
"24","01047","Dallas County, Alabama",43572,NA,11562,56,240,114
"25","01049","DeKalb County, Alabama",70949,NA,18262,40,4004,398
"26","01051","Elmore County, Alabama",79330,NA,18671,NA,1181,178
"27","01053","Escambia County, Alabama",38122,NA,8756,41,358,198
"28","01055","Etowah County, Alabama",104317,NA,23999,NA,1505,324
"29","01057","Fayette County, Alabama",17219,NA,3768,30,89,72
"30","01059","Franklin County, Alabama",31664,NA,7824,24,1944,281
"31","01061","Geneva County, Alabama",26769,NA,5964,NA,432,91
"32","01063","Greene County, Alabama",9067,NA,2208,NA,0,17
"33","01065","Hale County, Alabama",15750,NA,3899,NA,131,91
"34","01067","Henry County, Alabama",17275,NA,3843,65,272,135
"35","01069","Houston County, Alabama",101459,NA,24852,NA,1284,191
"36","01071","Jackson County, Alabama",53279,NA,11997,NA,506,180
"37","01073","Jefferson County, Alabama",658464,NA,154879,NA,17383,863
"38","01075","Lamar County, Alabama",14513,NA,3223,39,38,31
"39","01077","Lauderdale County, Alabama",92528,NA,19854,NA,1082,277
"40","01079","Lawrence County, Alabama",34148,NA,7907,8,259,109
"41","01081","Lee County, Alabama",140938,NA,31355,77,4663,422
"42","01083","Limestone County, Alabama",83313,NA,19907,NA,1964,304
"43","01085","Lowndes County, Alabama",11304,NA,2764,NA,20,32
"44","01087","Macon County, Alabama",21214,NA,4280,29,37,28
"45","01089","Madison County, Alabama",334661,NA,79019,51,9048,662
"46","01091","Marengo County, Alabama",20909,NA,5085,84,70,61
"47","08075","Logan County, Colorado",22541,NA,4506,NA,974,365
"48","08077","Mesa County, Colorado",146562,NA,34308,42,3814,500
"49","08079","Mineral County, Colorado",702,109,26,21,7,15
"50","08081","Moffat County, Colorado",13547,NA,3607,31,573,111
"51","08083","Montezuma County, Colorado",25424,NA,5877,22,362,123
"52","08085","Montrose County, Colorado",40994,NA,9985,76,1975,313
"53","08087","Morgan County, Colorado",28200,NA,7798,109,2802,409
"54","08089","Otero County, Colorado",18791,NA,4612,63,478,160
"55","08091","Ouray County, Colorado",4445,NA,640,132,56,31
"56","08093","Park County, Colorado",16168,NA,3064,87,198,118
"57","08095","Phillips County, Colorado",4380,NA,1176,116,363,163
"58","08097","Pitkin County, Colorado",17000,NA,2927,63,1345,341
"59","08099","Prowers County, Colorado",12539,NA,3414,64,792,190
"60","08101","Pueblo County, Colorado",159072,NA,38687,NA,3042,502
"61","08103","Rio Blanco County, Colorado",6728,NA,1638,38,274,144
"62","08105","Rio Grande County, Colorado",11925,NA,2994,NA,342,145
"63","08107","Routt County, Colorado",23385,NA,4800,145,532,208
"64","08109","Saguache County, Colorado",6189,NA,1410,6,481,116
"65","08111","San Juan County, Colorado",747,120,59,31,15,19
"66","08113","San Miguel County, Colorado",7432,NA,1482,40,496,115
"67","08115","Sedgwick County, Colorado",2389,NA,501,63,62,42
"68","08117","Summit County, Colorado",27753,NA,4822,103,2389,466
"69","08119","Teller County, Colorado",23163,NA,4696,66,174,98
"70","08121","Washington County, Colorado",4796,NA,1101,23,80,28
"71","08123","Weld County, Colorado",253552,NA,70320,21,13671,1045
"72","08125","Yuma County, Colorado",10032,NA,2653,21,842,116
"73","09001","Fairfield County, Connecticut",918892,NA,226413,101,97307,2525
"74","09003","Hartford County, Connecticut",893504,NA,203061,NA,56608,2212
"75","09005","Litchfield County, Connecticut",189277,NA,40537,NA,4721,423
"76","09007","Middlesex County, Connecticut",165639,NA,34837,94,5530,592
"77","09009","New Haven County, Connecticut",860995,NA,191624,75,48174,1928
"78","09011","New London County, Connecticut",273723,NA,59004,66,10641,859
"79","09013","Tolland County, Connecticut",152137,NA,30482,NA,4795,548
"80","09015","Windham County, Connecticut",118046,NA,26254,NA,2854,495
"81","10001","Kent County, Delaware",162785,NA,40375,NA,3655,521
"82","10003","New Castle County, Delaware",539665,NA,124912,NA,27203,1307
"83","10005","Sussex County, Delaware",197681,NA,40314,NA,7890,710
"84","11001","District of Columbia, District of Columbia",605759,NA,103986,55,47568,1532
"85","12001","Alachua County, Florida",247973,NA,44389,38,13350,1172
"86","12003","Baker County, Florida",27010,NA,6984,33,160,99
"87","12005","Bay County, Florida",168957,NA,37169,31,3388,616
"88","12007","Bradford County, Florida",28404,NA,5615,74,360,110
"89","12009","Brevard County, Florida",544019,NA,107170,205,16630,1205
"90","12011","Broward County, Florida",1761993,NA,391475,159,236135,4447
"91","12013","Calhoun County, Florida",14639,NA,3104,18,298,95
"92","12015","Charlotte County, Florida",160380,NA,22842,NA,5756,687
"93","12017","Citrus County, Florida",140805,NA,22260,NA,2153,373
"94","12019","Clay County, Florida",190891,NA,49680,66,4240,659
"95","12021","Collier County, Florida",323548,NA,62759,NA,43991,1702
"96","12023","Columbia County, Florida",67546,NA,15095,79,973,244
"97","12027","DeSoto County, Florida",34628,NA,7755,26,4649,523
"98","12029","Dixie County, Florida",16301,NA,3530,235,173,80
"99","12031","Duval County, Florida",866431,NA,203983,NA,35305,2023
"100","12033","Escambia County, Florida",298864,NA,64167,50,7585,798
"101","12035","Flagler County, Florida",95987,NA,18918,41,3425,600
"102","12037","Franklin County, Florida",11545,NA,1880,70,292,98
"103","12039","Gadsden County, Florida",46823,NA,11104,48,1852,318
"104","12041","Gilchrist County, Florida",16880,NA,3591,14,358,120
"105","12043","Glades County, Florida",12952,NA,2471,223,1321,255
"106","12045","Gulf County, Florida",15796,NA,2569,187,350,138
"107","12047","Hamilton County, Florida",14728,NA,2910,17,448,124
"108","12049","Hardee County, Florida",27347,NA,7602,88,4324,492
"109","12051","Hendry County, Florida",38669,NA,10819,54,6206,804
"110","12053","Hernando County, Florida",172784,NA,33989,53,4046,560
"111","12055","Highlands County, Florida",98734,NA,18047,NA,5474,567
"112","12057","Hillsborough County, Florida",1238365,NA,294707,NA,93769,2821
"113","12059","Holmes County, Florida",19971,NA,4116,125,244,113
"114","12061","Indian River County, Florida",138203,NA,25919,67,7340,627
"115","12063","Jackson County, Florida",49589,NA,9756,53,677,141
"116","12065","Jefferson County, Florida",14564,NA,2732,NA,123,61
"117","12067","Lafayette County, Florida",8668,NA,2065,211,440,179
"118","12069","Lake County, Florida",297995,NA,61542,29,9744,895
"119","12071","Lee County, Florida",624155,NA,122031,NA,51927,1827
"120","12073","Leon County, Florida",276506,NA,53343,NA,9329,917
"121","12075","Levy County, Florida",40541,NA,8616,95,805,264
"122","12077","Liberty County, Florida",8300,NA,1480,212,279,143
"123","12079","Madison County, Florida",19187,NA,4148,53,388,167
"124","12081","Manatee County, Florida",324834,NA,66496,56,22526,1190
"125","12083","Marion County, Florida",331987,NA,64205,32,10991,1076
"126","12085","Martin County, Florida",146497,NA,25773,40,7791,796
"127","12086","Miami-Dade County, Florida",2512219,NA,545110,123,575991,7874
"128","12087","Monroe County, Florida",73475,NA,11103,186,6284,656
"129","12089","Nassau County, Florida",73303,NA,15800,60,662,186
"130","12091","Okaloosa County, Florida",183400,NA,41129,58,5283,589
"131","12093","Okeechobee County, Florida",39779,NA,9604,73,3578,426
"132","12095","Orange County, Florida",1153795,NA,271512,NA,105512,3338
"133","12097","Osceola County, Florida",272355,NA,71037,6,26072,1563
"134","12099","Palm Beach County, Florida",1324085,NA,269117,58,145862,3491
"135","12101","Pasco County, Florida",465276,NA,97985,282,16846,1242
"136","12103","Pinellas County, Florida",917389,NA,162680,NA,44300,1836
"137","12105","Polk County, Florida",604562,NA,141779,42,35673,1922
"138","12107","Putnam County, Florida",74224,NA,16818,120,2502,338
"139","12109","St. Johns County, Florida",191495,NA,43823,NA,4298,654
"140","12111","St. Lucie County, Florida",278246,NA,61783,NA,19311,1371
"141","12113","Santa Rosa County, Florida",153086,NA,36253,19,2908,473
"142","12115","Sarasota County, Florida",380479,NA,59763,31,19131,1322
"143","12117","Seminole County, Florida",423389,NA,96331,NA,20246,1195
"144","12119","Sumter County, Florida",94240,NA,8456,69,2518,410
"145","12121","Suwannee County, Florida",42287,NA,9496,69,1621,346
"146","12123","Taylor County, Florida",22561,NA,4452,132,235,100
"147","12125","Union County, Florida",15400,NA,2896,72,263,103
"148","12127","Volusia County, Florida",495581,NA,93401,58,15084,1285
"149","12129","Wakulla County, Florida",30449,NA,6736,28,218,115
"150","12131","Walton County, Florida",55349,NA,11238,64,1257,399
"151","12133","Washington County, Florida",24732,NA,5265,74,325,151
"152","13001","Appling County, Georgia",18279,NA,4715,20,755,225
"153","13003","Atkinson County, Georgia",8355,NA,2477,NA,818,88
"154","13005","Bacon County, Georgia",11124,NA,2831,78,464,56
"155","13007","Baker County, Georgia",3483,NA,880,200,8,13
"156","13009","Baldwin County, Georgia",46378,NA,9242,59,720,203
"157","13011","Banks County, Georgia",18250,NA,4614,125,383,101
"158","13013","Barrow County, Georgia",69136,NA,19482,NA,2694,393
"159","13015","Bartow County, Georgia",99872,NA,26570,46,3258,361
"160","13017","Ben Hill County, Georgia",17612,NA,4678,NA,317,126
"161","13019","Berrien County, Georgia",19131,NA,4871,27,275,80
"162","13021","Bibb County, Georgia",155560,NA,39994,NA,2867,431
"163","13023","Bleckley County, Georgia",13009,NA,2966,NA,84,50
"164","13025","Brantley County, Georgia",18279,NA,4661,3,59,56
"165","13027","Brooks County, Georgia",16066,NA,3776,21,506,89
"166","13029","Bryan County, Georgia",30616,NA,8931,NA,237,110
"167","13031","Bulloch County, Georgia",70360,NA,14292,34,1798,317
"168","13033","Burke County, Georgia",23242,NA,6569,39,209,109
"169","13035","Butts County, Georgia",23671,NA,5245,45,433,112
"170","13037","Calhoun County, Georgia",6581,NA,1302,NA,232,154
"171","13039","Camden County, Georgia",50435,NA,13411,NA,512,209
"172","13043","Candler County, Georgia",11007,NA,2844,NA,505,159
"173","13045","Carroll County, Georgia",110750,NA,28145,NA,3010,426
"174","13047","Catoosa County, Georgia",64226,NA,15902,NA,641,240
"175","13049","Charlton County, Georgia",12954,NA,2657,NA,899,455
"176","13051","Chatham County, Georgia",266344,NA,60265,105,9834,913
"177","13053","Chattahoochee County, Georgia",11917,NA,3150,58,220,77
"178","13055","Chattooga County, Georgia",25905,NA,5828,30,649,147
"179","13057","Cherokee County, Georgia",215014,NA,58627,NA,11428,968
"180","13059","Clarke County, Georgia",117762,NA,20781,42,8315,674
"181","13061","Clay County, Georgia",3174,NA,820,148,0,13
"182","13063","Clayton County, Georgia",262066,NA,75856,95,21134,1177
"183","13065","Clinch County, Georgia",6800,NA,1759,75,177,112
"184","13067","Cobb County, Georgia",691820,NA,176373,50,58366,1783
"185","13069","Coffee County, Georgia",42566,NA,11026,17,1851,384
"186","13071","Colquitt County, Georgia",45531,NA,12481,20,3712,428
"187","13073","Columbia County, Georgia",124665,NA,33710,NA,3725,536
"188","13075","Cook County, Georgia",17073,NA,4629,NA,482,107
"189","13077","Coweta County, Georgia",127212,NA,34498,NA,4351,512
"190","13079","Crawford County, Georgia",12701,NA,2917,NA,18,29
"191","13081","Crisp County, Georgia",23460,NA,6156,40,240,154
"192","13083","Dade County, Georgia",16598,NA,3513,45,148,129
"193","13085","Dawson County, Georgia",22246,NA,5055,40,459,148
"194","13087","Decatur County, Georgia",27815,NA,7089,12,543,181
"195","13089","DeKalb County, Georgia",694671,NA,166813,48,65907,1863
"196","13091","Dodge County, Georgia",21509,NA,4984,123,286,159
"197","13093","Dooly County, Georgia",14528,NA,3113,NA,414,131
"198","13095","Dougherty County, Georgia",94591,NA,24372,12,1000,326
"199","13097","Douglas County, Georgia",132124,NA,37212,72,6143,696
"200","13099","Early County, Georgia",10928,NA,2864,NA,26,25
"201","13101","Echols County, Georgia",4024,NA,1120,175,552,185
"202","13103","Effingham County, Georgia",52203,NA,14789,64,425,151
"203","13105","Elbert County, Georgia",20103,NA,4653,NA,253,172
"204","13107","Emanuel County, Georgia",22600,NA,5629,75,275,206
"205","13109","Evans County, Georgia",10935,NA,2832,NA,762,75
"206","13111","Fannin County, Georgia",23554,NA,4410,50,175,91
"207","13113","Fayette County, Georgia",106525,NA,27530,NA,3881,476
"208","13115","Floyd County, Georgia",96204,NA,23274,NA,4331,327
"209","13117","Forsyth County, Georgia",177103,NA,53146,90,12771,853
"210","13119","Franklin County, Georgia",22070,NA,4955,35,397,90
"211","13121","Fulton County, Georgia",929535,NA,220751,101,69847,2371
"212","13123","Gilmer County, Georgia",28232,NA,6176,64,1168,204
"213","13125","Glascock County, Georgia",3082,NA,803,NA,23,32
"214","13127","Glynn County, Georgia",79628,NA,19115,NA,2268,359
"215","13129","Gordon County, Georgia",55192,NA,14875,30,4029,491
"216","13131","Grady County, Georgia",25068,NA,6444,18,1367,121
"217","13133","Greene County, Georgia",15988,NA,3099,123,504,211
"218","13135","Gwinnett County, Georgia",810624,NA,234217,NA,112122,2605
"219","13137","Habersham County, Georgia",43038,NA,10194,4,2199,308
"220","13139","Hall County, Georgia",180831,NA,50279,22,20473,828
"221","13141","Hancock County, Georgia",9422,NA,1734,NA,134,87
"222","13143","Haralson County, Georgia",28627,NA,7215,78,135,62
"223","13145","Harris County, Georgia",31870,NA,7504,89,136,64
"224","13147","Hart County, Georgia",25277,NA,5638,NA,175,92
"225","13149","Heard County, Georgia",11756,NA,2969,2,20,23
"226","13151","Henry County, Georgia",203185,NA,58577,NA,5836,830
"227","13153","Houston County, Georgia",140699,NA,37418,NA,4114,563
"228","13155","Irwin County, Georgia",9646,NA,2312,NA,43,42
"229","13157","Jackson County, Georgia",60268,NA,15922,NA,1495,316
"230","13159","Jasper County, Georgia",13786,NA,3441,NA,322,108
"231","13161","Jeff Davis County, Georgia",14972,NA,4142,NA,308,179
"232","13163","Jefferson County, Georgia",16817,NA,4245,9,40,31
"233","13165","Jenkins County, Georgia",8477,NA,2245,274,334,205
"234","13167","Johnson County, Georgia",9981,NA,2103,NA,34,27
"235","13169","Jones County, Georgia",28638,NA,7422,92,207,109
"236","13171","Lamar County, Georgia",18151,NA,3861,46,147,97
"237","13173","Lanier County, Georgia",10066,NA,2835,136,114,118
"238","13175","Laurens County, Georgia",48264,NA,12348,55,474,137
"239","13177","Lee County, Georgia",28449,NA,7909,63,384,122
"240","13179","Liberty County, Georgia",64663,NA,19369,128,1250,266
"241","13181","Lincoln County, Georgia",7962,NA,1641,17,47,41
"242","13183","Long County, Georgia",14488,NA,4357,NA,541,219
"243","13185","Lowndes County, Georgia",109730,NA,26771,NA,2353,447
"244","13187","Lumpkin County, Georgia",30040,NA,6138,109,750,293
"245","13189","McDuffie County, Georgia",21762,NA,5695,NA,189,63
"246","13191","McIntosh County, Georgia",14119,NA,3014,NA,0,21
"247","13193","Macon County, Georgia",14552,NA,3215,39,462,257
"248","13195","Madison County, Georgia",27988,NA,6890,38,457,117
"249","13197","Marion County, Georgia",8615,NA,2119,5,261,94
"250","13199","Meriwether County, Georgia",21966,NA,5147,3,60,51
"251","13201","Miller County, Georgia",6094,NA,1447,NA,46,57
"252","13205","Mitchell County, Georgia",23510,NA,5819,NA,344,109
"253","13207","Monroe County, Georgia",26376,NA,5940,51,155,82
"254","13209","Montgomery County, Georgia",9054,NA,2052,NA,283,62
"255","13211","Morgan County, Georgia",17919,NA,4353,132,248,154
"256","13213","Murray County, Georgia",39635,NA,10574,103,1872,290
"257","13215","Muscogee County, Georgia",191278,NA,48714,18,4269,468
"258","13217","Newton County, Georgia",100047,NA,28573,114,2630,433
"259","13219","Oconee County, Georgia",32814,NA,9191,29,710,236
"260","13221","Oglethorpe County, Georgia",14745,NA,3490,52,218,99
"261","13223","Paulding County, Georgia",141846,NA,42413,86,2519,530
"262","13225","Peach County, Georgia",27531,NA,6266,38,1052,203
"263","13227","Pickens County, Georgia",29445,NA,6506,52,448,151
"264","13229","Pierce County, Georgia",18631,NA,4846,17,395,121
"265","13231","Pike County, Georgia",17765,NA,4729,11,102,48
"266","13233","Polk County, Georgia",41350,NA,10933,85,2125,271
"267","13235","Pulaski County, Georgia",11801,NA,2067,322,194,147
"268","13237","Putnam County, Georgia",21184,NA,4360,272,648,430
"269","13239","Quitman County, Georgia",2542,257,634,168,0,13
"270","13241","Rabun County, Georgia",16297,NA,3365,118,754,197
"271","13243","Randolph County, Georgia",7596,NA,1744,385,42,44
"272","13245","Richmond County, Georgia",200337,NA,49365,NA,3151,472
"273","13247","Rockdale County, Georgia",85008,NA,22684,53,4479,486
"274","13249","Schley County, Georgia",4963,NA,1531,200,54,76
"275","13251","Screven County, Georgia",14574,NA,3678,NA,31,33
"276","13253","Seminole County, Georgia",8815,NA,2078,36,67,43
"277","13255","Spalding County, Georgia",63979,NA,16192,47,1154,320
"278","13257","Stephens County, Georgia",26003,NA,6073,124,340,156
"279","13259","Stewart County, Georgia",5991,NA,920,NA,571,147
"280","13261","Sumter County, Georgia",32425,NA,8260,NA,700,177
"281","13263","Talbot County, Georgia",6772,NA,1415,NA,31,25
"282","13265","Taliaferro County, Georgia",1674,257,283,97,7,11
"283","13267","Tattnall County, Georgia",25023,NA,5379,24,1356,168
"284","13269","Taylor County, Georgia",8700,NA,2146,NA,51,28
"285","13271","Telfair County, Georgia",16312,NA,3094,83,1495,183
"286","13273","Terrell County, Georgia",9365,NA,2321,26,39,15
"287","13275","Thomas County, Georgia",44715,NA,11185,75,622,156
"288","13277","Tift County, Georgia",40430,NA,10324,NA,1616,366
"289","13279","Toombs County, Georgia",27270,NA,7668,65,888,285
"290","01093","Marion County, Alabama",30641,NA,6577,71,87,92
"291","01095","Marshall County, Alabama",93070,NA,23399,NA,5698,405
"292","01097","Mobile County, Alabama",412297,NA,103248,NA,7663,680
"293","01099","Monroe County, Alabama",22993,NA,5760,78,192,82
"294","01101","Montgomery County, Alabama",229376,NA,56587,NA,5442,467
"295","01103","Morgan County, Alabama",119330,NA,28554,NA,4561,303
"296","01105","Perry County, Alabama",10525,NA,2571,NA,16,21
"297","01107","Pickens County, Alabama",19646,NA,4589,NA,63,74
"298","01109","Pike County, Alabama",32750,NA,6646,20,1293,439
"299","01111","Randolph County, Alabama",22843,NA,5260,120,220,157
"300","01113","Russell County, Alabama",53938,NA,13809,65,333,124
"301","01115","St. Clair County, Alabama",83530,NA,19835,24,863,214
"302","01117","Shelby County, Alabama",195237,NA,49654,NA,6967,479
"303","01119","Sumter County, Alabama",13669,NA,3069,30,22,18
"304","01121","Talladega County, Alabama",82194,NA,19186,48,588,177
"305","01123","Tallapoosa County, Alabama",41534,NA,9259,22,422,153
"306","01125","Tuscaloosa County, Alabama",194254,NA,41703,NA,4029,462
"307","01127","Walker County, Alabama",67016,NA,15073,49,488,177
"308","01129","Washington County, Alabama",17407,NA,4399,31,27,38
"309","01131","Wilcox County, Alabama",11706,NA,3139,NA,8,15
"310","01133","Winston County, Alabama",24432,NA,5280,65,140,99
"311","02013","Aleutians East Borough, Alaska",3114,NA,263,128,1425,324
"312","02016","Aleutians West Census Area, Alaska",5507,NA,826,61,1096,179
"313","02020","Anchorage Municipality, Alaska",291470,NA,75023,NA,11150,762
"314","02050","Bethel Census Area, Alaska",17184,NA,6249,6,103,41
"315","02060","Bristol Bay Borough, Alaska",929,156,252,58,0,10
"316","02068","Denali Borough, Alaska",1917,169,401,102,113,95
"317","02070","Dillingham Census Area, Alaska",4887,NA,1623,19,51,53
"318","02090","Fairbanks North Star Borough, Alaska",97523,NA,24878,NA,2389,438
"319","02100","Haines Borough, Alaska",2500,NA,583,137,42,33
"320","02105","Hoonah-Angoon Census Area, Alaska",2153,NA,395,61,42,43
"321","02110","Juneau City and Borough, Alaska",31636,NA,7437,49,640,147
"322","02122","Kenai Peninsula Borough, Alaska",55474,NA,13097,NA,641,144
"323","02130","Ketchikan Gateway Borough, Alaska",13525,NA,3226,NA,341,152
"324","02150","Kodiak Island Borough, Alaska",13710,NA,3947,24,880,265
"325","02164","Lake and Peninsula Borough, Alaska",1551,169,515,90,6,6
"326","02170","Matanuska-Susitna Borough, Alaska",89319,NA,25609,NA,931,299
"327","02180","Nome Census Area, Alaska",9580,NA,3272,14,60,33
"328","02185","North Slope Borough, Alaska",9317,NA,2283,14,238,85
"329","02188","Northwest Arctic Borough, Alaska",7601,NA,2694,23,77,47
"330","02195","Petersburg Census Area, Alaska",3822,NA,818,144,106,100
"331","02198","Prince of Wales-Hyder Census Area, Alaska",5603,NA,1408,21,63,48
"332","02220","Sitka City and Borough, Alaska",8909,NA,2052,29,230,77
"333","02230","Skagway Municipality, Alaska",1050,230,197,59,124,154
"334","02240","Southeast Fairbanks Census Area, Alaska",7039,NA,1910,37,162,65
"335","02261","Valdez-Cordova Census Area, Alaska",9614,NA,2382,105,178,91
"336","02270","Wade Hampton Census Area, Alaska",7556,NA,3147,NA,8,7
"337","02275","Wrangell City and Borough, Alaska",2368,NA,451,110,9,9
"338","02282","Yakutat City and Borough, Alaska",644,135,152,44,20,20
"339","02290","Yukon-Koyukuk Census Area, Alaska",5637,NA,1536,NA,27,19
"340","04001","Apache County, Arizona",71618,NA,22599,85,696,199
"341","04003","Cochise County, Arizona",131118,NA,29943,NA,7509,654
"342","04005","Coconino County, Arizona",134011,NA,31517,56,4637,655
"343","04007","Gila County, Arizona",53436,NA,11383,102,951,241
"344","04009","Graham County, Arizona",37115,NA,10414,99,1286,228
"345","04011","Greenlee County, Arizona",8592,NA,2506,21,188,72
"346","04012","La Paz County, Arizona",20460,NA,3559,28,1723,239
"347","04013","Maricopa County, Arizona",3841819,NA,1009765,NA,343783,4705
"348","04015","Mohave County, Arizona",201216,NA,41445,51,7387,741
"349","04017","Navajo County, Arizona",107415,NA,31878,14,1925,346
"350","04019","Pima County, Arizona",981048,NA,224391,NA,64734,2324
"351","04021","Pinal County, Arizona",368374,NA,95944,NA,22781,1451
"352","04023","Santa Cruz County, Arizona",47057,NA,14356,25,7627,750
"353","04025","Yavapai County, Arizona",211280,NA,40102,NA,7123,942
"354","04027","Yuma County, Arizona",196420,NA,54849,NA,28242,1356
"355","05001","Arkansas County, Arkansas",19029,NA,4408,59,352,146
"356","05003","Ashley County, Arkansas",21811,NA,5336,20,272,74
"357","05005","Baxter County, Arkansas",41387,NA,7444,39,227,87
"358","05007","Benton County, Arkansas",222028,NA,61565,NA,14644,874
"359","05009","Boone County, Arkansas",37032,NA,8540,42,160,52
"360","05011","Bradley County, Arkansas",11510,NA,2716,NA,391,125
"361","05013","Calhoun County, Arkansas",5373,NA,1099,NA,2,4
"362","05015","Carroll County, Arkansas",27321,NA,6106,64,976,174
"363","05017","Chicot County, Arkansas",11759,NA,2736,NA,217,57
"364","05019","Clark County, Arkansas",23050,NA,4501,55,236,117
"365","05021","Clay County, Arkansas",15981,NA,3514,36,44,34
"366","05023","Cleburne County, Arkansas",25849,NA,5095,78,213,92
"367","05025","Cleveland County, Arkansas",8685,NA,2164,42,18,22
"368","05027","Columbia County, Arkansas",24644,NA,5543,11,617,91
"369","05029","Conway County, Arkansas",21203,NA,5085,23,291,117
"370","05031","Craighead County, Arkansas",96709,NA,24096,55,2207,310
"371","05033","Crawford County, Arkansas",61670,NA,16141,NA,1357,293
"372","05035","Crittenden County, Arkansas",50618,NA,14641,11,521,231
"373","05037","Cross County, Arkansas",17891,NA,4508,25,18,18
"374","05039","Dallas County, Arkansas",8122,NA,2000,23,35,23
"375","05041","Desha County, Arkansas",12922,NA,3353,10,239,75
"376","05043","Drew County, Arkansas",18615,NA,4375,67,175,121
"377","05045","Faulkner County, Arkansas",113730,NA,27679,NA,2431,405
"378","05047","Franklin County, Arkansas",18110,NA,4429,NA,44,38
"379","05049","Fulton County, Arkansas",12301,NA,2577,29,75,82
"380","05051","Garland County, Arkansas",96249,NA,20252,46,1887,346
"381","05053","Grant County, Arkansas",17852,NA,4294,23,278,117
"382","05055","Greene County, Arkansas",42224,NA,10604,87,332,128
"383","05057","Hempstead County, Arkansas",22548,NA,5917,11,1146,159
"384","05059","Hot Spring County, Arkansas",33011,NA,7678,36,214,147
"385","05061","Howard County, Arkansas",13790,NA,3630,25,598,84
"386","05063","Independence County, Arkansas",36572,NA,8806,44,865,182
"387","05065","Izard County, Arkansas",13614,NA,2555,97,104,73
"388","05067","Jackson County, Arkansas",17885,NA,3701,23,126,58
"389","05069","Jefferson County, Arkansas",76836,NA,18245,NA,481,163
"390","05071","Johnson County, Arkansas",25554,NA,6324,102,1316,195
"391","05073","Lafayette County, Arkansas",7618,NA,1735,35,48,55
"392","05075","Lawrence County, Arkansas",17314,NA,3905,64,70,46
"393","05077","Lee County, Arkansas",10430,NA,2192,33,81,56
"394","05079","Lincoln County, Arkansas",14167,NA,2758,55,160,65
