"","GEOID","NAME","B01001_001E","B01001_001M","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M"
"1","01001","Autauga County, Alabama",55049,NA,55049,NA,53633,NA,41663,161,10113,242,226,75,444,158,6,14,123,148,1058,319,51,66,1007,320,1416,NA
"2","01003","Baldwin County, Alabama",199510,NA,199510,NA,190798,NA,165950,245,18406,595,1228,283,1325,400,0,27,305,223,3584,756,575,452,3009,713,8712,NA
"3","01005","Barbour County, Alabama",26614,NA,26614,NA,25467,NA,12212,154,12745,74,46,45,118,32,0,21,198,159,148,67,0,21,148,67,1147,NA
"4","01007","Bibb County, Alabama",22572,NA,22572,NA,22070,NA,16876,21,4788,216,81,44,14,25,0,21,0,21,311,214,0,21,311,214,502,NA
"5","01009","Blount County, Alabama",57704,NA,57704,NA,52668,NA,50582,147,899,96,171,95,92,56,0,27,130,147,794,129,5,9,789,126,5036,NA
"6","01011","Bullock County, Alabama",10552,NA,10552,NA,10539,17,2288,18,7967,204,84,110,84,88,0,18,1,4,115,171,0,18,115,171,13,17
"7","01013","Butler County, Alabama",20280,NA,20280,NA,20027,NA,10704,18,8825,84,15,14,203,26,0,21,13,18,267,95,0,21,267,95,253,NA
"8","01015","Calhoun County, Alabama",115883,NA,115883,NA,111901,NA,84592,40,23561,414,229,79,1079,116,6,10,27,28,2407,435,19,31,2388,437,3982,NA
"9","01017","Chambers County, Alabama",34018,NA,34018,NA,33870,89,19303,24,13770,181,78,41,312,30,0,24,17,26,390,163,18,29,372,160,148,89
"10","01019","Cherokee County, Alabama",25897,NA,25897,NA,25492,NA,23792,21,1193,99,152,82,86,71,0,21,0,21,269,117,6,11,263,112,405,NA
"11","01021","Chilton County, Alabama",43817,NA,43817,NA,40476,NA,35321,60,4386,153,134,90,191,72,0,24,37,60,407,197,0,24,407,197,3341,NA
"12","01023","Choctaw County, Alabama",13287,NA,13287,NA,13213,52,7468,5,5611,114,2,4,6,9,0,18,2,5,124,88,0,18,124,88,74,52
"13","01025","Clarke County, Alabama",24847,NA,24847,NA,24804,37,13213,21,11304,149,8,11,114,101,33,59,0,21,132,96,0,21,132,96,43,37
"14","01027","Clay County, Alabama",13483,NA,13483,NA,13064,NA,10822,18,1988,108,119,34,0,18,0,18,25,32,110,115,0,18,110,115,419,NA
"15","01029","Cleburne County, Alabama",14991,NA,14991,NA,14642,NA,13911,18,354,73,21,40,86,107,0,18,0,18,270,101,0,18,270,101,349,NA
"16","01031","Coffee County, Alabama",50991,NA,50991,NA,47647,NA,36393,7,8671,217,421,87,623,111,0,27,5,6,1534,260,6,6,1528,259,3344,NA
"17","01033","Colbert County, Alabama",54377,NA,54377,NA,53071,NA,42878,46,8509,295,328,121,231,27,31,35,30,46,1064,308,0,27,1064,308,1306,NA
"18","01035","Conecuh County, Alabama",12697,NA,12697,NA,12473,NA,6440,4,5868,114,19,28,14,25,0,18,1,4,131,111,0,18,131,111,224,NA
"19","01037","Coosa County, Alabama",10864,NA,10864,NA,10724,190,7064,18,3516,219,8,13,0,18,0,18,0,18,136,164,0,18,136,164,140,190
"20","01039","Covington County, Alabama",37729,NA,37729,NA,37151,NA,31509,6,4896,69,130,61,176,33,23,27,3,6,414,96,0,24,414,96,578,NA
"21","01041","Crenshaw County, Alabama",13896,NA,13896,NA,13662,NA,9848,22,3290,92,123,17,232,18,0,18,55,63,114,78,0,18,114,78,234,NA
"22","01043","Cullman County, Alabama",81316,NA,81316,NA,77890,NA,75188,104,843,104,425,172,497,27,15,26,63,102,859,208,15,22,844,203,3426,NA
"23","01045","Dale County, Alabama",49607,NA,49607,NA,46686,NA,34820,77,9625,185,286,93,508,94,11,15,77,68,1359,243,58,64,1301,241,2921,NA
"24","01047","Dallas County, Alabama",41426,NA,41426,NA,41029,NA,11628,24,28790,180,91,65,163,55,24,24,0,24,333,191,18,21,315,188,397,NA
"25","01049","DeKalb County, Alabama",70937,NA,70937,NA,60995,NA,57470,20,1048,143,912,287,214,49,70,76,8,14,1273,301,7,13,1266,300,9942,NA
"26","01051","Elmore County, Alabama",80957,NA,80957,NA,78689,NA,59656,109,17092,172,164,96,457,147,0,27,100,109,1220,240,0,27,1220,240,2268,NA
"27","01053","Escambia County, Alabama",37875,NA,37875,NA,37095,NA,22950,34,12245,165,1313,85,40,38,67,89,27,34,453,161,4,6,449,161,780,NA
"28","01055","Etowah County, Alabama",103363,NA,103363,NA,99611,NA,81069,108,15799,224,414,168,699,130,67,59,94,104,1469,293,17,31,1452,293,3752,NA
"29","01057","Fayette County, Alabama",16783,NA,16783,NA,16639,95,14304,18,2054,190,0,18,45,38,0,18,0,18,236,128,0,18,236,128,144,95
"30","01059","Franklin County, Alabama",31573,NA,31573,NA,26516,NA,24650,35,1282,96,234,73,102,24,18,27,22,35,208,113,30,40,178,110,5057,NA
"31","01061","Geneva County, Alabama",26765,NA,26765,NA,25773,NA,22499,21,2522,122,126,50,103,24,0,21,0,21,523,142,3,4,520,143,992,NA
"32","01063","Greene County, Alabama",8587,NA,8587,NA,8534,76,1472,16,6971,101,35,45,14,23,0,16,0,16,42,58,7,23,35,52,53,76
"33","01065","Hale County, Alabama",15159,NA,15159,NA,14976,NA,6059,13,8835,62,49,59,16,17,9,13,0,18,8,13,8,13,0,18,183,NA
"34","01067","Henry County, Alabama",17187,NA,17187,NA,16752,NA,11784,18,4793,54,0,18,0,18,0,18,0,18,175,54,0,18,175,54,435,NA
"35","01069","Houston County, Alabama",103891,NA,103891,NA,100580,NA,70077,55,27401,153,355,67,853,80,20,29,129,53,1745,182,20,17,1725,181,3311,NA
"36","01071","Jackson County, Alabama",52608,NA,52608,NA,51173,NA,47080,91,1733,129,406,139,196,46,21,33,130,91,1607,197,3,5,1604,197,1435,NA
"37","01073","Jefferson County, Alabama",659096,NA,659096,NA,634780,NA,333970,204,279059,1042,1148,254,9909,385,174,37,1530,621,8990,1004,268,180,8722,1010,24316,NA
"38","01075","Lamar County, Alabama",14066,NA,14066,NA,13865,NA,12116,18,1584,98,42,46,0,18,0,18,79,90,44,49,0,18,44,49,201,NA
"39","01077","Lauderdale County, Alabama",92641,NA,92641,NA,90424,NA,78737,58,9045,269,371,108,629,87,15,18,173,129,1454,319,22,25,1432,325,2217,NA
"40","01079","Lawrence County, Alabama",33433,NA,33433,NA,32742,NA,25629,22,3800,91,1653,332,31,31,0,24,0,24,1629,351,12,22,1617,354,691,NA
"41","01081","Lee County, Alabama",153947,NA,153947,NA,148266,NA,104480,218,35541,334,178,112,5469,142,11,37,421,227,2166,400,62,55,2104,398,5681,NA
"42","01083","Limestone County, Alabama",90257,NA,90257,NA,85122,NA,69892,64,11440,288,527,161,1113,177,12,21,125,113,2013,407,53,64,1960,408,5135,NA
"43","01085","Lowndes County, Alabama",10565,NA,10565,NA,10515,39,2578,18,7886,57,8,14,0,18,0,18,0,18,43,41,0,18,43,41,50,39
"44","01087","Macon County, Alabama",19684,NA,19684,NA,19360,NA,3036,18,16049,113,56,17,44,53,0,18,65,68,110,56,0,18,110,56,324,NA
"45","01089","Madison County, Alabama",349973,NA,349973,NA,333611,NA,228991,146,83934,755,1925,293,8528,372,322,38,738,245,9173,881,130,116,9043,865,16362,NA
"46","01091","Marengo County, Alabama",20066,NA,20066,NA,19876,180,9120,12,10587,194,50,33,43,64,0,21,7,12,69,43,0,21,69,43,190,180
"47","01093","Marion County, Alabama",30239,NA,30239,NA,29513,NA,27834,19,982,160,115,58,98,70,0,24,0,24,484,125,12,19,472,125,726,NA
"48","01095","Marshall County, Alabama",94534,NA,94534,NA,82324,NA,77841,69,1976,145,411,141,556,104,20,21,38,54,1482,253,81,53,1401,248,12210,NA
"49","01097","Mobile County, Alabama",414291,NA,414291,NA,403334,NA,239671,91,145837,700,2514,445,8053,274,49,46,540,265,6670,781,131,70,6539,780,10957,NA
"50","01099","Monroe County, Alabama",21975,NA,21975,NA,21839,117,12013,21,9321,130,251,105,50,47,0,21,0,21,204,131,0,21,204,131,136,117
"51","01101","Montgomery County, Alabama",227392,NA,227392,NA,219862,NA,81730,83,128907,382,292,110,5082,514,34,34,315,165,3502,641,469,366,3033,596,7530,NA
"52","01103","Morgan County, Alabama",119555,NA,119555,NA,110216,NA,91602,138,14410,305,628,220,802,181,5,8,125,137,2644,444,21,23,2623,441,9339,NA
"53","01105","Perry County, Alabama",9856,NA,9856,NA,9762,68,2920,16,6760,105,4,9,18,22,0,16,5,7,55,59,0,16,55,59,94,68
"54","01107","Pickens County, Alabama",20042,NA,20042,NA,19556,147,10994,16,8372,177,24,36,12,22,9,15,8,16,137,85,11,15,126,84,486,147
"55","01109","Pike County, Alabama",33277,NA,33277,NA,32547,NA,18822,24,12451,74,215,70,704,70,2,3,0,24,353,119,0,24,353,119,730,NA
"56","01111","Randolph County, Alabama",22615,NA,22615,NA,21954,NA,17060,21,4339,235,74,84,51,64,44,66,0,21,386,194,0,21,386,194,661,NA
"57","01113","Russell County, Alabama",58636,NA,58636,NA,55662,NA,28565,270,24639,385,216,72,398,132,128,30,50,51,1666,507,204,260,1462,424,2974,NA
"58","01115","St. Clair County, Alabama",86576,NA,86576,NA,84615,NA,74718,48,8099,176,240,130,691,83,0,27,24,39,843,238,18,28,825,236,1961,NA
"59","01117","Shelby County, Alabama",205951,NA,205951,NA,194090,NA,162487,100,23815,388,400,189,4088,276,67,24,174,91,3059,494,118,139,2941,518,11861,NA
"60","01119","Sumter County, Alabama",13285,NA,13285,NA,13246,39,3265,18,9520,229,41,59,375,250,0,18,0,18,45,58,3,6,42,59,39,39
"61","01121","Talladega County, Alabama",81057,NA,81057,NA,79305,NA,51487,37,25979,259,208,111,422,83,29,37,43,50,1137,304,0,27,1137,304,1752,NA
"62","01123","Tallapoosa County, Alabama",40958,NA,40958,NA,39970,NA,28291,24,11069,88,138,64,208,90,0,24,0,24,264,149,1,4,263,148,988,NA
"63","01125","Tuscaloosa County, Alabama",202471,NA,202471,NA,195805,NA,127514,232,62688,309,266,102,3033,180,29,36,240,232,2035,377,10,15,2025,377,6666,NA
"64","01127","Walker County, Alabama",65593,NA,65593,NA,64110,NA,58748,24,3711,215,36,23,302,51,0,27,0,27,1313,222,15,24,1298,219,1483,NA
"65","01129","Washington County, Alabama",16909,NA,16909,NA,16690,NA,11001,18,4189,121,1321,70,110,121,0,18,0,18,69,68,0,18,69,68,219,NA
"66","01131","Wilcox County, Alabama",11119,NA,11119,NA,11057,84,3050,18,8000,84,7,7,0,18,0,18,0,18,0,18,0,18,0,18,62,84
"67","01133","Winston County, Alabama",24013,NA,24013,NA,23313,NA,22638,21,98,64,87,62,84,107,0,21,0,21,406,119,0,21,406,119,700,NA
"68","02013","Aleutians East Borough, Alaska",3299,NA,3299,NA,2968,71,492,79,218,80,1099,144,972,169,36,23,0,9,151,41,0,9,151,41,331,71
"69","02016","Aleutians West Census Area, Alaska",5714,NA,5714,NA,4924,NA,1488,7,311,80,721,22,2059,78,141,12,11,7,193,38,0,12,193,38,790,NA
"70","02020","Anchorage Municipality, Alaska",299321,NA,299321,NA,273230,NA,179128,225,15902,571,20098,944,26350,1006,6681,262,552,267,24519,1535,364,259,24155,1514,26091,NA
"71","02050","Bethel Census Area, Alaska",17885,NA,17885,NA,17526,NA,1864,14,135,15,14540,163,161,42,42,58,0,14,784,158,0,14,784,158,359,NA
"72","02060","Bristol Bay Borough, Alaska",942,71,942,71,896,69,500,53,3,3,299,41,11,11,2,4,0,9,81,24,0,9,81,24,46,24
"73","02068","Denali Borough, Alaska",2125,121,2125,121,2108,124,1812,148,21,24,66,51,72,44,0,9,4,6,133,58,0,9,133,58,17,22
"74","02070","Dillingham Census Area, Alaska",4980,NA,4980,NA,4833,NA,838,9,12,12,3550,92,108,78,1,3,0,9,324,66,0,9,324,66,147,NA
"75","02090","Fairbanks North Star Borough, Alaska",100150,NA,100150,NA,92664,NA,71633,33,3982,354,6011,616,2888,264,504,90,104,171,7542,751,26,33,7516,751,7486,NA
"76","02100","Haines Borough, Alaska",2528,NA,2528,NA,2487,29,1944,148,1,3,120,58,85,76,5,10,0,9,332,143,0,9,332,143,41,29
"77","02105","Hoonah-Angoon Census Area, Alaska",2107,NA,2107,NA,2002,58,1018,90,73,47,649,78,48,41,1,3,4,6,209,57,0,9,209,57,105,58
"78","02110","Juneau City and Borough, Alaska",32524,NA,32524,NA,30476,NA,21356,22,364,42,3787,380,2110,133,324,43,147,191,2388,379,5,10,2383,380,2048,NA
"79","02122","Kenai Peninsula Borough, Alaska",57637,NA,57637,NA,55423,NA,46917,66,323,71,4110,353,761,132,190,15,85,66,3037,392,0,20,3037,392,2214,NA
"80","02130","Ketchikan Gateway Borough, Alaska",13715,NA,13715,NA,13081,NA,8858,21,68,33,1775,129,1037,72,10,12,74,55,1259,158,0,14,1259,158,634,NA
"81","02150","Kodiak Island Borough, Alaska",13918,NA,13918,NA,12707,NA,7067,25,16,16,1745,163,3044,71,136,10,0,14,699,177,15,25,684,176,1211,NA
"82","02158","Kusilvak Census Area, Alaska",7993,NA,7993,NA,7886,NA,298,12,28,26,7067,77,31,5,0,12,3,4,459,76,0,12,459,76,107,NA
"83","02164","Lake and Peninsula Borough, Alaska",1411,121,1411,121,1382,122,286,58,11,15,961,90,40,49,1,2,0,9,83,32,0,9,83,32,29,19
"84","02170","Matanuska-Susitna Borough, Alaska",98679,NA,98679,NA,94216,NA,79313,160,971,128,4975,405,1311,186,175,65,226,158,7245,472,95,77,7150,474,4463,NA
"85","02180","Nome Census Area, Alaska",9879,NA,9879,NA,9667,NA,1510,12,75,5,7143,122,127,28,22,18,0,12,790,126,0,12,790,126,212,NA
"86","02185","North Slope Borough, Alaska",9681,NA,9681,NA,9310,NA,3056,11,46,30,4929,190,572,23,160,11,7,11,540,185,0,12,540,185,371,NA
"87","02188","Northwest Arctic Borough, Alaska",7723,NA,7723,NA,7560,NA,862,12,25,15,6340,74,61,9,1,2,0,12,271,70,0,12,271,70,163,NA
"88","02195","Petersburg Borough, Alaska",3196,NA,3196,NA,2865,120,2142,123,75,47,239,70,142,78,20,16,2,3,245,58,12,12,233,57,331,120
"89","02198","Prince of Wales-Hyder Census Area, Alaska",6374,NA,6374,NA,6153,NA,2877,12,13,7,2551,98,69,20,38,2,7,10,598,100,3,4,595,99,221,NA
"90","02220","Sitka City and Borough, Alaska",8921,NA,8921,NA,8365,NA,5544,44,195,113,1115,131,605,59,33,55,0,12,873,140,44,47,829,138,556,NA
"91","02230","Skagway Municipality, Alaska",1014,95,1014,95,950,94,775,91,5,6,47,30,76,109,0,9,2,2,45,15,4,6,41,15,64,35
"92","02240","Southeast Fairbanks Census Area, Alaska",6970,NA,6970,NA,6617,NA,5255,12,88,57,768,61,124,11,3,8,0,12,379,85,11,12,368,84,353,NA
"93","02261","Valdez-Cordova Census Area, Alaska",9522,NA,9522,NA,9078,NA,6679,25,12,16,1369,163,353,69,51,9,2,5,612,182,11,20,601,182,444,NA
"94","02275","Wrangell City and Borough, Alaska",2401,NA,2401,NA,2329,57,1594,106,7,9,420,84,83,60,0,9,2,3,223,51,0,9,223,51,72,57
"95","02282","Yakutat City and Borough, Alaska",646,74,646,74,628,72,279,60,7,11,201,32,38,38,7,8,0,9,96,26,0,9,96,26,18,14
"96","02290","Yukon-Koyukuk Census Area, Alaska",5600,NA,5600,NA,5493,NA,1190,5,21,13,3924,38,41,12,0,12,7,6,310,38,0,12,310,38,107,NA
"97","04001","Apache County, Arizona",72346,NA,72346,NA,68043,NA,13436,6,352,114,52597,297,259,53,64,60,36,36,1299,323,36,49,1263,327,4303,NA
"98","04003","Cochise County, Arizona",128177,NA,128177,NA,84080,NA,72163,110,4761,296,1047,145,2219,257,363,64,166,132,3361,409,75,44,3286,411,44097,NA
"99","04005","Coconino County, Arizona",138064,NA,138064,NA,119134,NA,75410,243,1854,174,35829,387,2315,235,153,54,258,199,3315,487,148,143,3167,501,18930,NA
"100","04007","Gila County, Arizona",53179,NA,53179,NA,43315,NA,33621,112,294,82,8132,187,404,55,0,28,0,28,864,237,71,112,793,218,9864,NA
"101","04009","Graham County, Arizona",37529,NA,37529,NA,25483,NA,19313,22,680,71,4741,209,265,33,49,33,13,22,422,222,0,25,422,222,12046,NA
"102","04011","Greenlee County, Arizona",9224,NA,9224,NA,4934,NA,4407,17,164,17,301,43,51,41,0,17,0,17,11,16,4,7,7,12,4290,NA
"103","04012","La Paz County, Arizona",20304,NA,20304,NA,14988,NA,11956,22,77,56,2449,125,141,22,48,48,0,22,317,109,0,22,317,109,5316,NA
"104","04013","Maricopa County, Arizona",4088549,NA,4088549,NA,2850257,NA,2327125,741,204984,2087,63011,1097,153811,1762,7856,457,5123,730,88347,2843,3449,646,84898,2832,1238292,NA
"105","04015","Mohave County, Arizona",203629,NA,203629,NA,171642,NA,159345,177,1938,201,3850,341,2339,184,279,111,215,184,3676,475,72,47,3604,473,31987,NA
"106","04017","Navajo County, Arizona",108209,NA,108209,NA,96252,NA,45369,147,728,125,46709,328,659,102,100,33,123,148,2564,366,110,88,2454,342,11957,NA
"107","04019","Pima County, Arizona",1003338,NA,1003338,NA,641073,NA,534494,319,32104,621,23918,711,26022,654,1286,222,1339,358,21910,1075,781,281,21129,1050,362265,NA
"108","04021","Pinal County, Arizona",397604,NA,397604,NA,281532,NA,230156,388,17231,563,18348,579,6598,376,1314,243,460,390,7425,945,262,182,7163,914,116072,NA
"109","04023","Santa Cruz County, Arizona",46547,NA,46547,NA,7811,NA,7110,18,93,64,78,86,357,68,18,30,13,18,142,86,0,25,142,86,38736,NA
"110","04025","Yavapai County, Arizona",218586,NA,218586,NA,187864,NA,177403,93,1133,114,3389,312,1747,217,47,38,120,89,4025,418,100,75,3925,398,30722,NA
"111","04027","Yuma County, Arizona",203292,NA,203292,NA,77320,NA,66568,94,3652,236,1792,203,2333,187,255,72,111,93,2609,409,104,66,2505,400,125972,NA
"112","05001","Arkansas County, Arkansas",18569,NA,18569,NA,18013,NA,13071,13,4783,87,11,11,1,4,0,18,0,18,147,87,9,13,138,86,556,NA
"113","05003","Ashley County, Arkansas",20989,NA,20989,NA,19909,NA,14270,21,5440,40,43,40,0,21,0,21,19,31,137,40,0,21,137,40,1080,NA
"114","05005","Baxter County, Arkansas",40992,NA,40992,NA,40156,NA,39042,24,101,81,218,71,227,57,7,12,0,24,561,119,0,24,561,119,836,NA
"115","05007","Benton County, Arkansas",245231,NA,245231,NA,205826,NA,183280,239,3502,224,3182,384,8632,275,1045,50,418,255,5767,519,123,103,5644,505,39405,NA
"116","05009","Boone County, Arkansas",37301,NA,37301,NA,36442,NA,35190,3,127,52,284,132,191,52,46,57,2,3,602,143,0,24,602,143,859,NA
"117","05011","Bradley County, Arkansas",11096,NA,11096,NA,9523,NA,6266,13,3223,23,0,18,0,18,0,18,8,13,26,23,0,18,26,23,1573,NA
"118","05013","Calhoun County, Arkansas",5210,NA,5210,NA,5012,NA,3796,16,1140,39,6,12,11,23,15,19,0,16,44,38,0,16,44,38,198,NA
"119","05015","Carroll County, Arkansas",27690,NA,27690,NA,23669,NA,22453,13,141,52,95,53,245,12,141,21,0,21,594,84,8,13,586,82,4021,NA
"120","05017","Chicot County, Arkansas",11189,NA,11189,NA,10611,NA,4379,25,6067,65,47,12,46,39,0,18,0,18,72,50,21,25,51,51,578,NA
"121","05019","Clark County, Arkansas",22684,NA,22684,NA,21671,NA,15736,21,5348,107,33,40,174,3,0,21,0,21,380,112,0,21,380,112,1013,NA
"122","05021","Clay County, Arkansas",15202,NA,15202,NA,14927,NA,14596,5,76,65,62,49,26,35,0,18,11,16,156,47,4,5,152,47,275,NA
"123","05023","Cleburne County, Arkansas",25587,NA,25587,NA,24972,NA,24308,21,143,10,103,59,147,109,0,21,0,21,271,93,0,21,271,93,615,NA
"124","05025","Cleveland County, Arkansas",8421,NA,8421,NA,8232,NA,7132,11,885,99,19,23,9,11,0,16,0,16,187,93,6,11,181,94,189,NA
"125","05027","Columbia County, Arkansas",24168,NA,24168,NA,23549,NA,14312,38,8383,328,76,52,256,21,0,21,344,323,178,87,0,21,178,87,619,NA
"126","05029","Conway County, Arkansas",21060,NA,21060,NA,20270,NA,17225,10,2484,114,104,63,11,13,0,21,10,10,436,125,0,21,436,125,790,NA
"127","05031","Craighead County, Arkansas",102884,NA,102884,NA,98028,NA,80214,82,14233,379,278,124,1222,110,80,143,85,74,1916,451,71,65,1845,445,4856,NA
"128","05033","Crawford County, Arkansas",61927,NA,61927,NA,57599,NA,52938,18,825,155,896,239,1081,41,0,27,5,10,1854,305,11,16,1843,304,4328,NA
"129","05035","Crittenden County, Arkansas",49511,NA,49511,NA,48360,NA,21613,39,25033,364,85,47,324,66,75,86,45,42,1185,356,0,24,1185,356,1151,NA
"130","05037","Cross County, Arkansas",17329,NA,17329,NA,17007,NA,12686,14,4020,98,27,20,52,73,0,18,8,14,214,73,0,18,214,73,322,NA
"131","05039","Dallas County, Arkansas",7738,NA,7738,NA,7509,NA,4128,16,3153,179,4,6,138,156,0,16,0,16,86,85,0,16,86,85,229,NA
"132","05041","Desha County, Arkansas",12234,NA,12234,NA,11592,NA,5617,12,5827,43,14,20,14,20,0,18,9,12,111,48,0,18,111,48,642,NA
"133","05043","Drew County, Arkansas",18688,NA,18688,NA,18137,NA,12540,18,5369,151,16,26,23,39,0,18,0,18,189,139,0,18,189,139,551,NA
"134","05045","Faulkner County, Arkansas",120417,NA,120417,NA,115663,NA,97912,52,13406,335,395,159,1489,186,170,211,38,47,2253,327,20,22,2233,332,4754,NA
"135","05047","Franklin County, Arkansas",17799,NA,17799,NA,17298,NA,16489,18,161,48,249,93,64,59,26,18,0,18,309,104,0,18,309,104,501,NA
"136","05049","Fulton County, Arkansas",12186,NA,12186,NA,12028,NA,11657,18,9,11,91,102,18,16,0,18,0,18,253,100,0,18,253,100,158,NA
"137","05051","Garland County, Arkansas",97119,NA,97119,NA,92055,NA,80533,43,7927,283,666,184,691,244,9,20,314,333,1915,308,17,30,1898,304,5064,NA
"138","05053","Grant County, Arkansas",18046,NA,18046,NA,17878,77,16809,3,783,81,56,60,33,35,2,3,0,18,195,72,1,3,194,72,168,77
"139","05055","Greene County, Arkansas",43745,NA,43745,NA,42601,NA,41229,56,411,142,149,104,52,47,20,31,48,55,692,175,7,11,685,174,1144,NA
"140","05057","Hempstead County, Arkansas",22208,NA,22208,NA,19426,NA,12299,21,6712,140,39,40,1,2,0,21,0,21,375,151,0,21,375,151,2782,NA
"141","05059","Hot Spring County, Arkansas",33440,NA,33440,NA,32347,NA,27741,58,3770,217,118,66,85,67,0,24,0,24,633,221,36,58,597,216,1093,NA
"142","05061","Howard County, Arkansas",13487,NA,13487,NA,11949,NA,8822,10,2839,86,60,57,21,29,0,18,23,24,184,98,0,18,184,98,1538,NA
"143","05063","Independence County, Arkansas",37030,NA,37030,NA,34809,NA,33066,10,722,110,118,90,318,54,5,8,6,10,574,134,0,24,574,134,2221,NA
"144","05065","Izard County, Arkansas",13461,NA,13461,NA,13207,NA,12871,151,166,117,32,35,21,28,0,18,0,18,117,75,4,6,113,74,254,NA
"145","05067","Jackson County, Arkansas",17495,NA,17495,NA,17026,NA,13540,19,2983,154,62,53,25,34,0,18,16,19,400,166,0,18,400,166,469,NA
"146","05069","Jefferson County, Arkansas",72385,NA,72385,NA,71016,NA,28877,25,40590,196,105,78,579,118,0,27,44,46,821,204,11,18,810,204,1369,NA
"147","05071","Johnson County, Arkansas",26025,NA,26025,NA,22551,NA,21108,10,396,61,83,72,363,62,13,20,6,10,582,112,0,21,582,112,3474,NA
"148","05073","Lafayette County, Arkansas",7127,NA,7127,NA,7056,55,4228,16,2758,66,0,16,31,23,0,16,0,16,39,29,0,16,39,29,71,55
"149","05075","Lawrence County, Arkansas",16915,NA,16915,NA,16706,NA,16237,6,122,59,119,59,14,6,0,18,2,6,212,69,0,18,212,69,209,NA
"150","05077","Lee County, Arkansas",9781,NA,9781,NA,9637,87,3978,16,5614,89,14,17,6,9,0,16,0,16,25,26,0,16,25,26,144,87
"151","05079","Lincoln County, Arkansas",13935,NA,13935,NA,13434,NA,9001,3,4298,83,61,45,0,18,0,18,0,18,74,74,2,3,72,74,501,NA
"152","05081","Little River County, Arkansas",12616,NA,12616,NA,12212,NA,9226,4,2644,44,150,53,0,18,0,18,2,4,190,65,0,18,190,65,404,NA
"153","05083","Logan County, Arkansas",21935,NA,21935,NA,21342,NA,20039,13,381,32,183,89,479,21,0,21,8,13,252,93,0,21,252,93,593,NA
"154","05085","Lonoke County, Arkansas",71279,NA,71279,NA,68384,NA,61916,39,4201,192,303,116,530,93,84,129,53,61,1297,225,34,37,1263,226,2895,NA
"155","05087","Madison County, Arkansas",15761,NA,15761,NA,14934,NA,14271,8,7,10,129,94,66,78,0,18,0,18,461,109,3,8,458,108,827,NA
"156","05089","Marion County, Arkansas",16404,NA,16404,NA,16060,NA,15562,25,59,50,111,56,54,23,0,18,0,18,274,71,17,25,257,65,344,NA
"157","05091","Miller County, Arkansas",43666,NA,43666,NA,42400,NA,30419,24,10892,242,257,111,57,68,31,52,16,24,728,271,32,29,696,265,1266,NA
"158","05093","Mississippi County, Arkansas",44199,NA,44199,NA,42474,NA,26133,28,15368,238,27,20,91,111,33,38,17,28,805,262,0,24,805,262,1725,NA
"159","05095","Monroe County, Arkansas",7542,NA,7542,NA,7361,NA,4122,6,3081,80,7,11,31,26,0,16,0,16,120,75,4,6,116,74,181,NA
"160","05097","Montgomery County, Arkansas",9100,NA,9100,NA,8745,NA,8318,54,53,43,123,64,67,75,0,16,39,53,145,43,3,5,142,42,355,NA
"161","05099","Nevada County, Arkansas",8668,NA,8668,NA,8642,38,5521,16,2945,155,19,16,114,150,0,16,0,16,43,37,0,16,43,37,26,38
"162","05101","Newton County, Arkansas",7988,NA,7988,NA,7902,66,7551,16,0,16,90,73,39,33,0,16,0,16,222,64,0,16,222,64,86,66
"163","05103","Ouachita County, Arkansas",24728,NA,24728,NA,24234,NA,13761,21,10038,160,47,36,16,19,0,21,0,21,372,167,0,21,372,167,494,NA
"164","05105","Perry County, Arkansas",10246,NA,10246,NA,10003,124,9461,21,261,136,30,42,11,24,0,18,3,8,237,88,14,22,223,87,243,124
"165","05107","Phillips County, Arkansas",19929,NA,19929,NA,19597,NA,6923,22,12400,162,2,3,23,23,0,18,15,22,234,161,16,28,218,162,332,NA
"166","05109","Pike County, Arkansas",11017,NA,11017,NA,10290,NA,9642,13,334,71,34,34,77,74,0,18,8,13,195,51,0,18,195,51,727,NA
"167","05111","Poinsett County, Arkansas",24131,NA,24131,NA,23466,NA,21187,21,1437,201,57,48,28,48,0,21,0,21,757,205,0,21,757,205,665,NA
"168","05113","Polk County, Arkansas",20290,NA,20290,NA,19012,NA,17958,17,77,42,241,105,78,55,0,21,11,10,647,137,11,16,636,132,1278,NA
"169","05115","Pope County, Arkansas",63107,NA,63107,NA,57932,NA,53766,27,1728,161,243,106,616,141,0,27,16,25,1563,195,4,11,1559,196,5175,NA
"170","05117","Prairie County, Arkansas",8334,NA,8334,NA,8300,31,7097,3,1114,57,30,28,2,3,0,16,0,16,57,40,1,3,56,40,34,31
"171","05119","Pulaski County, Arkansas",391806,NA,391806,NA,368512,NA,210099,313,139929,882,918,191,8335,350,99,88,771,320,8361,951,313,186,8048,937,23294,NA
