GEOID,year,d16,state,st,poptotal,noncit,popu18,popu25,pop3o,pop324,vapacs,medage,incmed,incpc,gini,hs,ged,some1,some2,assoc,bacc,mast,prof,phd,enroll,pop_check,nothilat,white,black,amind,asian,hawpi,other,multi,hilat,white_prop,black_prop,amind_prop,asian_prop,hawpi_prop,other_prop,multi_prop,hilat_prop,nonwh_prop,lexp,health_index,hsplus,baccplus,mastplus,hsprop,baccprop,gradprop,attain_score,attain_index,enroll_prop,enroll_index,ed_index,inc_index,hdi,presvotes,tovep,tovap,toacs
01,2012,0,Alabama,AL,4822023,96368,1124975,1612377,4645710,1436064,3600680,38.2,27910.6722,23962.5945,0.4726,826740,176803,189488,516444,238555,472037,193901,50713,30508,1220639,4822023,4636582,3212468,1267479,22791,58679,1194,3926,70045,185441,0.6662075232739454,0.26285212658670437,0.004726439504747281,0.01216895896182992,2.476139163998181e-4,8.141811019980618e-4,0.014526060949937402,0.03845709570443774,0.3337924767260546,75.41,3.9208333333333316,2695189,747159,275122,0.839715345555242,0.23278548475439348,0.08571724109138515,1.1582180714010206,4.388120476006804,0.8499892762439557,7.142550749827307,5.306263900613638,3.853761013051258,4.312052123956252,2074338,0.586,0.56,0.5760961818323206
01,2016,1,Alabama,AL,4863300,93554,1099517,1562587,4691088,1390375,3670229,39,29164,25810,0.4847,831521,179715,201485,509746,271030,506680,226164,48931,33747,1186076,4863300,4663614,3197147,1294572,21225,65100,1341,7537,76692,199686,0.657402792342648,0.26619209178952563,0.004364320523101597,0.013385972487816915,2.7573869594719634e-4,0.0015497707318076204,0.01576953920177657,0.04105977422737647,0.342597207657352,75.16,3.8166666666666655,2809019,815522,308842,0.8510340038652254,0.24707449572259085,0.09356826843169945,1.1916767680195157,4.611178453463438,0.8530619437202194,7.2303412491491255,5.484232718692001,4.158299321226151,4.431716307021583,2123372,0.588,0.563,0.5785393772432184
02,2012,0,Alaska,AK,731449,20671,187265,266855,698740,234146,523513,33.8,36135.5715,33494.067,0.4232,106047,24230,34575,94145,38287,79559,36321,8545,5699,195535,731449,687763,460453,24615,100602,42358,8007,780,50948,43686,0.6295080039756702,0.03365238041203146,0.13753795548288397,0.05790971072487624,0.010946764572786346,0.001066376466438535,0.06965352334885959,0.05972528501645364,0.3704919960243298,78.15,5.062500000000002,427408,130124,50565,0.9199602233347827,0.280081103070638,0.10883696302578165,1.3088782894312023,5.392521929541348,0.8350986136854783,6.717103248156525,5.834049035746407,5.644335895518482,5.503631158261007,300495,0.5870000000000001,0.5529999999999999,0.5739972073281848
02,2016,1,Alaska,AK,741894,22753,187296,262943,709834,230883,531845,33.5,36209,34187,0.4081,107185,26743,34525,95125,40819,90861,36182,8730,5804,187359,741894,690590,452757,21768,104362,44235,9766,1741,55961,51304,0.6102718178068565,0.029341118812121408,0.14066969135752547,0.059624420739350904,0.013163605582468655,0.0023466964283307317,0.07542991316818845,0.06915273610515787,0.38972818219314354,77.71,4.879166666666664,445974,141577,50716,0.9311474451457455,0.2955980883221874,0.1058897465502734,1.3326352800182064,5.550901866788043,0.8114889359545744,6.042541027273555,5.714781586949879,5.658409641823595,5.4035589249567995,318608,0.61,0.574,0.5990617567148323
04,2012,0,Arizona,AZ,6553255,487791,1619585,2272791,6299433,2018969,4445879,36.6,30085.8435,25837.38,0.4608,864774,173396,309290,790409,360519,735758,310661,77074,47093,1753081,6553255,4577151,3730370,264171,262675,185306,10868,7219,116542,1976104,0.5692392559117568,0.04031141776109735,0.040083134259234536,0.02827694023809542,0.0016584124988269187,0.0011015899732270452,0.017783834140438607,0.3015454152173233,0.43076074408824316,79.35,5.562499999999998,3668974,1170586,434828,0.8571439918663023,0.273471754464002,0.10158431422387854,1.232200060554183,4.881333737027886,0.8683050606522438,7.665858875778396,5.809508783278056,4.374051851737667,5.2091211079568565,2306559,0.526,0.465,0.5188083166455947
04,2016,1,Arizona,AZ,6931071,498587,1631422,2304662,6680106,2053697,4801062,37.5,30675,27997,0.4713,924912,180585,344919,834817,390843,835779,359075,84523,56517,1761534,6931071,4786296,3834724,284478,274472,214132,12834,10072,155584,2144775,0.553265721848759,0.04104387330616004,0.03960022917093188,0.030894503894131224,0.0018516618860202124,0.0014531664731179351,0.02244732451882256,0.3094435189020571,0.446734278151241,79.29,5.537500000000003,4011970,1335894,500115,0.8671887850814747,0.2887539774369279,0.10810004044173353,1.2640428029601363,5.093618686400908,0.8577380207498964,7.36394344999704,5.850393607599619,4.508505116309975,5.266359036272294,2604657,0.5489999999999999,0.489,0.5425168431484534
05,2012,0,Arkansas,AR,2949131,78901,711629,999749,2836698,887316,2158601,37.6,27031.5711,22731.6429,0.4632,566530,119419,129405,308735,118932,269141,101528,22334,16106,752357,2949131,2751266,2179168,458695,16106,38877,5221,2163,51036,197865,0.7389186848600486,0.1555356476195869,0.005461269777436133,0.013182527327541571,0.0017703520121690084,7.334363919405412e-4,0.017305436754081117,0.0670926452571961,0.26108131513995136,75.85,4.104166666666664,1652130,409109,139968,0.8475147508287242,0.20986599855749155,0.07180121700108034,1.1291819663872962,4.1945464425819745,0.8479019875669999,7.082913930485711,5.157335605216553,3.6318798861812818,4.252006826103472,1069468,0.507,0.47700000000000004,0.4954449664389111
05,2016,1,Arkansas,AR,2988248,87671,707360,997800,2873456,883008,2193217,38,27687,24264,0.4719,552084,129885,135748,313961,133315,282608,118134,26203,18888,739490,2988248,2773704,2175226,462232,16096,41387,8808,2917,67038,214544,0.7279268655078159,0.15468327929944234,0.005386433789966562,0.013849921425530947,0.002947546522243134,9.761572667328816e-4,0.022433880989797365,0.07179591519847081,0.27207313449218407,75.78,4.075,1710826,445833,163225,0.8595180582461838,0.223986258369975,0.08200415182913595,1.1655084684452945,4.436723122968631,0.8374669312169312,6.784769463340892,5.21940523642605,3.7979771475718187,4.32281841052951,1130635,0.528,0.494,0.5155144247012493
06,2012,0,California,CA,38041430,5003267,9239306,13261646,36575440,11795656,23798857,35.5,32036.2506,29766.5523,0.4822,4558433,549534,1411077,4054381,1959097,4865203,1861112,569482,364732,10678252,38041430,23503769,14904055,2150453,145112,5047744,137403,83285,1035717,14537661,0.39178482512355606,0.05652923667695983,0.0038145779483053084,0.13269070063875096,0.0036119304663363074,0.0021893235874676635,0.0272260269921504,0.38215337856647347,0.6082151748764439,80.89,6.2041666666666675,20193051,7660529,2795326,0.8149002025199251,0.309144300854277,0.112806713730838,1.23685121710504,4.912341447366934,0.9052698722309298,8.72199634945514,6.182226414729669,4.809536453409572,5.692598155466395,13038547,0.551,0.451,0.5478644205475919
06,2016,1,California,CA,39250017,4958970,9093249,12945776,37793454,11489213,25197798,36.4,32499,33389,0.4899,4784486,606449,1494632,4107766,2031775,5426164,2203376,622302,408628,10490279,39250017,23969241,14725729,2160958,132153,5518226,137019,105389,1189767,15280776,0.3751776464198729,0.055056230931059214,0.0033669539557142102,0.14059168432971633,0.0034909284243112557,0.002685068900734489,0.030312521902856757,0.38931896513573483,0.6248223535801272,81.16,6.316666666666665,21685578,8660470,3234306,0.8244137513794829,0.32924234536932656,0.12295758695337379,1.2766136837021833,5.177424558014555,0.9130546191458022,8.944417689880064,6.433088935303058,4.9089641018358705,5.842953863188397,14181595,0.565,0.47,0.5628108853003743
