GEOID,year,d14,d16,state,st,poptotal,noncit,popu18,popu25,pop3o,pop324,vapacs,medage,incmed,incpc,gini,hs,ged,some1,some2,assoc,bacc,mast,prof,phd,enroll,pop_check,nothilat,white,black,amind,asian,hawpi,other,multi,hilat,white_prop,black_prop,amind_prop,asian_prop,hawpi_prop,other_prop,multi_prop,hilat_prop,nonwh_prop,lexp,health_index,hsplus,baccplus,mastplus,hsprop,baccprop,gradprop,attain_score,attain_index,enroll_prop,enroll_index,ed_index,inc_index,hdi,presvotes,tovep,tovap,toacs
01,2012,0,0,Alabama,AL,4822023,96368,1124975,1612377,4645710,1436064,3600680,38.2,27910.6722,23962.5945,0.4726,826740,176803,189488,516444,238555,472037,193901,50713,30508,1220639,4822023,4636582,3212468,1267479,22791,58679,1194,3926,70045,185441,0.6662075232739454,0.26285212658670437,0.004726439504747281,0.01216895896182992,2.476139163998181e-4,8.141811019980618e-4,0.014526060949937402,0.03845709570443774,0.3337924767260546,75.41,3.9208333333333316,2695189,747159,275122,0.839715345555242,0.23278548475439348,0.08571724109138515,1.1582180714010206,4.388120476006804,0.8499892762439557,7.142550749827307,5.306263900613638,3.853761013051258,4.312052123956252,2074338,0.586,0.56,0.5760961818323206
01,2014,1,0,Alabama,AL,4849377,92960,1108600,1592611,4678136,1421370,3647817,38.6,27235.6608,23870.3872,0.4758,847523,181142,198029,511129,256777,478058,201391,51876,33082,1190580,4849377,4656964,3205535,1285731,21424,57764,1316,6590,78604,192413,0.6610199619456273,0.26513323257812293,0.004417887081165271,0.011911633185046244,2.7137506529189214e-4,0.00135893744701639,0.016209092425686845,0.03967788027204319,0.3389800380543727,75.52,3.966666666666665,2759007,764407,286349,0.8471615707115586,0.2347135164147501,0.08792433966701937,1.169799426793328,4.46532951195552,0.8376284851938622,6.7893852912532084,5.240014771721416,3.684027726449848,4.246459984910662,1180413,0.32899999999999996,0.315,0.3235943579406533
01,2016,0,1,Alabama,AL,4863300,93554,1099517,1562587,4691088,1390375,3670229,39,29164,25810,0.4847,831521,179715,201485,509746,271030,506680,226164,48931,33747,1186076,4863300,4663614,3197147,1294572,21225,65100,1341,7537,76692,199686,0.657402792342648,0.26619209178952563,0.004364320523101597,0.013385972487816915,2.7573869594719634e-4,0.0015497707318076204,0.01576953920177657,0.04105977422737647,0.342597207657352,75.16,3.8166666666666655,2809019,815522,308842,0.8510340038652254,0.24707449572259085,0.09356826843169945,1.1916767680195157,4.611178453463438,0.8530619437202194,7.2303412491491255,5.484232718692001,4.158299321226151,4.431716307021583,2123372,0.588,0.563,0.5785393772432184
02,2012,0,0,Alaska,AK,731449,20671,187265,266855,698740,234146,523513,33.8,36135.5715,33494.067,0.4232,106047,24230,34575,94145,38287,79559,36321,8545,5699,195535,731449,687763,460453,24615,100602,42358,8007,780,50948,43686,0.6295080039756702,0.03365238041203146,0.13753795548288397,0.05790971072487624,0.010946764572786346,0.001066376466438535,0.06965352334885959,0.05972528501645364,0.3704919960243298,78.15,5.062500000000002,427408,130124,50565,0.9199602233347827,0.280081103070638,0.10883696302578165,1.3088782894312023,5.392521929541348,0.8350986136854783,6.717103248156525,5.834049035746407,5.644335895518482,5.503631158261007,300495,0.5870000000000001,0.5529999999999999,0.5739972073281848
02,2014,1,0,Alaska,AK,736732,21385,186769,271583,704965,239816,528578,33.3,37255.6416,33432.294400000006,0.4175,108523,23464,35472,96087,38086,85634,33103,7223,4304,195830,736732,687456,455009,23608,101285,43532,8331,1735,53956,49276,0.6176045020441626,0.03204421689298144,0.13747875754005526,0.059087972288430525,0.011308046888149287,0.0023549947606456624,0.07323694369187167,0.06688456589370355,0.3823954979558374,78.22,5.091666666666667,431896,130264,44630,0.9285110792455751,0.28004789863033136,0.09594775007578217,1.3045067279516886,5.36337818634459,0.8165843813590419,6.188125181686912,5.638293851458697,5.855970031990737,5.5191073148963765,282382,0.542,0.51,0.5342295744431286
02,2016,0,1,Alaska,AK,741894,22753,187296,262943,709834,230883,531845,33.5,36209,34187,0.4081,107185,26743,34525,95125,40819,90861,36182,8730,5804,187359,741894,690590,452757,21768,104362,44235,9766,1741,55961,51304,0.6102718178068565,0.029341118812121408,0.14066969135752547,0.059624420739350904,0.013163605582468655,0.0023466964283307317,0.07542991316818845,0.06915273610515787,0.38972818219314354,77.71,4.879166666666664,445974,141577,50716,0.9311474451457455,0.2955980883221874,0.1058897465502734,1.3326352800182064,5.550901866788043,0.8114889359545744,6.042541027273555,5.714781586949879,5.658409641823595,5.4035589249567995,318608,0.61,0.574,0.5990617567148323
04,2012,0,0,Arizona,AZ,6553255,487791,1619585,2272791,6299433,2018969,4445879,36.6,30085.8435,25837.38,0.4608,864774,173396,309290,790409,360519,735758,310661,77074,47093,1753081,6553255,4577151,3730370,264171,262675,185306,10868,7219,116542,1976104,0.5692392559117568,0.04031141776109735,0.040083134259234536,0.02827694023809542,0.0016584124988269187,0.0011015899732270452,0.017783834140438607,0.3015454152173233,0.43076074408824316,79.35,5.562499999999998,3668974,1170586,434828,0.8571439918663023,0.273471754464002,0.10158431422387854,1.232200060554183,4.881333737027886,0.8683050606522438,7.665858875778396,5.809508783278056,4.374051851737667,5.2091211079568565,2306559,0.526,0.465,0.5188083166455947
04,2014,1,0,Arizona,AZ,6731484,514527,1622071,2295258,6482310,2046084,4594886,36.9,30070.054400000005,26003.008,0.4676,899108,180704,344474,794213,376649,765784,328400,74530,53578,1757664,6731484,4675028,3777085,265671,266580,206338,11496,7948,139910,2056456,0.5611073278938196,0.03946692883768275,0.03960196592608703,0.030652676289507633,0.0017077957847036404,0.0011807203285337973,0.020784421384645643,0.30549816355501996,0.43889267210618044,79.61,5.6708333333333325,3817440,1222292,456508,0.8605152217222477,0.27552518740028126,0.10290458601523006,1.238944995137759,4.926299967585059,0.8590380453588415,7.401087010252616,5.751228981807578,4.370412449708613,5.223681098574058,1506416,0.33399999999999996,0.295,0.32784621860041796
04,2016,0,1,Arizona,AZ,6931071,498587,1631422,2304662,6680106,2053697,4801062,37.5,30675,27997,0.4713,924912,180585,344919,834817,390843,835779,359075,84523,56517,1761534,6931071,4786296,3834724,284478,274472,214132,12834,10072,155584,2144775,0.553265721848759,0.04104387330616004,0.03960022917093188,0.030894503894131224,0.0018516618860202124,0.0014531664731179351,0.02244732451882256,0.3094435189020571,0.446734278151241,79.29,5.537500000000003,4011970,1335894,500115,0.8671887850814747,0.2887539774369279,0.10810004044173353,1.2640428029601363,5.093618686400908,0.8577380207498964,7.36394344999704,5.850393607599619,4.508505116309975,5.266359036272294,2604657,0.5489999999999999,0.489,0.5425168431484534
05,2012,0,0,Arkansas,AR,2949131,78901,711629,999749,2836698,887316,2158601,37.6,27031.5711,22731.6429,0.4632,566530,119419,129405,308735,118932,269141,101528,22334,16106,752357,2949131,2751266,2179168,458695,16106,38877,5221,2163,51036,197865,0.7389186848600486,0.1555356476195869,0.005461269777436133,0.013182527327541571,0.0017703520121690084,7.334363919405412e-4,0.017305436754081117,0.0670926452571961,0.26108131513995136,75.85,4.104166666666664,1652130,409109,139968,0.8475147508287242,0.20986599855749155,0.07180121700108034,1.1291819663872962,4.1945464425819745,0.8479019875669999,7.082913930485711,5.157335605216553,3.6318798861812818,4.252006826103472,1069468,0.507,0.47700000000000004,0.4954449664389111
05,2014,1,0,Arkansas,AR,2966369,89761,706140,997955,2859437,891023,2170468,37.8,26662.310400000002,23139.289600000004,0.4714,568437,118349,131244,316818,123871,272411,104636,24531,19380,746254,2966369,2760606,2176186,465816,15471,36406,7148,3372,56207,205763,0.7336194519292778,0.15703238538428632,0.005215467124959842,0.012272916821878869,0.00240967998249712,0.0011367432709821334,0.018948080970371522,0.06936527451574635,0.2663805480707222,75.97,4.154166666666666,1679677,420958,148547,0.8533149022512541,0.21385643467278734,0.07546532385971651,1.142636660783758,4.284244405225053,0.8375249572682186,6.786427350520533,5.118305386990213,3.536519940159186,4.220806158187654,848592,0.401,0.375,0.39097190099093837
05,2016,0,1,Arkansas,AR,2988248,87671,707360,997800,2873456,883008,2193217,38,27687,24264,0.4719,552084,129885,135748,313961,133315,282608,118134,26203,18888,739490,2988248,2773704,2175226,462232,16096,41387,8808,2917,67038,214544,0.7279268655078159,0.15468327929944234,0.005386433789966562,0.013849921425530947,0.002947546522243134,9.761572667328816e-4,0.022433880989797365,0.07179591519847081,0.27207313449218407,75.78,4.075,1710826,445833,163225,0.8595180582461838,0.223986258369975,0.08200415182913595,1.1655084684452945,4.436723122968631,0.8374669312169312,6.784769463340892,5.21940523642605,3.7979771475718187,4.32281841052951,1130635,0.528,0.494,0.5155144247012493
06,2012,0,0,California,CA,38041430,5003267,9239306,13261646,36575440,11795656,23798857,35.5,32036.2506,29766.5523,0.4822,4558433,549534,1411077,4054381,1959097,4865203,1861112,569482,364732,10678252,38041430,23503769,14904055,2150453,145112,5047744,137403,83285,1035717,14537661,0.39178482512355606,0.05652923667695983,0.0038145779483053084,0.13269070063875096,0.0036119304663363074,0.0021893235874676635,0.0272260269921504,0.38215337856647347,0.6082151748764439,80.89,6.2041666666666675,20193051,7660529,2795326,0.8149002025199251,0.309144300854277,0.112806713730838,1.23685121710504,4.912341447366934,0.9052698722309298,8.72199634945514,6.182226414729669,4.809536453409572,5.692598155466395,13038547,0.551,0.451,0.5478644205475919
06,2014,1,0,California,CA,38802500,4983781,9151579,13148208,37329816,11675524,24667140,36,31581.798400000003,30781.939200000004,0.489,4768478,592375,1463370,4097190,2002684,5120162,2035257,586986,394265,10531321,38802500,23813730,14849129,2155733,135245,5329431,137838,96073,1110281,14988770,0.3826848527801044,0.05555654919141808,0.003485471296952516,0.13734761935442305,0.0035522968880871077,0.002475948714644675,0.028613646027962115,0.38628361574640807,0.6173151472198957,81.31,6.379166666666668,21060767,8136670,3016508,0.8209451658225454,0.3171660321009833,0.11758297597922406,1.2556941739027527,5.037961159351685,0.9019998588500182,8.628567395714807,6.234829904806059,4.710483800344527,5.7220461708813355,7317581,0.299,0.247,0.29665299665871275
06,2016,0,1,California,CA,39250017,4958970,9093249,12945776,37793454,11489213,25197798,36.4,32499,33389,0.4899,4784486,606449,1494632,4107766,2031775,5426164,2203376,622302,408628,10490279,39250017,23969241,14725729,2160958,132153,5518226,137019,105389,1189767,15280776,0.3751776464198729,0.055056230931059214,0.0033669539557142102,0.14059168432971633,0.0034909284243112557,0.002685068900734489,0.030312521902856757,0.38931896513573483,0.6248223535801272,81.16,6.316666666666665,21685578,8660470,3234306,0.8244137513794829,0.32924234536932656,0.12295758695337379,1.2766136837021833,5.177424558014555,0.9130546191458022,8.944417689880064,6.433088935303058,4.9089641018358705,5.842953863188397,14181595,0.565,0.47,0.5628108853003743
08,2012,0,0,Colorado,CO,5187582,273349,1231307,1742928,4989990,1545336,3682926,36.2,32901.6978,31854.5487,0.4579,619568,132632,209243,580017,288253,818469,342776,76550,53211,1395046,5187582,4098840,3599838,204851,29779,144241,4730,7364,108037,1088742,0.6939337055298596,0.03948872519027169,0.005740439380042571,0.027805054455042832,9.117928159978966e-4,0.0014195438260060276,0.02082608043593335,0.20987465836684605,0.30606629447014044,80.31,5.9625,3120719,1291006,472537,0.9059600761063376,0.37478539208872647,0.13717981544735697,1.417925283642421,6.119501890949474,0.9027460694632106,8.649887698948875,6.962963826949274,4.994343526634725,5.918799758411718,2569522,0.6990000000000001,0.645,0.6976849385515755
08,2014,1,0,Colorado,CO,5355866,297577,1247145,1771403,5156812,1572349,3811144,36.3,32741.644800000002,32719.398400000002,0.4584,640470,143346,228712,564212,294629,862158,373532,75829,62693,1404518,5355866,4220759,3686726,205894,30777,155985,6092,7508,127777,1135107,0.6883529199572954,0.038442709358299854,0.005746409637582419,0.029124141642079916,0.0011374444394239886,0.001401827454234292,0.023857392996762802,0.2119371545143213,0.3116470800427046,80.25,5.9375,3245581,1374212,512054,0.9054580839584618,0.3833801604312836,0.14285375522079596,1.4316919996105415,6.211279997403611,0.8932609745037521,8.37888498582149,6.933814993542903,4.960535108334519,5.8889084129913,2041020,0.537,0.494,0.5355399848444456
08,2016,0,1,Colorado,CO,5540545,300755,1260512,1795039,5339884,1594378,3979278,36.7,35274,34542,0.4586,673089,149055,218245,569121,322529,934273,409712,87779,61117,1382107,5540545,4359327,3796733,220728,28993,173588,7397,6313,125575,1181218,0.6852634533245375,0.039838680129842825,0.005232878715000059,0.03133049185594558,0.0013350672181166293,0.0011394185951021064,0.022664737855210993,0.21319527230624424,0.31473654667546247,80.09,5.870833333333335,3424920,1492881,558608,0.9144078263390848,0.39857925738204664,0.14914086374444468,1.4621279474655762,6.414186316437175,0.8668628142134425,7.624651834669786,6.817674822514711,5.477031699545981,6.029673039129599,2780247,0.7,0.6459999999999999,0.6986812683104825
09,2012,0,0,Connecticut,CT,3590347,238122,792766,1132369,3479966,1021988,2559459,40.4,38770.7742,38746.6173,0.4915,607054,75153,130546,302473,182429,503440,294155,73294,40248,954957,3590347,3079700,2512773,339063,6099,146701,2233,10714,62117,510647,0.6998691212854914,0.09443739003500219,0.001698721599889927,0.04085983889579475,6.219454554114128e-4,0.0029841126776882568,0.017301113235016003,0.14222775681570612,0.3001308787145086,80.91,6.212499999999999,2208792,911137,407697,0.8986215499080952,0.3706855797732933,0.16586682224169622,1.4351739519230846,6.234493012820565,0.93441116725441,9.55460477869743,7.341196934779519,6.132342319305961,6.539630672645288,1558960,0.613,0.556,0.6090974694261561
09,2014,1,0,Connecticut,CT,3596677,232228,774876,1124859,3487342,1015524,2589573,40.5,38873.5616,39813.977600000006,0.5005,599611,80663,133471,288203,184589,527472,298684,71642,42316,928526,3596677,3055524,2465919,349742,4731,149568,630,12292,72642,541153,0.6856103564484661,0.09724031376740253,0.0013153808362552433,0.041585051979924806,1.7516168396550482e-4,0.003417599078260294,0.020196976264479687,0.15045915994124576,0.31438964355153387,81.12,6.3000000000000025,2226651,940114,412642,0.900815108555727,0.380333018045827,0.16693866619629763,1.4480867927978518,6.320578618652345,0.9143319114073128,8.980911754494654,7.207356330599781,6.150698453178853,6.53652600081695,1089880,0.423,0.385,0.42087247588695126
09,2016,0,1,Connecticut,CT,3576452,221505,752162,1108715,3469051,1001314,2602785,40.9,40323,41087,0.4945,597334,81442,120316,294834,186288,541369,297488,74865,39866,914755,3576452,3014105,2411769,352345,4968,159838,505,11451,73229,562347,0.6743468107498717,0.09851802848185856,0.0013890861669609994,0.044691778332268964,1.4120139177039144e-4,0.003201776509233173,0.020475320233572267,0.15723599813446398,0.3256531892501283,80.89,6.2041666666666675,2233802,953588,412219,0.905202620862758,0.3864220538898594,0.1670433275507074,1.458668002303325,6.391120015355499,0.9135545892696996,8.958702550562846,7.246980860424614,6.40449914065745,6.6035161962864075,1644920,0.637,0.583,0.6319845857418112
10,2012,0,0,Delaware,DE,917092,36062,204920,298480,882536,263924,676110,39.2,33368.031,30148.8615,0.4356,173099,21805,38540,86847,44331,111921,52001,9864,8903,236066,917092,838279,589642,191258,2543,30485,101,4138,20112,78813,0.6429474905462047,0.20854832448652916,0.0027728951948114257,0.03324093984027775,1.1013071752888478e-4,0.0045120882092527246,0.021930188029118124,0.08593794297627719,0.3570525094537953,78.6,5.249999999999998,547311,182689,70768,0.8847403542123334,0.2953208149858069,0.11439803948193698,1.2944592086800775,5.296394724533849,0.8944468862248223,8.412768177852065,6.335185875639921,5.091918664149352,5.532652255547827,413921,0.623,0.578,0.6122095517001671
10,2014,1,0,Delaware,DE,935614,37384,203842,295271,903972,263629,694388,39.6,33192.64000000001,30829.465600000003,0.4494,178275,21472,37791,85470,50787,116931,57035,10712,11203,235650,935614,852288,594488,197763,2817,36038,216,1556,19410,83326,0.6353987862515952,0.2113724249530255,0.003010857041472231,0.03851802132075835,2.308644376847717e-4,0.0016630790048032629,0.02074573488639546,0.08906023210426522,0.3646012137484048,78.88,5.366666666666665,569676,195881,78950,0.8896419575133951,0.3059001191548904,0.12329329749837196,1.3188353741666576,5.458902494444384,0.8938697942942544,8.396279836978698,6.438028275289155,5.055380941140466,5.5898968757632606,234038,0.34299999999999997,0.318,0.3370421147830896
10,2016,0,1,Delaware,DE,952065,42619,204237,289518,919219,256672,705209,40.6,35408,31712,0.4522,188694,23780,44010,78172,52228,121717,58672,12881,11799,227224,952065,864913,597331,203278,3281,35591,990,1419,23023,87152,0.6274056918382673,0.2135127328491227,0.0034461932746188547,0.03738295179425775,0.0010398449685683226,0.001490444454947929,0.024182172435705546,0.09153996838451156,0.37259430816173267,78.43,5.179166666666669,591953,205069,83352,0.8934505778457981,0.3095161550803188,0.125805414559269,1.328772147485386,5.525147649902573,0.8852699164692682,8.150569041979093,6.400288113928079,5.503319082385259,5.671457758863049,443814,0.642,0.5920000000000001,0.6293368348957543
11,2012,0,0,District of Columbia,DC,632323,50687,109452,192792,608482,168951,472184,33.7,47242.494,47585.9421,0.5343,69175,11906,15782,45655,14083,100904,77488,38125,16274,159737,632323,569597,222975,308286,1566,21717,54,1659,13340,62726,0.35262832444810643,0.4875451312066776,0.0024765823795749957,0.034344788976519915,8.539939239913779e-5,0.0026236591109290663,0.02109681286304626,0.09919930162274661,0.6473716755518936,78.08,5.033333333333333,389392,232791,131887,0.8859261349028851,0.5296349973039445,0.30006302172087973,1.7156241539277093,8.104161026184729,0.9454634775763388,9.870385073609679,8.692902375326378,7.502489695464952,6.8982982535061055,293764,0.615,0.555,0.6221388272368399
11,2014,1,0,District of Columbia,DC,658893,51013,115030,195682,633315,170104,492850,33.8,46515.200000000004,46390.822400000005,0.5224,71358,12855,16560,46376,15936,112706,86777,36729,18460,164598,658893,590537,235433,314473,1218,24540,137,1348,13388,68356,0.3573159830200048,0.47727476236657546,0.0018485550764691687,0.037244287008664535,2.0792450367510353e-4,0.0020458557003944495,0.02031892887008968,0.10374370345412684,0.6426840169799952,78.5,5.208333333333334,417757,254672,141966,0.9018719330931261,0.5497969607802924,0.3064823590113361,1.7581512528847547,8.387675019231699,0.9676315665710389,10.503759044886827,9.093036361116742,7.394926756525816,7.048778419983419,175071,0.353,0.32,0.3552216698792736
11,2016,0,1,District of Columbia,DC,681170,46918,120782,201012,654704,174546,513470,33.9,50364,50567,0.542,73974,11274,16770,45436,14086,115097,98988,38236,20554,168430,681170,606748,247185,315848,1529,25952,41,1929,14264,74422,0.3628829807537032,0.4636845427719952,0.0022446672636786706,0.038099152928050266,6.0190554487132436e-5,0.0028318921855043527,0.02094044071230383,0.10925613283027731,0.6371170192462968,78.01,5.004166666666668,434415,272875,157778,0.9047334419087051,0.5683025170881252,0.32859600381541076,1.801631962812241,8.677546418748273,0.9649605261650224,10.427443604714925,9.260845480737157,7.946082452331424,7.167678055906485,311268,0.604,0.5539999999999999,0.6062048415681539
12,2012,0,0,Florida,FL,19317568,1654785,4000973,5813821,18689114,5185367,13661810,41.1,27942.1812,26707.0284,0.4828,3457338,562857,863192,1939033,1236800,2329936,874523,272260,146350,4688008,19317568,14833367,10966711,2958587,41291,477131,10245,51896,327506,4484201,0.5677066077883096,0.15315525225535637,0.002137484387268625,0.024699330681791826,5.303462630492616e-4,0.0026864665365743763,0.016953790456438408,0.23213072163121154,0.4322933922116904,79.6,5.666666666666664,11682289,3623069,1293133,0.8651146233708318,0.26830101304474974,0.09576105061802476,1.2291766870336063,4.861177913557375,0.9040841275072719,8.688117928779196,6.1368245852979815,3.861583415614262,5.120891791805001,8474179,0.628,0.551,0.6202823051996771
12,2014,1,0,Florida,FL,19893297,1677483,4054023,5852101,19260349,5219153,14161791,41.6,27555.200000000004,26879.7184,0.4834,3557737,593563,900683,2004771,1358245,2448663,964916,261794,155131,4674255,19893297,15104427,11055931,3083879,38726,517141,13361,59892,335497,4788870,0.5557616216155623,0.15502101034333324,0.0019466858610716967,0.025995741178548734,6.716332642095476e-4,0.003010662335157415,0.016864826378453004,0.2407278190236641,0.4442383783844377,79.71,5.712499999999997,12245503,3830504,1381841,0.8721125322942576,0.2728046813106234,0.09841334028810651,1.2433305538929873,4.955537025953249,0.895596469388807,8.445613411108772,6.11889582100509,3.76489481451848,5.086480373706334,5951561,0.428,0.376,0.420254825113575
12,2016,0,1,Florida,FL,20612439,1734737,4145140,5908768,19944148,5240477,14732562,42.1,29550,28621,0.4852,3629364,620369,937204,2023944,1429121,2675907,1061264,307323,163962,4718808,20612439,15485861,11271384,3162469,38654,550606,10290,70928,381530,5126578,0.5468243714390131,0.15342526908145127,0.0018752754101540336,0.02671231677144078,4.992131207762459e-4,0.003441028982547868,0.018509696984427705,0.248712828210189,0.4531756285609869,79.46,5.608333333333331,12848458,4208456,1532549,0.8738265430449308,0.28621804718019056,0.1042290051239585,1.2642735953490798,5.095157302327199,0.9004539090620949,8.58439740177414,6.2582373354761796,4.249458993298604,5.303222273179562,9420039,0.645,0.569,0.6394026375045969
13,2012,0,0,Georgia,GA,9919945,532256,2495747,3516107,9540591,3136753,6891942,35.7,29704.584600000002,25544.3463,0.4809,1492541,318325,365365,1007268,453039,1140757,468599,123173,74746,2797844,9919945,9015602,5460416,3023619,17070,335167,2458,18170,158702,904343,0.5504482131705367,0.30480199234975597,0.0017207756696231682,0.03378718329587513,2.477836318648944e-4,0.001831663381198182,0.015998274183979852,0.09116411431716608,0.4495517868294633,77.76,4.900000000000002,5443813,1807275,666518,0.8500859953046908,0.2822174764570871,0.1040810214124717,1.2363844931742496,4.9092299544949975,0.8919554711512191,8.341584890034833,6.053348266341609,4.285632958379912,5.0280806839409875,3900050,0.59,0.523,0.5658854935227255
13,2014,1,0,Georgia,GA,10097343,537376,2491421,3520935,9716948,3140540,7068546,36.1,30274.316800000004,25901.888000000003,0.4801,1552824,317143,372490,1016920,462543,1199733,503513,126094,81260,2780545,10097343,9175228,5474262,3116136,16968,370080,6338,22687,168757,922115,0.5421487613127532,0.3086095025196232,0.0016804420727314106,0.0366512259710302,6.2768987841653e-4,0.002246828695430075,0.016713010541486013,0.09132253900852927,0.45785123868724675,77.63,4.845833333333331,5632520,1910600,710867,0.8564736251157167,0.2905233373598475,0.10809350636396038,1.2550904688395246,5.033936458930164,0.8853716239882313,8.153474971092326,6.073782629650884,4.4173482453163535,5.065975894265448,2567761,0.382,0.33799999999999997,0.36326579752045185
13,2016,0,1,Georgia,GA,10310371,558480,2510610,3524976,9922591,3137196,7241281,36.5,31026,28183,0.4813,1550795,333285,372145,1022060,518208,1270275,560593,145085,90323,2747236,10310371,9348037,5484889,3205543,17417,396429,5134,32116,206509,962334,0.5319778502635841,0.31090471914153234,0.0016892699593448188,0.03844953784883202,4.979452242795143e-4,0.0031149218587769537,0.020029250159863305,0.09333650554378693,0.46802214973641587,77.46,4.774999999999998,5862769,2066276,796001,0.8640276653017253,0.3045181599597371,0.11731093031430005,1.2858567555757623,5.239045037171749,0.8756979162283772,7.8770833208107796,6.118391131718092,4.5873857624984975,5.117509116706341,4114732,0.591,0.526,0.568232609672239
15,2012,0,0,Hawaii,HI,1392313,99990,302881,440032,1340261,387980,989442,38.3,33058.1925,29512.3797,0.4257,244511,24793,49630,159959,95686,186586,66566,22483,10581,336071,1392313,1260570,317032,24104,2069,520824,130717,2760,263064,131743,0.2277016734024605,0.017312199196588697,0.0014860164345229844,0.3740710601710966,0.09388478021824116,0.001982312885105576,0.1889402742055845,0.09462168348639997,0.7722983265975395,81.42,6.425000000000001,860795,286216,99630,0.9039296174133475,0.30055834359816064,0.10462248012928957,1.3091104411407979,5.39406960760532,0.8662070209804629,7.605914885156083,6.131351366788907,5.027241669724307,5.828896805256995,434697,0.442,0.39899999999999997,0.4393355042539128
