GEOID,year,d14,d16,state,st,poptotal,noncit,popu18,popu25,pop3o,pop324,vapacs,medage,incmed,incpc,gini,hs,ged,some1,some2,assoc,bacc,mast,prof,phd,enroll,pop_check,nothilat,white,black,amind,asian,hawpi,other,multi,hilat,white_prop,black_prop,amind_prop,asian_prop,hawpi_prop,other_prop,multi_prop,hilat_prop,nonwh_prop
01,2012,0,0,Alabama,AL,4822023,96368,1124975,1612377,4645710,1436064,3600680,38.2,26574,22815,0.4726,826740,176803,189488,516444,238555,472037,193901,50713,30508,1220639,4822023,4636582,3212468,1267479,22791,58679,1194,3926,70045,185441,0.6662075232739454,0.26285212658670437,0.004726439504747281,0.01216895896182992,2.476139163998181e-4,8.141811019980618e-4,0.014526060949937402,0.03845709570443774,0.3337924767260546
01,2014,1,0,Alabama,AL,4849377,92960,1108600,1592611,4678136,1421370,3647817,38.6,26934,23606,0.4758,847523,181142,198029,511129,256777,478058,201391,51876,33082,1190580,4849377,4656964,3205535,1285731,21424,57764,1316,6590,78604,192413,0.6610199619456273,0.26513323257812293,0.004417887081165271,0.011911633185046244,2.7137506529189214e-4,0.00135893744701639,0.016209092425686845,0.03967788027204319,0.3389800380543727
01,2016,0,1,Alabama,AL,4863300,93554,1099517,1562587,4691088,1390375,3670229,39,29164,25810,0.4847,831521,179715,201485,509746,271030,506680,226164,48931,33747,1186076,4863300,4663614,3197147,1294572,21225,65100,1341,7537,76692,199686,0.657402792342648,0.26619209178952563,0.004364320523101597,0.013385972487816915,2.7573869594719634e-4,0.0015497707318076204,0.01576953920177657,0.04105977422737647,0.342597207657352
02,2012,0,0,Alaska,AK,731449,20671,187265,266855,698740,234146,523513,33.8,34405,31890,0.4232,106047,24230,34575,94145,38287,79559,36321,8545,5699,195535,731449,687763,460453,24615,100602,42358,8007,780,50948,43686,0.6295080039756702,0.03365238041203146,0.13753795548288397,0.05790971072487624,0.010946764572786346,0.001066376466438535,0.06965352334885959,0.05972528501645364,0.3704919960243298
02,2014,1,0,Alaska,AK,736732,21385,186769,271583,704965,239816,528578,33.3,36843,33062,0.4175,108523,23464,35472,96087,38086,85634,33103,7223,4304,195830,736732,687456,455009,23608,101285,43532,8331,1735,53956,49276,0.6176045020441626,0.03204421689298144,0.13747875754005526,0.059087972288430525,0.011308046888149287,0.0023549947606456624,0.07323694369187167,0.06688456589370355,0.3823954979558374
02,2016,0,1,Alaska,AK,741894,22753,187296,262943,709834,230883,531845,33.5,36209,34187,0.4081,107185,26743,34525,95125,40819,90861,36182,8730,5804,187359,741894,690590,452757,21768,104362,44235,9766,1741,55961,51304,0.6102718178068565,0.029341118812121408,0.14066969135752547,0.059624420739350904,0.013163605582468655,0.0023466964283307317,0.07542991316818845,0.06915273610515787,0.38972818219314354
04,2012,0,0,Arizona,AZ,6553255,487791,1619585,2272791,6299433,2018969,4445879,36.6,28645,24600,0.4608,864774,173396,309290,790409,360519,735758,310661,77074,47093,1753081,6553255,4577151,3730370,264171,262675,185306,10868,7219,116542,1976104,0.5692392559117568,0.04031141776109735,0.040083134259234536,0.02827694023809542,0.0016584124988269187,0.0011015899732270452,0.017783834140438607,0.3015454152173233,0.43076074408824316
04,2014,1,0,Arizona,AZ,6731484,514527,1622071,2295258,6482310,2046084,4594886,36.9,29737,25715,0.4676,899108,180704,344474,794213,376649,765784,328400,74530,53578,1757664,6731484,4675028,3777085,265671,266580,206338,11496,7948,139910,2056456,0.5611073278938196,0.03946692883768275,0.03960196592608703,0.030652676289507633,0.0017077957847036404,0.0011807203285337973,0.020784421384645643,0.30549816355501996,0.43889267210618044
04,2016,0,1,Arizona,AZ,6931071,498587,1631422,2304662,6680106,2053697,4801062,37.5,30675,27997,0.4713,924912,180585,344919,834817,390843,835779,359075,84523,56517,1761534,6931071,4786296,3834724,284478,274472,214132,12834,10072,155584,2144775,0.553265721848759,0.04104387330616004,0.03960022917093188,0.030894503894131224,0.0018516618860202124,0.0014531664731179351,0.02244732451882256,0.3094435189020571,0.446734278151241
05,2012,0,0,Arkansas,AR,2949131,78901,711629,999749,2836698,887316,2158601,37.6,25737,21643,0.4632,566530,119419,129405,308735,118932,269141,101528,22334,16106,752357,2949131,2751266,2179168,458695,16106,38877,5221,2163,51036,197865,0.7389186848600486,0.1555356476195869,0.005461269777436133,0.013182527327541571,0.0017703520121690084,7.334363919405412e-4,0.017305436754081117,0.0670926452571961,0.26108131513995136
