year,GEOID,NAME,B01001_001E,B01001_001M,B09001_001E,B09001_001M,B16008_046E,B16008_046M,B01002_001E,B01002_001M,B19083_001E,B19083_001M,B20017_001E,B20017_001M,B19301_001E,B19301_001M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,B14001_001E,B14001_001M,B14001_002E,B14001_002M,B01001_003E,B01001_003M,B01001_004E,B01001_004M,B01001_005E,B01001_005M,B01001_006E,B01001_006M,B01001_007E,B01001_007M,B01001_008E,B01001_008M,B01001_009E,B01001_009M,B01001_010E,B01001_010M,B01001_027E,B01001_027M,B01001_028E,B01001_028M,B01001_029E,B01001_029M,B01001_030E,B01001_030M,B01001_031E,B01001_031M,B01001_032E,B01001_032M,B01001_033E,B01001_033M,B01001_034E,B01001_034M,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M
2012,06,California,38041430,NA,9239306,2103,5003267,34811,35.5,0.1,0.4822,0.0016,30502,104,28341,111,4558433,31014,549534,11994,1411077,18959,4054381,25280,1959097,21968,4865203,31380,1861112,21782,569482,11971,364732,8288,36575440,13562,10678252,28487,1296287,2477,1296812,12549,1306123,12399,825862,2728,569900,2784,316738,8989,318160,10755,878262,11552,1240523,2396,1239678,11873,1245997,11955,788024,2596,535046,3580,299727,7470,289211,8298,815296,11124,38041430,NA,23503769,NA,14904055,7593,2150453,14326,145112,6213,5047744,16238,137403,4057,83285,9189,1035717,22200,57330,5596,978387,21394,14537661,NA
2012,08,Colorado,5187582,NA,1231307,1495,273349,10112,36.2,0.2,0.4579,0.0039,31326,227,30329,328,619568,11596,132632,5818,209243,6911,580017,8862,288253,7592,818469,13724,342776,8853,76550,3750,53211,3614,4989990,4419,1395046,9723,172562,2030,187549,4448,168057,4805,100405,1436,77113,2421,38793,3188,39785,2910,109601,4058,164433,2154,172087,5124,170502,5092,95712,1514,69187,2098,34399,2810,36106,3064,106637,3830,5187582,NA,4098840,NA,3599838,2504,204851,4746,29779,2513,144241,4177,4730,1150,7364,2300,108037,6568,2650,1097,105387,6399,1088742,NA
2012,09,Connecticut,3590347,NA,792766,1053,238122,9129,40.4,0.2,0.4915,0.006,36914,388,36891,529,607054,10988,75153,4492,130546,5221,302473,6991,182429,4839,503440,9936,294155,7730,73294,3696,40248,3025,3479966,3754,954957,8253,99546,993,111455,3598,119297,3727,75376,874,55962,985,24703,2525,25448,2109,69139,2873,93524,834,104747,3836,116104,3812,72717,1220,53246,1265,25929,2351,22923,2468,62253,2725,3590347,NA,3079700,NA,2512773,2534,339063,4092,6099,1048,146701,2292,2233,1568,10714,2689,62117,4737,4359,1328,57758,4781,510647,NA
2012,10,Delaware,917092,NA,204920,394,36062,3070,39.2,0.3,0.4356,0.0083,31770,621,28705,595,173099,5688,21805,2206,38540,2509,86847,4595,44331,3053,111921,5213,52001,3845,9864,1328,8903,1201,882536,1884,236066,3847,28446,344,28624,2025,29963,2205,17597,430,13530,795,8158,1743,7982,1716,17374,1778,27739,277,28419,1868,27153,1779,16979,691,14294,1000,7911,1739,6567,1336,17744,2059,917092,NA,838279,NA,589642,1421,191258,2912,2543,470,30485,1570,101,97,4138,2245,20112,3258,983,713,19129,3291,78813,NA
2012,11,District of Columbia,632323,NA,109452,267,50687,3943,33.7,0.2,0.5343,0.0126,44980,2362,45307,1257,69175,4162,11906,1792,15782,2133,45655,2918,14083,1888,100904,4522,77488,4099,38125,2877,16274,1731,608482,1577,159737,3807,19889,272,15317,1429,11832,1424,7946,154,10100,1337,5739,1189,5384,1165,17154,1648,19113,33,15075,1240,12042,1261,8238,267,13531,1532,6566,1292,5753,1019,19113,1637,632323,NA,569597,NA,222975,786,308286,1489,1566,478,21717,1588,54,90,1659,721,13340,2381,1385,787,11955,2257,62726,NA
2012,12,Florida,19317568,NA,4000973,2689,1654785,25045,41.1,0.2,0.4828,0.0026,26604,152,25428,167,3457338,32714,562857,12665,863192,15089,1939033,26864,1236800,23291,2329936,24428,874523,13218,272260,7952,146350,5974,18689114,8594,4688008,21985,545488,3102,568554,10895,569454,10873,356110,3188,254907,4107,143952,6292,147989,7776,380164,8572,524857,3324,542691,10482,549967,10313,343852,3181,238304,3587,137632,7259,138724,6203,371176,7277,19317568,NA,14833367,NA,10966711,7126,2958587,11302,41291,3547,477131,6918,10245,3357,51896,6860,327506,13586,26385,4957,301121,12704,4484201,NA
2012,13,Georgia,9919945,NA,2495747,3742,532256,14323,35.7,0.1,0.4809,0.0031,28282,406,24321,204,1492541,17951,318325,9412,365365,10364,1007268,19155,453039,10789,1140757,18884,468599,11364,123173,5571,74746,4406,9540591,7214,2797844,20311,341922,4139,366006,8052,359456,7865,208737,3728,157606,4739,78537,4107,73966,4608,213701,6492,329183,4145,336751,7346,356511,7538,197181,3554,147145,4528,75633,4911,70182,4491,203590,6149,9919945,NA,9015602,3608,5460416,2425,3023619,10127,17070,3432,335167,6065,2458,853,18170,3881,158702,8888,7178,2577,151524,8995,904343,3608
2012,15,Hawaii,1392313,NA,302881,586,99990,6021,38.3,0.2,0.4257,0.0064,31475,359,28099,490,244511,7252,24793,2429,49630,2496,159959,5763,95686,4961,186586,5291,66566,3527,22483,2218,10581,1303,1340261,2178,336071,4731,45753,259,44156,2004,41115,1977,24306,744,18467,974,11399,1657,12448,1734,33162,2397,43260,390,39318,2382,41092,2322,23881,700,15558,843,9155,1457,7315,1029,29647,1716,1392313,NA,1260570,NA,317032,544,24104,1518,2069,605,520824,10030,130717,4959,2760,1364,263064,11075,2480,984,260584,11068,131743,NA
2012,16,Idaho,1595728,NA,424752,1198,53607,4140,35.2,0.1,0.4302,0.0089,23730,659,22053,398,229196,7911,51266,3628,88109,4704,191670,6969,91295,5029,175020,7778,56911,4077,14927,1783,11035,1732,1529311,2426,454364,6647,58069,1489,61468,3535,64211,3365,33691,1510,23423,1467,10959,1443,12547,2052,33157,2486,55667,1309,57088,3140,59704,3099,34854,1642,21826,1473,11233,2047,12141,1712,32904,2775,1595728,NA,1410569,NA,1330942,1001,8263,1402,17157,1683,18757,2104,1686,614,1917,1000,31847,2651,497,354,31350,2658,185159,NA
2012,17,Illinois,12875255,NA,3063051,2339,877225,18320,37,0.1,0.4716,0.0031,31329,153,28741,189,2006099,22899,307103,8674,565971,9579,1264199,16780,647039,11649,1684348,17797,751407,12053,175113,6110,96485,4912,12403972,7323,3478102,15404,415426,2218,426863,8365,448301,8176,273180,1748,187064,2745,94547,4894,96959,4576,261639,5126,398601,1957,415397,6695,426021,6915,259262,2000,173718,2831,87355,3612,95454,4430,256573,5256,12875255,NA,10775247,1920,8093687,3763,1825624,7721,12917,1623,612771,6001,3484,1526,16159,3126,210605,9443,10869,2311,199736,8910,2100008,1920
