"","GEOID","fips","county_full","county_only","state_only","poptotal12","popu1812","noncit12","vap12","totalvotes12","turnout12"
"1","01001",1001,"Autauga County, Alabama","Autauga County","Alabama",54590,14637,372,39581,23932,0.604633536292666
"2","01003",1003,"Baldwin County, Alabama","Baldwin County","Alabama",183226,42110,4170,136946,85338,0.623150730945044
"3","01005",1005,"Barbour County, Alabama","Barbour County","Alabama",27469,6002,571,20896,11509,0.550775267993874
"4","01007",1007,"Bibb County, Alabama","Bibb County","Alabama",22769,5288,152,17329,8420,0.485890703445092
"5","01009",1009,"Blount County, Alabama","Blount County","Alabama",57466,13999,2081,41386,24006,0.58005122505195
"6","01011",1011,"Bullock County, Alabama","Bullock County","Alabama",10779,2383,369,8027,5322,0.66301233337486
"7","01013",1013,"Butler County, Alabama","Butler County","Alabama",20730,4976,127,15627,9496,0.607666218724003
"8","01015",1015,"Calhoun County, Alabama","Calhoun County","Alabama",117834,26868,1847,89119,46257,0.519047565614515
"9","01017",1017,"Chambers County, Alabama","Chambers County","Alabama",34228,7807,259,26162,14611,0.558481767448972
"10","01019",1019,"Cherokee County, Alabama","Cherokee County","Alabama",25917,5340,73,20504,9779,0.476931330472103
"11","01021",1021,"Chilton County, Alabama","Chilton County","Alabama",43611,10886,1370,31355,17462,0.556912773082443
"12","01023",1023,"Choctaw County, Alabama","Choctaw County","Alabama",13838,3117,16,10705,7968,0.744325081737506
"13","01025",1025,"Clarke County, Alabama","Clarke County","Alabama",25768,6398,41,19329,13851,0.716591649852553
"14","01027",1027,"Clay County, Alabama","Clay County","Alabama",13828,3127,233,10468,6662,0.636415743217425
"15","01029",1029,"Cleburne County, Alabama","Cleburne County","Alabama",14905,3589,92,11224,6305,0.561742694226657
"16","01031",1031,"Coffee County, Alabama","Coffee County","Alabama",49966,12057,1434,36475,19770,0.54201507882111
"17","01033",1033,"Colbert County, Alabama","Colbert County","Alabama",54451,12014,466,41971,23385,0.557170427199733
"18","01035",1035,"Conecuh County, Alabama","Conecuh County","Alabama",13188,3019,17,10152,7022,0.691686367218282
"19","01037",1037,"Coosa County, Alabama","Coosa County","Alabama",11305,2284,162,8859,5269,0.594762388531437
"20","01039",1039,"Covington County, Alabama","Covington County","Alabama",37803,8537,134,29132,15423,0.529417822325965
"21","01041",1041,"Crenshaw County, Alabama","Crenshaw County","Alabama",13971,3326,232,10413,6418,0.616344953423605
"22","01043",1043,"Cullman County, Alabama","Cullman County","Alabama",80403,18619,1735,60049,34457,0.573814717980316
"23","01045",1045,"Dale County, Alabama","Dale County","Alabama",50129,12371,853,36905,18557,0.502831594634873
"24","01047",1047,"Dallas County, Alabama","Dallas County","Alabama",43572,11562,240,31770,20953,0.659521561221278
"25","01049",1049,"DeKalb County, Alabama","DeKalb County","Alabama",70949,18262,4004,48683,23863,0.490171106957254
"26","01051",1051,"Elmore County, Alabama","Elmore County","Alabama",79330,18671,1181,59478,35485,0.596607148861764
"27","01053",1053,"Escambia County, Alabama","Escambia County","Alabama",38122,8756,358,29008,14869,0.512582735797022
"28","01055",1055,"Etowah County, Alabama","Etowah County","Alabama",104317,23999,1505,78813,42530,0.539631786634185
"29","01057",1057,"Fayette County, Alabama","Fayette County","Alabama",17219,3768,89,13362,7946,0.594671456368807
"30","01059",1059,"Franklin County, Alabama","Franklin County","Alabama",31664,7824,1944,21896,10859,0.495935330654001
"31","01061",1061,"Geneva County, Alabama","Geneva County","Alabama",26769,5964,432,20373,11320,0.555637363176753
"32","01063",1063,"Greene County, Alabama","Greene County","Alabama",9067,2208,0,6859,5340,0.778539145648054
"33","01065",1065,"Hale County, Alabama","Hale County","Alabama",15750,3899,131,11720,8643,0.737457337883959
"34","01067",1067,"Henry County, Alabama","Henry County","Alabama",17275,3843,272,13160,8760,0.665653495440729
"35","01069",1069,"Houston County, Alabama","Houston County","Alabama",101459,24852,1284,75323,41918,0.55650996375609
"36","01071",1071,"Jackson County, Alabama","Jackson County","Alabama",53279,11997,506,40776,20577,0.504635079458505
"37","01073",1073,"Jefferson County, Alabama","Jefferson County","Alabama",658464,154879,17383,486202,303918,0.625085869659113
"38","01075",1075,"Lamar County, Alabama","Lamar County","Alabama",14513,3223,38,11252,7166,0.636864557412016
