fips,year,period,periodName,value,seriesID
01003,2016,M12,December,5.2,LAUCN010030000000003
01003,2016,M11,November,5,LAUCN010030000000003
01003,2016,M10,October,5.5,LAUCN010030000000003
01003,2016,M09,September,5.2,LAUCN010030000000003
01003,2016,M08,August,5.3,LAUCN010030000000003
01003,2016,M07,July,5.1,LAUCN010030000000003
01003,2016,M06,June,5.3,LAUCN010030000000003
01003,2016,M05,May,4.8,LAUCN010030000000003
01003,2016,M04,April,4.7,LAUCN010030000000003
01003,2016,M03,March,5.5,LAUCN010030000000003
01003,2016,M02,February,6.1,LAUCN010030000000003
01003,2016,M01,January,6.2,LAUCN010030000000003
01003,2015,M12,December,5.6,LAUCN010030000000003
01003,2015,M11,November,5.3,LAUCN010030000000003
01003,2015,M10,October,5.4,LAUCN010030000000003
01003,2015,M09,September,5.3,LAUCN010030000000003
01003,2015,M08,August,5.6,LAUCN010030000000003
01003,2015,M07,July,5.5,LAUCN010030000000003
01003,2015,M06,June,5.7,LAUCN010030000000003
01003,2015,M05,May,5.2,LAUCN010030000000003
01003,2015,M04,April,4.9,LAUCN010030000000003
01003,2015,M03,March,5.5,LAUCN010030000000003
01003,2015,M02,February,6.2,LAUCN010030000000003
01003,2015,M01,January,6.3,LAUCN010030000000003
01003,2014,M12,December,5.6,LAUCN010030000000003
01003,2014,M11,November,5.5,LAUCN010030000000003
01003,2014,M10,October,5.7,LAUCN010030000000003
01003,2014,M09,September,5.7,LAUCN010030000000003
01003,2014,M08,August,6.1,LAUCN010030000000003
01003,2014,M07,July,6.1,LAUCN010030000000003
01003,2014,M06,June,6.2,LAUCN010030000000003
01003,2014,M05,May,5.6,LAUCN010030000000003
01003,2014,M04,April,5.4,LAUCN010030000000003
01003,2014,M03,March,6.6,LAUCN010030000000003
01003,2014,M02,February,7.6,LAUCN010030000000003
01003,2014,M01,January,7.5,LAUCN010030000000003
01003,2013,M12,December,6.5,LAUCN010030000000003
01003,2013,M11,November,6.4,LAUCN010030000000003
01003,2013,M10,October,6.4,LAUCN010030000000003
01003,2013,M09,September,6.4,LAUCN010030000000003
01003,2013,M08,August,6.4,LAUCN010030000000003
01003,2013,M07,July,6.3,LAUCN010030000000003
01003,2013,M06,June,6.6,LAUCN010030000000003
01003,2013,M05,May,5.9,LAUCN010030000000003
01003,2013,M04,April,5.8,LAUCN010030000000003
01003,2013,M03,March,6.7,LAUCN010030000000003
01003,2013,M02,February,7.9,LAUCN010030000000003
01003,2013,M01,January,8.2,LAUCN010030000000003
01003,2012,M12,December,7.2,LAUCN010030000000003
01003,2012,M11,November,6.7,LAUCN010030000000003
01003,2012,M10,October,7.3,LAUCN010030000000003
01003,2012,M09,September,7.1,LAUCN010030000000003
01003,2012,M08,August,7.7,LAUCN010030000000003
01003,2012,M07,July,7.9,LAUCN010030000000003
01003,2012,M06,June,8,LAUCN010030000000003
01003,2012,M05,May,7.2,LAUCN010030000000003
01003,2012,M04,April,6.8,LAUCN010030000000003
01003,2012,M03,March,7.6,LAUCN010030000000003
01003,2012,M02,February,8.5,LAUCN010030000000003
01003,2012,M01,January,8.3,LAUCN010030000000003
01003,2011,M12,December,7.9,LAUCN010030000000003
01003,2011,M11,November,7.7,LAUCN010030000000003
01003,2011,M10,October,8.4,LAUCN010030000000003
01003,2011,M09,September,8.8,LAUCN010030000000003
01003,2011,M08,August,8.9,LAUCN010030000000003
01003,2011,M07,July,9,LAUCN010030000000003
01003,2011,M06,June,9.5,LAUCN010030000000003
01003,2011,M05,May,8.7,LAUCN010030000000003
01003,2011,M04,April,8.7,LAUCN010030000000003
01003,2011,M03,March,9.3,LAUCN010030000000003
01003,2011,M02,February,10.2,LAUCN010030000000003
01003,2011,M01,January,10.4,LAUCN010030000000003
01003,2010,M12,December,9.5,LAUCN010030000000003
01003,2010,M11,November,9.6,LAUCN010030000000003
01003,2010,M10,October,9.4,LAUCN010030000000003
01003,2010,M09,September,9.2,LAUCN010030000000003
